window_id,dataset,subject_id,trial_id,activity,fall_label,direction_label,split,experiment_split
w25_00007571,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007572,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007573,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007574,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007575,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007576,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007577,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007578,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007579,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007580,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007581,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007582,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007583,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007584,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007585,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007586,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007587,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007588,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007589,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007590,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007591,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007592,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007593,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007594,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007595,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007596,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007597,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007598,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007599,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007600,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007601,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007602,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007603,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007604,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007605,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007606,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007607,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007608,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007609,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007610,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007611,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007612,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007613,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007614,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007615,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007616,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007617,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007618,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007619,bits,user17,user17_adl1,walking_slowly,0,none,test,test
w25_00007620,bits,user17,user17_adl10,rapidly_sitting_on_chair,0,none,test,test
w25_00007621,bits,user17,user17_adl10,rapidly_sitting_on_chair,0,none,test,test
w25_00007622,bits,user17,user17_adl10,rapidly_sitting_on_chair,0,none,test,test
w25_00007623,bits,user17,user17_adl10,rapidly_sitting_on_chair,0,none,test,test
w25_00007624,bits,user17,user17_adl10,rapidly_sitting_on_chair,0,none,test,test
w25_00007625,bits,user17,user17_adl10,rapidly_sitting_on_chair,0,none,test,test
w25_00007626,bits,user17,user17_adl10,rapidly_sitting_on_chair,0,none,test,test
w25_00007627,bits,user17,user17_adl10,rapidly_sitting_on_chair,0,none,test,test
w25_00007628,bits,user17,user17_adl10,rapidly_sitting_on_chair,0,none,test,test
w25_00007629,bits,user17,user17_adl10,rapidly_sitting_on_chair,0,none,test,test
w25_00007630,bits,user17,user17_adl10,rapidly_sitting_on_chair,0,none,test,test
w25_00007631,bits,user17,user17_adl10,rapidly_sitting_on_chair,0,none,test,test
w25_00007632,bits,user17,user17_adl10,rapidly_sitting_on_chair,0,none,test,test
w25_00007633,bits,user17,user17_adl10,rapidly_sitting_on_chair,0,none,test,test
w25_00007634,bits,user17,user17_adl10,rapidly_sitting_on_chair,0,none,test,test
w25_00007635,bits,user17,user17_adl10,rapidly_sitting_on_chair,0,none,test,test
w25_00007636,bits,user17,user17_adl10,rapidly_sitting_on_chair,0,none,test,test
w25_00007637,bits,user17,user17_adl10,rapidly_sitting_on_chair,0,none,test,test
w25_00007638,bits,user17,user17_adl10,rapidly_sitting_on_chair,0,none,test,test
w25_00007639,bits,user17,user17_adl10,rapidly_sitting_on_chair,0,none,test,test
w25_00007640,bits,user17,user17_adl10,rapidly_sitting_on_chair,0,none,test,test
w25_00007641,bits,user17,user17_adl11,nearly_sitting_and_getting_up,0,none,test,test
w25_00007642,bits,user17,user17_adl11,nearly_sitting_and_getting_up,0,none,test,test
w25_00007643,bits,user17,user17_adl11,nearly_sitting_and_getting_up,0,none,test,test
w25_00007644,bits,user17,user17_adl11,nearly_sitting_and_getting_up,0,none,test,test
w25_00007645,bits,user17,user17_adl11,nearly_sitting_and_getting_up,0,none,test,test
w25_00007646,bits,user17,user17_adl11,nearly_sitting_and_getting_up,0,none,test,test
w25_00007647,bits,user17,user17_adl11,nearly_sitting_and_getting_up,0,none,test,test
w25_00007648,bits,user17,user17_adl11,nearly_sitting_and_getting_up,0,none,test,test
w25_00007649,bits,user17,user17_adl11,nearly_sitting_and_getting_up,0,none,test,test
w25_00007650,bits,user17,user17_adl11,nearly_sitting_and_getting_up,0,none,test,test
w25_00007651,bits,user17,user17_adl11,nearly_sitting_and_getting_up,0,none,test,test
