dataset,source_path,subject_id,trial_id,activity_id,class_dir,source_hz,target_hz,raw_samples,processed_samples,duration_seconds,effective_fs_before,effective_fs_after,resampling_method,timestamp_mode,acc_rows,gyro_rows
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user1\user1_adl1.csv,user1,user1_adl1,adl1,adl,20.0,25.0,301,376,15.0,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,302,301
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user1\user1_adl10.csv,user1,user1_adl10,adl10,adl,20.0,25.0,44,54,2.12,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,91,44
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user1\user1_adl11.csv,user1,user1_adl11,adl11,adl,20.0,25.0,39,48,1.8800000000000001,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,39,39
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user1\user1_adl12.csv,user1,user1_adl12,adl12,adl,20.0,25.0,122,152,6.04,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,123,122
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user1\user1_adl13.csv,user1,user1_adl13,adl13,adl,20.0,25.0,168,209,8.32,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,169,168
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user1\user1_adl14.csv,user1,user1_adl14,adl14,adl,20.0,25.0,20,24,0.92,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,21,20
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user1\user1_adl15.csv,user1,user1_adl15,adl15,adl,20.0,25.0,40,49,1.92,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,41,40
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user1\user1_adl16.csv,user1,user1_adl16,adl16,adl,20.0,25.0,40,49,1.92,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,44,40
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user1\user1_adl2.csv,user1,user1_adl2,adl2,adl,20.0,25.0,215,268,10.68,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,220,215
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user1\user1_adl3.csv,user1,user1_adl3,adl3,adl,20.0,25.0,46,57,2.24,20.0,24.999999999999996,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,46,46
bits,C:\Users\ADMIN\Desktop\ds-fall\data\raw\Dataset\adl\user1\user1_adl4.csv,user1,user1_adl4,adl4,adl,20.0,25.0,42,52,2.04,20.0,25.0,uniform_20hz_time_interpolation_to_25hz,uniform_20hz_fallback,42,42
