window_id,dataset,subject_id,trial_id,activity,fall_label,direction_label,split
w25_00000000,bits,user1,user1_adl1,walking_slowly,0,none,train
w25_00000001,bits,user1,user1_adl1,walking_slowly,0,none,train
w25_00000002,bits,user1,user1_adl1,walking_slowly,0,none,train
w25_00000003,bits,user1,user1_adl1,walking_slowly,0,none,train
w25_00000004,bits,user1,user1_adl1,walking_slowly,0,none,train
w25_00000005,bits,user1,user1_adl1,walking_slowly,0,none,train
w25_00000006,bits,user1,user1_adl1,walking_slowly,0,none,train
w25_00000007,bits,user1,user1_adl1,walking_slowly,0,none,train
w25_00000008,bits,user1,user1_adl1,walking_slowly,0,none,train
w25_00000009,bits,user1,user1_adl1,walking_slowly,0,none,train
w25_00000010,bits,user1,user1_adl1,walking_slowly,0,none,train
w25_00000011,bits,user1,user1_adl1,walking_slowly,0,none,train
w25_00000012,bits,user1,user1_adl1,walking_slowly,0,none,train
w25_00000013,bits,user1,user1_adl1,walking_slowly,0,none,train
w25_00000014,bits,user1,user1_adl1,walking_slowly,0,none,train
w25_00000015,bits,user1,user1_adl1,walking_slowly,0,none,train
w25_00000016,bits,user1,user1_adl1,walking_slowly,0,none,train
w25_00000017,bits,user1,user1_adl1,walking_slowly,0,none,train
w25_00000018,bits,user1,user1_adl1,walking_slowly,0,none,train
w25_00000019,bits,user1,user1_adl1,walking_slowly,0,none,train
w25_00000020,bits,user1,user1_adl1,walking_slowly,0,none,train
w25_00000021,bits,user1,user1_adl1,walking_slowly,0,none,train
w25_00000022,bits,user1,user1_adl1,walking_slowly,0,none,train
w25_00000023,bits,user1,user1_adl1,walking_slowly,0,none,train
w25_00000024,bits,user1,user1_adl1,walking_slowly,0,none,train
w25_00000025,bits,user1,user1_adl1,walking_slowly,0,none,train
w25_00000026,bits,user1,user1_adl1,walking_slowly,0,none,train
w25_00000027,bits,user1,user1_adl1,walking_slowly,0,none,train
w25_00000028,bits,user1,user1_adl10,rapidly_sitting_on_chair,0,none,train
w25_00000029,bits,user1,user1_adl12,swinging_hands,0,none,train
