window_id,dataset,subject_id,trial_id,activity,fall_label,direction_label,split,experiment_split
w25_00003560,weda,U01,D01_R01,walking,0,none,train,train
w25_00003561,weda,U01,D01_R01,walking,0,none,train,train
w25_00003562,weda,U01,D01_R01,walking,0,none,train,train
w25_00003563,weda,U01,D01_R01,walking,0,none,train,train
w25_00003564,weda,U01,D01_R01,walking,0,none,train,train
w25_00003565,weda,U02,D01_R01,walking,0,none,train,train
w25_00003566,weda,U02,D01_R01,walking,0,none,train,train
w25_00003567,weda,U02,D01_R01,walking,0,none,train,train
w25_00003568,weda,U02,D01_R01,walking,0,none,train,train
w25_00003569,weda,U02,D01_R01,walking,0,none,train,train
w25_00003570,weda,U03,D01_R01,walking,0,none,train,train
w25_00003571,weda,U03,D01_R01,walking,0,none,train,train
w25_00003572,weda,U03,D01_R01,walking,0,none,train,train
w25_00003573,weda,U03,D01_R01,walking,0,none,train,train
w25_00003574,weda,U03,D01_R01,walking,0,none,train,train
w25_00003575,weda,U04,D01_R01,walking,0,none,test,test
w25_00003576,weda,U04,D01_R01,walking,0,none,test,test
w25_00003577,weda,U04,D01_R01,walking,0,none,test,test
w25_00003578,weda,U04,D01_R01,walking,0,none,test,test
w25_00003579,weda,U04,D01_R01,walking,0,none,test,test
w25_00003580,weda,U05,D01_R01,walking,0,none,val,val
w25_00003581,weda,U05,D01_R01,walking,0,none,val,val
w25_00003582,weda,U05,D01_R01,walking,0,none,val,val
w25_00003583,weda,U05,D01_R01,walking,0,none,val,val
w25_00003584,weda,U05,D01_R01,walking,0,none,val,val
w25_00003585,weda,U06,D01_R01,walking,0,none,train,train
w25_00003586,weda,U06,D01_R01,walking,0,none,train,train
w25_00003587,weda,U06,D01_R01,walking,0,none,train,train
w25_00003588,weda,U06,D01_R01,walking,0,none,train,train
w25_00003589,weda,U06,D01_R01,walking,0,none,train,train
w25_00003590,weda,U07,D01_R01,walking,0,none,train,train
w25_00003591,weda,U07,D01_R01,walking,0,none,train,train
w25_00003592,weda,U07,D01_R01,walking,0,none,train,train
w25_00003593,weda,U07,D01_R01,walking,0,none,train,train
w25_00003594,weda,U07,D01_R01,walking,0,none,train,train
w25_00003595,weda,U08,D01_R01,walking,0,none,train,train
w25_00003596,weda,U08,D01_R01,walking,0,none,train,train
w25_00003597,weda,U08,D01_R01,walking,0,none,train,train
w25_00003598,weda,U08,D01_R01,walking,0,none,train,train
w25_00003599,weda,U08,D01_R01,walking,0,none,train,train
w25_00003600,weda,U09,D01_R01,walking,0,none,train,train
w25_00003601,weda,U09,D01_R01,walking,0,none,train,train
w25_00003602,weda,U09,D01_R01,walking,0,none,train,train
w25_00003603,weda,U09,D01_R01,walking,0,none,train,train
w25_00003604,weda,U09,D01_R01,walking,0,none,train,train
w25_00003605,weda,U10,D01_R01,walking,0,none,train,train
w25_00003606,weda,U10,D01_R01,walking,0,none,train,train
w25_00003607,weda,U10,D01_R01,walking,0,none,train,train
w25_00003608,weda,U10,D01_R01,walking,0,none,train,train
w25_00003609,weda,U10,D01_R01,walking,0,none,train,train
w25_00003610,weda,U11,D01_R01,walking,0,none,train,train
w25_00003611,weda,U11,D01_R01,walking,0,none,train,train
w25_00003612,weda,U11,D01_R01,walking,0,none,train,train
w25_00003613,weda,U11,D01_R01,walking,0,none,train,train
w25_00003614,weda,U11,D01_R01,walking,0,none,train,train
w25_00003615,weda,U12,D01_R01,walking,0,none,train,train
w25_00003616,weda,U12,D01_R01,walking,0,none,train,train
w25_00003617,weda,U12,D01_R01,walking,0,none,train,train
w25_00003618,weda,U12,D01_R01,walking,0,none,train,train
w25_00003619,weda,U12,D01_R01,walking,0,none,train,train
w25_00003620,weda,U13,D01_R01,walking,0,none,train,train
w25_00003621,weda,U13,D01_R01,walking,0,none,train,train
w25_00003622,weda,U13,D01_R01,walking,0,none,train,train
w25_00003623,weda,U13,D01_R01,walking,0,none,train,train
w25_00003624,weda,U13,D01_R01,walking,0,none,train,train
w25_00003625,weda,U14,D01_R01,walking,0,none,train,train
w25_00003626,weda,U14,D01_R01,walking,0,none,train,train
w25_00003627,weda,U14,D01_R01,walking,0,none,train,train
w25_00003628,weda,U14,D01_R01,walking,0,none,train,train
w25_00003629,weda,U14,D01_R01,walking,0,none,train,train
w25_00003630,weda,U21,D01_R01,walking,0,none,val,val
w25_00003631,weda,U21,D01_R01,walking,0,none,val,val
w25_00003632,weda,U21,D01_R01,walking,0,none,val,val
w25_00003633,weda,U21,D01_R01,walking,0,none,val,val
w25_00003634,weda,U21,D01_R01,walking,0,none,val,val
w25_00003635,weda,U22,D01_R01,walking,0,none,train,train
w25_00003636,weda,U22,D01_R01,walking,0,none,train,train
w25_00003637,weda,U22,D01_R01,walking,0,none,train,train
w25_00003638,weda,U22,D01_R01,walking,0,none,train,train
w25_00003639,weda,U22,D01_R01,walking,0,none,train,train
w25_00003640,weda,U23,D01_R01,walking,0,none,train,train
w25_00003641,weda,U23,D01_R01,walking,0,none,train,train
w25_00003642,weda,U23,D01_R01,walking,0,none,train,train
w25_00003643,weda,U23,D01_R01,walking,0,none,train,train
w25_00003644,weda,U23,D01_R01,walking,0,none,train,train
w25_00003645,weda,U24,D01_R01,walking,0,none,test,test
w25_00003646,weda,U24,D01_R01,walking,0,none,test,test
w25_00003647,weda,U24,D01_R01,walking,0,none,test,test
w25_00003648,weda,U24,D01_R01,walking,0,none,test,test
w25_00003649,weda,U24,D01_R01,walking,0,none,test,test
w25_00003650,weda,U25,D01_R01,walking,0,none,test,test
w25_00003651,weda,U25,D01_R01,walking,0,none,test,test
w25_00003652,weda,U25,D01_R01,walking,0,none,test,test
w25_00003653,weda,U25,D01_R01,walking,0,none,test,test
w25_00003654,weda,U25,D01_R01,walking,0,none,test,test
w25_00003655,weda,U26,D01_R01,walking,0,none,val,val
w25_00003656,weda,U26,D01_R01,walking,0,none,val,val
w25_00003657,weda,U26,D01_R01,walking,0,none,val,val
w25_00003658,weda,U26,D01_R01,walking,0,none,val,val
w25_00003659,weda,U26,D01_R01,walking,0,none,val,val
w25_00003660,weda,U27,D01_R01,walking,0,none,train,train
w25_00003661,weda,U27,D01_R01,walking,0,none,train,train
w25_00003662,weda,U27,D01_R01,walking,0,none,train,train
w25_00003663,weda,U27,D01_R01,walking,0,none,train,train
w25_00003664,weda,U27,D01_R01,walking,0,none,train,train
w25_00003665,weda,U28,D01_R01,walking,0,none,train,train
w25_00003666,weda,U28,D01_R01,walking,0,none,train,train
w25_00003667,weda,U28,D01_R01,walking,0,none,train,train
w25_00003668,weda,U28,D01_R01,walking,0,none,train,train
w25_00003669,weda,U28,D01_R01,walking,0,none,train,train
w25_00003670,weda,U29,D01_R01,walking,0,none,train,train
w25_00003671,weda,U29,D01_R01,walking,0,none,train,train
w25_00003672,weda,U29,D01_R01,walking,0,none,train,train
w25_00003673,weda,U29,D01_R01,walking,0,none,train,train
w25_00003674,weda,U29,D01_R01,walking,0,none,train,train
w25_00003675,weda,U30,D01_R01,walking,0,none,val,val
w25_00003676,weda,U30,D01_R01,walking,0,none,val,val
w25_00003677,weda,U30,D01_R01,walking,0,none,val,val
w25_00003678,weda,U30,D01_R01,walking,0,none,val,val
w25_00003679,weda,U30,D01_R01,walking,0,none,val,val
w25_00003680,weda,U31,D01_R01,walking,0,none,train,train
w25_00003681,weda,U31,D01_R01,walking,0,none,train,train
w25_00003682,weda,U31,D01_R01,walking,0,none,train,train
w25_00003683,weda,U31,D01_R01,walking,0,none,train,train
w25_00003684,weda,U31,D01_R01,walking,0,none,train,train
w25_00003685,weda,U01,D02_R01,jogging,0,none,train,train
w25_00003686,weda,U01,D02_R01,jogging,0,none,train,train
w25_00003687,weda,U01,D02_R01,jogging,0,none,train,train
w25_00003688,weda,U01,D02_R01,jogging,0,none,train,train
w25_00003689,weda,U01,D02_R01,jogging,0,none,train,train
w25_00003690,weda,U02,D02_R01,jogging,0,none,train,train
w25_00003691,weda,U02,D02_R01,jogging,0,none,train,train
w25_00003692,weda,U02,D02_R01,jogging,0,none,train,train
w25_00003693,weda,U02,D02_R01,jogging,0,none,train,train
w25_00003694,weda,U02,D02_R01,jogging,0,none,train,train
w25_00003695,weda,U03,D02_R01,jogging,0,none,train,train
w25_00003696,weda,U03,D02_R01,jogging,0,none,train,train
w25_00003697,weda,U03,D02_R01,jogging,0,none,train,train
w25_00003698,weda,U03,D02_R01,jogging,0,none,train,train
w25_00003699,weda,U03,D02_R01,jogging,0,none,train,train
w25_00003700,weda,U04,D02_R01,jogging,0,none,test,test
w25_00003701,weda,U04,D02_R01,jogging,0,none,test,test
w25_00003702,weda,U04,D02_R01,jogging,0,none,test,test
w25_00003703,weda,U04,D02_R01,jogging,0,none,test,test
w25_00003704,weda,U04,D02_R01,jogging,0,none,test,test
w25_00003705,weda,U05,D02_R01,jogging,0,none,val,val
w25_00003706,weda,U05,D02_R01,jogging,0,none,val,val
w25_00003707,weda,U05,D02_R01,jogging,0,none,val,val
w25_00003708,weda,U05,D02_R01,jogging,0,none,val,val
w25_00003709,weda,U05,D02_R01,jogging,0,none,val,val
w25_00003710,weda,U06,D02_R01,jogging,0,none,train,train
w25_00003711,weda,U06,D02_R01,jogging,0,none,train,train
w25_00003712,weda,U06,D02_R01,jogging,0,none,train,train
w25_00003713,weda,U06,D02_R01,jogging,0,none,train,train
w25_00003714,weda,U06,D02_R01,jogging,0,none,train,train
w25_00003715,weda,U07,D02_R01,jogging,0,none,train,train
w25_00003716,weda,U07,D02_R01,jogging,0,none,train,train
w25_00003717,weda,U07,D02_R01,jogging,0,none,train,train
w25_00003718,weda,U07,D02_R01,jogging,0,none,train,train
w25_00003719,weda,U07,D02_R01,jogging,0,none,train,train
w25_00003720,weda,U08,D02_R01,jogging,0,none,train,train
w25_00003721,weda,U08,D02_R01,jogging,0,none,train,train
w25_00003722,weda,U08,D02_R01,jogging,0,none,train,train
w25_00003723,weda,U08,D02_R01,jogging,0,none,train,train
w25_00003724,weda,U08,D02_R01,jogging,0,none,train,train
w25_00003725,weda,U09,D02_R01,jogging,0,none,train,train
w25_00003726,weda,U09,D02_R01,jogging,0,none,train,train
w25_00003727,weda,U09,D02_R01,jogging,0,none,train,train
w25_00003728,weda,U09,D02_R01,jogging,0,none,train,train
w25_00003729,weda,U09,D02_R01,jogging,0,none,train,train
w25_00003730,weda,U10,D02_R01,jogging,0,none,train,train
w25_00003731,weda,U10,D02_R01,jogging,0,none,train,train
w25_00003732,weda,U10,D02_R01,jogging,0,none,train,train
w25_00003733,weda,U10,D02_R01,jogging,0,none,train,train
w25_00003734,weda,U10,D02_R01,jogging,0,none,train,train
w25_00003735,weda,U11,D02_R01,jogging,0,none,train,train
w25_00003736,weda,U11,D02_R01,jogging,0,none,train,train
w25_00003737,weda,U11,D02_R01,jogging,0,none,train,train
w25_00003738,weda,U11,D02_R01,jogging,0,none,train,train
w25_00003739,weda,U11,D02_R01,jogging,0,none,train,train
w25_00003740,weda,U12,D02_R01,jogging,0,none,train,train
w25_00003741,weda,U12,D02_R01,jogging,0,none,train,train
w25_00003742,weda,U12,D02_R01,jogging,0,none,train,train
w25_00003743,weda,U12,D02_R01,jogging,0,none,train,train
w25_00003744,weda,U12,D02_R01,jogging,0,none,train,train
w25_00003745,weda,U13,D02_R01,jogging,0,none,train,train
w25_00003746,weda,U13,D02_R01,jogging,0,none,train,train
w25_00003747,weda,U13,D02_R01,jogging,0,none,train,train
w25_00003748,weda,U13,D02_R01,jogging,0,none,train,train
w25_00003749,weda,U13,D02_R01,jogging,0,none,train,train
w25_00003750,weda,U14,D02_R01,jogging,0,none,train,train
w25_00003751,weda,U14,D02_R01,jogging,0,none,train,train
w25_00003752,weda,U14,D02_R01,jogging,0,none,train,train
w25_00003753,weda,U14,D02_R01,jogging,0,none,train,train
w25_00003754,weda,U14,D02_R01,jogging,0,none,train,train
w25_00003755,weda,U01,D03_R01,stairs,0,none,train,train
w25_00003756,weda,U01,D03_R01,stairs,0,none,train,train
w25_00003757,weda,U01,D03_R01,stairs,0,none,train,train
w25_00003758,weda,U01,D03_R01,stairs,0,none,train,train
w25_00003759,weda,U01,D03_R01,stairs,0,none,train,train
w25_00003760,weda,U02,D03_R01,stairs,0,none,train,train
w25_00003761,weda,U02,D03_R01,stairs,0,none,train,train
w25_00003762,weda,U02,D03_R01,stairs,0,none,train,train
w25_00003763,weda,U02,D03_R01,stairs,0,none,train,train
w25_00003764,weda,U02,D03_R01,stairs,0,none,train,train
w25_00003765,weda,U03,D03_R01,stairs,0,none,train,train
w25_00003766,weda,U03,D03_R01,stairs,0,none,train,train
w25_00003767,weda,U03,D03_R01,stairs,0,none,train,train
w25_00003768,weda,U03,D03_R01,stairs,0,none,train,train
w25_00003769,weda,U03,D03_R01,stairs,0,none,train,train
w25_00003770,weda,U04,D03_R01,stairs,0,none,test,test
w25_00003771,weda,U04,D03_R01,stairs,0,none,test,test
