run_id,experiment_id,train_protocol,model_name,seed,learning_rate,best_epoch,best_val_macro_f1,best_val_loss,direction_macro_f1,direction_accuracy,forward_f1,backward_f1,lateral_f1,direction_n_supervised,historical_A5_reference_macro_f1,delta_vs_historical_A5,params,estimated_fp32_kb,estimated_int8_kb,cm_00,cm_01,cm_02,cm_10,cm_11,cm_12,cm_20,cm_21,cm_22,params_reduction_vs_A5_Direction_Only,params_reduction_vs_historical_A5,edge_suitability,tflite_convert,int8_tflite_convert,macs_estimate,complexity_note
A5_Direction_Only_E1_BITS_TO_BITS_seed43_lr0.0005,E1_BITS_TO_BITS,E1_BITS_TO_BITS,A5_Direction_Only,43,0.0005,12,0.8927738927738927,0.4159986674785614,0.9314285714285714,0.9166666666666666,0.9142857142857143,1.0,0.88,36,,,57268,223.703125,55.92578125,16,0,2,0,6,0,1,0,11,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv_E1_BITS_TO_BITS_seed45_lr0.001,E1_BITS_TO_BITS,E1_BITS_TO_BITS,LDX1_D1_Wide_DSConv,45,0.001,29,0.9147511312217195,0.3181042969226837,0.9267399267399267,0.9166666666666666,0.9230769230769231,1.0,0.8571428571428571,36,,,5699,22.26171875,5.5654296875,18,0,0,0,6,0,3,0,9,,0.913597841083097,high,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E2_WEDA_TO_WEDA_seed45_lr0.0005,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,A5_Direction_Only,45,0.0005,32,1.0,0.05922723934054375,0.8742690058479532,0.88,0.8421052631578947,0.9473684210526315,0.8333333333333334,25,,,57268,223.703125,55.92578125,8,1,0,0,9,0,2,0,5,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv_E2_WEDA_TO_WEDA_seed42_lr0.001,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,LDX1_D1_Wide_DSConv,42,0.001,31,0.9191176470588235,0.23667098581790924,0.9568151147098515,0.96,0.9473684210526315,1.0,0.9230769230769231,25,,,5699,22.26171875,5.5654296875,9,0,0,0,9,0,1,0,6,,0.913597841083097,high,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E3_BITS_WEDA_MIXED_seed42_lr0.001,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,A5_Direction_Only,42,0.001,6,0.8845870088211708,0.3568202555179596,0.8966493168510085,0.9016393442622951,0.9433962264150944,0.896551724137931,0.85,61,0.8967,-5.068314899159265e-05,57268,223.703125,55.92578125,25,0,2,0,13,2,1,1,17,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed42_lr0.001,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,LDX1_D1_Wide_DSConv,42,0.001,11,0.8928812415654521,0.40853050351142883,0.8829185520361991,0.8852459016393442,0.9019607843137255,0.875,0.8717948717948718,61,0.8967,-0.013781447963800986,5699,22.26171875,5.5654296875,23,2,2,0,14,1,1,1,17,,0.913597841083097,high,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E4_BITS_TO_WEDA_seed45_lr0.001,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,A5_Direction_Only,45,0.001,16,0.9095022624434389,0.340000182390213,0.501010101010101,0.56,0.6666666666666666,0.2,0.6363636363636364,25,,,57268,223.703125,55.92578125,6,0,3,3,1,5,0,0,7,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv_E4_BITS_TO_WEDA_seed46_lr0.001,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,LDX1_D1_Wide_DSConv,46,0.001,19,0.8927738927738927,0.32027503848075867,0.5650717703349282,0.6,0.7,0.36363636363636365,0.631578947368421,25,,,5699,22.26171875,5.5654296875,7,0,2,3,2,4,1,0,6,,0.913597841083097,high,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E5_WEDA_TO_BITS_seed44_lr0.001,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,A5_Direction_Only,44,0.001,6,0.8766884531590414,0.5113512277603149,0.7267917267917268,0.7222222222222222,0.7777777777777778,0.8571428571428571,0.5454545454545454,36,,,57268,223.703125,55.92578125,14,0,4,0,6,0,4,2,6,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv_E5_WEDA_TO_BITS_seed45_lr0.0005,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,LDX1_D1_Wide_DSConv,45,0.0005,50,0.9581699346405229,0.15689246356487274,0.7808125851604113,0.8333333333333334,0.9444444444444444,0.6153846153846154,0.782608695652174,36,,,5699,22.26171875,5.5654296875,17,0,1,1,4,1,0,3,9,,0.913597841083097,high,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E3_BITS_WEDA_MIXED_seed42_lr0.0005,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,A5_Direction_Only,42,0.0005,19,0.8161268556005399,0.6101688146591187,0.9123621949708905,0.9166666666666666,0.9444444444444444,0.9230769230769231,0.8695652173913043,36,0.935,-0.022637805029109503,57268,223.703125,55.92578125,17,0,1,0,6,0,1,1,10,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
