run_id,experiment_id,train_protocol,model_name,seed,learning_rate,best_epoch,best_val_macro_f1,best_val_loss,direction_macro_f1,direction_accuracy,forward_f1,backward_f1,lateral_f1,direction_n_supervised,historical_A5_reference_macro_f1,delta_vs_historical_A5,params,estimated_fp32_kb,estimated_int8_kb,cm_00,cm_01,cm_02,cm_10,cm_11,cm_12,cm_20,cm_21,cm_22,params_reduction_vs_A5_Direction_Only,params_reduction_vs_historical_A5,edge_suitability,tflite_convert,int8_tflite_convert,macs_estimate,complexity_note
A5_Direction_Only_E1_BITS_TO_BITS_seed42_lr0.001,E1_BITS_TO_BITS,E1_BITS_TO_BITS,A5_Direction_Only,42,0.001,5,0.8061497326203209,0.46299391984939575,0.7549549549549549,0.7777777777777778,0.8648648648648649,0.8,0.6,36,,,57268,223.703125,55.92578125,16,0,2,0,6,0,3,3,6,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E2_WEDA_TO_WEDA_seed42_lr0.001,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,A5_Direction_Only,42,0.001,25,0.8334083070925176,0.9194989204406738,0.7540911101282619,0.76,0.7058823529411765,0.8421052631578947,0.7142857142857143,25,,,57268,223.703125,55.92578125,6,2,1,0,8,1,2,0,5,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E3_BITS_WEDA_MIXED_seed42_lr0.001,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,A5_Direction_Only,42,0.001,6,0.8845870088211708,0.3568202555179596,0.8966493168510085,0.9016393442622951,0.9433962264150944,0.896551724137931,0.85,61,0.8967,-5.068314899159265e-05,57268,223.703125,55.92578125,25,0,2,0,13,2,1,1,17,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E3_BITS_WEDA_MIXED_seed42_lr0.001,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,A5_Direction_Only,42,0.001,6,0.8845870088211708,0.3568202555179596,0.8898434898434898,0.8888888888888888,0.9142857142857143,0.9090909090909091,0.8461538461538461,36,0.935,-0.04515651015651023,57268,223.703125,55.92578125,16,0,2,0,5,1,1,0,11,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E3_BITS_WEDA_MIXED_seed42_lr0.001,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,A5_Direction_Only,42,0.001,6,0.8845870088211708,0.3568202555179596,0.9153439153439153,0.92,1.0,0.8888888888888888,0.8571428571428571,25,0.839,0.07634391534391538,57268,223.703125,55.92578125,9,0,0,0,8,1,0,1,6,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E4_BITS_TO_WEDA_seed42_lr0.001,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,A5_Direction_Only,42,0.001,5,0.8061497326203209,0.46299391984939575,0.3910631279052332,0.4,0.42105263157894735,0.3076923076923077,0.4444444444444444,25,,,57268,223.703125,55.92578125,4,0,5,5,2,2,1,2,4,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E5_WEDA_TO_BITS_seed42_lr0.001,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,A5_Direction_Only,42,0.001,25,0.8334083070925176,0.9194989204406738,0.6126180836707152,0.6944444444444444,0.85,0.46153846153846156,0.5263157894736842,36,,,57268,223.703125,55.92578125,17,1,0,1,3,2,4,3,5,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E1_BITS_TO_BITS_seed42_lr0.0005,E1_BITS_TO_BITS,E1_BITS_TO_BITS,A5_Direction_Only,42,0.0005,7,0.8061497326203209,0.44309598207473755,0.7756132756132756,0.7777777777777778,0.8333333333333334,0.8571428571428571,0.6363636363636364,36,,,57268,223.703125,55.92578125,15,0,3,0,6,0,3,2,7,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E2_WEDA_TO_WEDA_seed42_lr0.0005,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,A5_Direction_Only,42,0.0005,12,0.8306878306878307,0.7712780833244324,0.62748845357541,0.64,0.6956521739130435,0.5714285714285714,0.6153846153846154,25,,,57268,223.703125,55.92578125,8,1,0,3,4,2,3,0,4,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E3_BITS_WEDA_MIXED_seed42_lr0.0005,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,A5_Direction_Only,42,0.0005,19,0.8161268556005399,0.6101688146591187,0.7844813138930786,0.7868852459016393,0.8076923076923077,0.8235294117647058,0.7222222222222222,61,0.8967,-0.11221868610692143,57268,223.703125,55.92578125,21,2,4,1,14,0,3,3,13,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E3_BITS_WEDA_MIXED_seed42_lr0.0005,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,A5_Direction_Only,42,0.0005,19,0.8161268556005399,0.6101688146591187,0.9123621949708905,0.9166666666666666,0.9444444444444444,0.9230769230769231,0.8695652173913043,36,0.935,-0.022637805029109503,57268,223.703125,55.92578125,17,0,1,0,6,0,1,1,10,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E3_BITS_WEDA_MIXED_seed42_lr0.0005,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,A5_Direction_Only,42,0.0005,19,0.8161268556005399,0.6101688146591187,0.5744810744810745,0.6,0.5,0.7619047619047619,0.46153846153846156,25,0.839,-0.2645189255189254,57268,223.703125,55.92578125,4,2,3,1,8,0,2,2,3,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E4_BITS_TO_WEDA_seed42_lr0.0005,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,A5_Direction_Only,42,0.0005,7,0.8061497326203209,0.44309598207473755,0.3634632034632035,0.4,0.48,0.18181818181818182,0.42857142857142855,25,,,57268,223.703125,55.92578125,6,0,3,7,1,1,3,1,3,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E5_WEDA_TO_BITS_seed42_lr0.0005,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,A5_Direction_Only,42,0.0005,12,0.8306878306878307,0.7712780833244324,0.6046070460704608,0.6666666666666666,0.7804878048780488,0.5333333333333333,0.5,36,,,57268,223.703125,55.92578125,16,2,0,2,4,0,5,3,4,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E1_BITS_TO_BITS_seed43_lr0.001,E1_BITS_TO_BITS,E1_BITS_TO_BITS,A5_Direction_Only,43,0.001,7,0.8121977584343175,0.4231163263320923,0.8428731762065095,0.8055555555555556,0.7878787878787878,1.0,0.7407407407407407,36,,,57268,223.703125,55.92578125,13,0,5,0,6,0,2,0,10,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
