pipeline,experiment_id,train_protocol,source,E2E_Direction_Macro_F1,coverage,correct_rate,forward_f1,backward_f1,lateral_f1,direction_n_supervised,fall_branch
A5_Direction_Only_E1_BITS_TO_BITS_seed42_lr0.001,E1_BITS_TO_BITS,E1_BITS_TO_BITS,fixed_GB_FallNoTiming_Full_132,0.5633173843700159,0.8055555555555556,0.5833333333333334,0.8,0.36363636363636365,0.5263157894736842,36,GradientBoosting_FallNoTiming_Full_132
A5_Direction_Only_E2_WEDA_TO_WEDA_seed42_lr0.001,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,fixed_GB_FallNoTiming_Full_132,0.6751322751322751,0.88,0.64,0.5333333333333333,0.7777777777777778,0.7142857142857143,25,GradientBoosting_FallNoTiming_Full_132
A5_Direction_Only_E3_BITS_WEDA_MIXED_seed42_lr0.001,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,fixed_GB_FallNoTiming_Full_132,0.822826296510507,0.8524590163934426,0.7704918032786885,0.8571428571428571,0.7692307692307693,0.8421052631578947,61,GradientBoosting_FallNoTiming_Full_132
A5_Direction_Only_E3_BITS_WEDA_MIXED_seed42_lr0.001,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,fixed_GB_FallNoTiming_Full_132,0.7708333333333334,0.8055555555555556,0.7222222222222222,0.8125,0.6666666666666666,0.8333333333333334,36,GradientBoosting_FallNoTiming_Full_132
A5_Direction_Only_E3_BITS_WEDA_MIXED_seed42_lr0.001,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,fixed_GB_FallNoTiming_Full_132,0.8739495798319328,0.92,0.84,0.9411764705882353,0.8235294117647058,0.8571428571428571,25,GradientBoosting_FallNoTiming_Full_132
A5_Direction_Only_E4_BITS_TO_WEDA_seed42_lr0.001,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,fixed_GB_FallNoTiming_Full_132,0.34405458089668617,0.96,0.36,0.42105263157894735,0.16666666666666666,0.4444444444444444,25,GradientBoosting_FallNoTiming_Full_132
A5_Direction_Only_E5_WEDA_TO_BITS_seed42_lr0.001,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,fixed_GB_FallNoTiming_Full_132,0.4800950683303625,0.6944444444444444,0.5,0.7878787878787878,0.18181818181818182,0.47058823529411764,36,GradientBoosting_FallNoTiming_Full_132
A5_Direction_Only_E1_BITS_TO_BITS_seed42_lr0.0005,E1_BITS_TO_BITS,E1_BITS_TO_BITS,fixed_GB_FallNoTiming_Full_132,0.6000000000000001,0.8055555555555556,0.6111111111111112,0.8,0.4,0.6,36,GradientBoosting_FallNoTiming_Full_132
A5_Direction_Only_E2_WEDA_TO_WEDA_seed42_lr0.0005,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,fixed_GB_FallNoTiming_Full_132,0.5494505494505494,0.88,0.52,0.5714285714285714,0.46153846153846156,0.6153846153846154,25,GradientBoosting_FallNoTiming_Full_132
A5_Direction_Only_E3_BITS_WEDA_MIXED_seed42_lr0.0005,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,fixed_GB_FallNoTiming_Full_132,0.7024142990529545,0.8524590163934426,0.6557377049180327,0.7346938775510204,0.6666666666666666,0.7058823529411765,61,GradientBoosting_FallNoTiming_Full_132
