model_name,seed,learning_rate,params,avg_e3_e6_e7_f1,std_e3_e6_e7_f1,e3_f1,e6_f1,e7_f1,direction_accuracy_mean,delta_vs_historical_A5_mean,cv_e3_e6_e7
A5_Direction_Only,42,0.001,57268,0.9006122406794712,0.013204033441654732,0.8966493168510085,0.8898434898434898,0.9153439153439153,0.9035094110503946,0.010378907346137852,0.014661174748960648
LDX1_D1_Wide_DSConv,42,0.001,5699,0.8855433581439773,0.004070150834850363,0.8829185520361991,0.8902319902319903,0.8834795321637428,0.8847115968427444,-0.004689975189355988,0.0045962185785923
LDX1_D1_Wide_DSConv,43,0.001,5699,0.8723623713174796,0.004559884007623584,0.8716991341991341,0.8681704260651628,0.8772175536881419,0.8847115968427444,-0.017870962015853736,0.005227052607435427
LDX1_D1_Wide_DSConv,43,0.0005,5699,0.8440870689083372,0.03305349219808436,0.8439325419257585,0.8111111111111112,0.8772175536881419,0.855264116575592,-0.04614626442499614,0.03915886573269347
LDX1_D1_Wide_DSConv,42,0.0005,5699,0.8436982147252983,0.005899588321886359,0.8444155280850142,0.8492063492063492,0.8374727668845315,0.8511900425015179,-0.04653511860803505,0.006992533845537672
LDX1_D1_Wide_DSConv,44,0.0005,5699,0.8369249762238876,0.04201492197024598,0.8344086021505376,0.7962247962247962,0.880141530296329,0.8405403764420157,-0.05330835710944574,0.050201539162820344
A5_Direction_Only,43,0.0005,57268,0.8267976762483903,0.026622530496475772,0.8338182584861903,0.8492063492063492,0.7973684210526315,0.8323922282938677,-0.06343565708494303,0.032199571021142674
LDX1_D1_Wide_DSConv,46,0.0005,5699,0.8233768070403777,0.05409614556798146,0.831001031991744,0.8732563732563733,0.7658730158730159,0.8283181542197936,-0.06685652629295562,0.06570035141313936
LDX1_D1_Wide_DSConv,46,0.001,5699,0.8109192062281307,0.04292322360413558,0.8155388471177943,0.8513457556935817,0.7658730158730159,0.8135944140862174,-0.07931412710520269,0.05293156614675157
LDX1_D1_Wide_DSConv,45,0.001,5699,0.7992261146797538,0.008360387126847061,0.8028762198253725,0.8051408051408052,0.7896613190730838,0.8176684881602915,-0.09100721865357952,0.010460603042478197
A5_Direction_Only,46,0.0005,57268,0.7915555376855686,0.030284922234316017,0.7887955182072829,0.7627450980392158,0.8231259968102073,0.8217425622343656,-0.09867779564776473,0.03826000930126291
LDX1_D1_Wide_DSConv,45,0.0005,5699,0.7832399475230692,0.06477235742192124,0.7839520431171975,0.718114478114478,0.8476533213375319,0.8070188221007893,-0.10699338581026423,0.08269797477357788
LDX1_D1_Wide_DSConv,44,0.001,5699,0.7743586296520356,0.004885438743791958,0.7786137234413096,0.7754385964912279,0.769023569023569,0.8029447480267153,-0.11587470368129782,0.006309013106740051
A5_Direction_Only,42,0.0005,57268,0.7571081944483479,0.17059565834734777,0.7844813138930786,0.9123621949708905,0.5744810744810745,0.7678506375227686,-0.13312513888498545,0.2253253360593316
A5_Direction_Only,46,0.001,57268,0.7568081897936706,0.036683995056995065,0.7714833059660645,0.7838827838827839,0.7150584795321637,0.7800728597449909,-0.13342514353966264,0.04847198477991664
A5_Direction_Only,45,0.0005,57268,0.7515158840236239,0.018921698593981268,0.7552825552825553,0.7309941520467836,0.7682709447415329,0.7882210078931391,-0.13871744930970942,0.025178042136214468
A5_Direction_Only,45,0.001,57268,0.7344746729948866,0.05480794748635522,0.7419103313840156,0.7851851851851852,0.6763285024154589,0.7653491196114146,-0.15575866033844676,0.07462197064314129
A5_Direction_Only,44,0.0005,57268,0.731053253777643,0.10091365171232829,0.7453203916669336,0.8240740740740741,0.623765295591921,0.7424772313296902,-0.15918007955569047,0.13803871495115752
A5_Direction_Only,43,0.001,57268,0.7072321722936579,0.17283796110398428,0.734430940267571,0.8648581692059953,0.5224074074074073,0.7384031572556163,-0.18300116103967545,0.24438645168452303
A5_Direction_Only,44,0.001,57268,0.6503952186846035,0.1982415640710401,0.6745548794230336,0.8354497354497354,0.44118104118104123,0.6820097146326655,-0.23983811464872992,0.30480169345644204
