model_name,protocol_id,split,n_direction,forward,backward,lateral
A5_Direction_Only,E1_BITS_TO_BITS,train,172,85,29,58
A5_Direction_Only,E1_BITS_TO_BITS,val,36,18,6,12
A5_Direction_Only,E1_BITS_TO_BITS,test,36,18,6,12
A5_Direction_Only,E2_WEDA_TO_WEDA,train,300,108,108,84
A5_Direction_Only,E2_WEDA_TO_WEDA,val,25,9,9,7
A5_Direction_Only,E2_WEDA_TO_WEDA,test,25,9,9,7
A5_Direction_Only,E3_BITS_WEDA_MIXED,train,472,193,137,142
A5_Direction_Only,E3_BITS_WEDA_MIXED,val,61,27,15,19
A5_Direction_Only,E3_BITS_WEDA_MIXED,test,61,27,15,19
A5_Direction_Only,E4_BITS_TO_WEDA,train,172,85,29,58
A5_Direction_Only,E4_BITS_TO_WEDA,val,36,18,6,12
A5_Direction_Only,E4_BITS_TO_WEDA,test,25,9,9,7
A5_Direction_Only,E5_WEDA_TO_BITS,train,300,108,108,84
A5_Direction_Only,E5_WEDA_TO_BITS,val,25,9,9,7
A5_Direction_Only,E5_WEDA_TO_BITS,test,36,18,6,12
LDX1_D1_Wide_DSConv,E1_BITS_TO_BITS,train,172,85,29,58
LDX1_D1_Wide_DSConv,E1_BITS_TO_BITS,val,36,18,6,12
LDX1_D1_Wide_DSConv,E1_BITS_TO_BITS,test,36,18,6,12
LDX1_D1_Wide_DSConv,E2_WEDA_TO_WEDA,train,300,108,108,84
LDX1_D1_Wide_DSConv,E2_WEDA_TO_WEDA,val,25,9,9,7
LDX1_D1_Wide_DSConv,E2_WEDA_TO_WEDA,test,25,9,9,7
LDX1_D1_Wide_DSConv,E3_BITS_WEDA_MIXED,train,472,193,137,142
LDX1_D1_Wide_DSConv,E3_BITS_WEDA_MIXED,val,61,27,15,19
LDX1_D1_Wide_DSConv,E3_BITS_WEDA_MIXED,test,61,27,15,19
LDX1_D1_Wide_DSConv,E4_BITS_TO_WEDA,train,172,85,29,58
LDX1_D1_Wide_DSConv,E4_BITS_TO_WEDA,val,36,18,6,12
LDX1_D1_Wide_DSConv,E4_BITS_TO_WEDA,test,25,9,9,7
LDX1_D1_Wide_DSConv,E5_WEDA_TO_BITS,train,300,108,108,84
LDX1_D1_Wide_DSConv,E5_WEDA_TO_BITS,val,25,9,9,7
LDX1_D1_Wide_DSConv,E5_WEDA_TO_BITS,test,36,18,6,12
