comparison,feature,pos_group,neg_group,n_pos,n_neg,median_pos,median_neg,iqr_pos,iqr_neg,median_delta,cohens_d,ks_statistic,mannwhitney_p
weda_tp_vs_fn,impact_distance_from_center,TP,FN,24,1,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
weda_tp_vs_fn,az_range,TP,FN,24,1,41.465110778808594,14.73480224609375,17.569679260253906,0.0,26.730308532714844,,1.0,0.08
weda_tp_vs_fn,az_std,TP,FN,24,1,7.255127906799316,4.1100687980651855,3.0210505723953247,0.0,3.145059108734131,,0.9166666666666666,0.24
weda_tp_vs_fn,tilt_delta_std,TP,FN,24,1,6.3084328174591064,4.082401752471924,1.9307081699371338,0.0,2.2260310649871826,,0.9583333333333334,0.16
weda_tp_vs_fn,tilt_delta_max,TP,FN,24,1,16.185729026794434,11.954496383666992,6.138369798660278,0.0,4.231232643127441,,0.8333333333333334,0.4
weda_tp_vs_fn,tilt_delta_p95,TP,FN,24,1,10.127889442443845,8.30140993595122,2.8316487252712275,0.0,1.8264795064926247,,0.7083333333333334,0.64
weda_tp_vs_fn,jerk_max,TP,FN,24,1,321.09234619140625,180.53907775878906,128.8543472290039,0.0,140.5532684326172,,1.0,0.08
weda_tp_vs_fn,jerk_std,TP,FN,24,1,98.82384872436523,86.93724822998047,32.30801963806152,0.0,11.886600494384766,,0.5833333333333334,0.8799999999999999
weda_tp_vs_fn,ax_range,TP,FN,24,1,37.8502140045166,33.625,13.078143119812012,0.0,4.225214004516602,,0.75,0.56
weda_tp_vs_fn,acc_mag_range,TP,FN,24,1,36.91075897216797,27.8387451171875,8.41377592086792,0.0,9.072013854980469,,0.9166666666666666,0.24
weda_tp_vs_fn,ay_range,TP,FN,24,1,31.192720413208008,34.960105895996094,16.531363010406494,0.0,-3.767385482788086,,0.5833333333333334,0.8799999999999999
weda_tp_vs_fn,acc_mag_max,TP,FN,24,1,39.591552734375,30.528114318847656,8.344721794128418,0.0,9.063438415527344,,0.875,0.32
weda_tp_vs_fn,gy_range,TP,FN,24,1,10.310421466827393,16.42727279663086,6.7582221031188965,0.0,-6.116851329803467,,0.7916666666666666,0.48000000000000004
weda_tp_vs_fn,az_min,TP,FN,24,1,-16.13052463531494,-3.7776596546173096,11.862051010131836,0.0,-12.352864980697632,,1.0,0.08
weda_tp_vs_fn,jerk_p95,TP,FN,24,1,151.4722034454345,116.58160820007322,65.10679759979242,0.0,34.89059524536128,,0.7083333333333334,0.64
weda_tp_vs_fn,roll_range,TP,FN,24,1,5.753515720367432,4.712925910949707,1.263878345489502,0.0,1.0405898094177246,,0.7916666666666666,0.48000000000000004
weda_tp_vs_fn,ax_std,TP,FN,24,1,6.9000208377838135,6.88814115524292,2.303410768508911,0.0,0.011879682540893555,,0.5,1.0
weda_tp_vs_fn,acc_mag_std,TP,FN,24,1,6.672359943389893,4.945472717285156,2.067931056022644,0.0,1.7268872261047363,,0.9166666666666666,0.24
