pipeline,experiment_id,train_protocol,source,E2E_Direction_Macro_F1,coverage,correct_rate,forward_f1,backward_f1,lateral_f1,direction_n_supervised,fall_branch
LDX1_D1_Wide_DSConv_E1_BITS_TO_BITS_seed42_lr0.001,E1_BITS_TO_BITS,E1_BITS_TO_BITS,fixed_GB_FallNoTiming_Full_132,0.5333333333333333,0.8055555555555556,0.5833333333333334,0.8,0.2,0.6,36,GradientBoosting_FallNoTiming_Full_132
LDX1_D1_Wide_DSConv_E2_WEDA_TO_WEDA_seed42_lr0.001,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,fixed_GB_FallNoTiming_Full_132,0.8959276018099548,0.88,0.84,0.8235294117647058,0.9411764705882353,0.9230769230769231,25,GradientBoosting_FallNoTiming_Full_132
LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed42_lr0.001,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,fixed_GB_FallNoTiming_Full_132,0.7883005385804939,0.8524590163934426,0.7377049180327869,0.8085106382978723,0.7142857142857143,0.8421052631578947,61,GradientBoosting_FallNoTiming_Full_132
LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed42_lr0.001,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,fixed_GB_FallNoTiming_Full_132,0.7317028985507247,0.8055555555555556,0.6944444444444444,0.8125,0.6,0.782608695652174,36,GradientBoosting_FallNoTiming_Full_132
LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed42_lr0.001,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,fixed_GB_FallNoTiming_Full_132,0.837037037037037,0.92,0.8,0.8,0.7777777777777778,0.9333333333333333,25,GradientBoosting_FallNoTiming_Full_132
LDX1_D1_Wide_DSConv_E4_BITS_TO_WEDA_seed42_lr0.001,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,fixed_GB_FallNoTiming_Full_132,0.2748917748917749,0.96,0.4,0.6428571428571429,0.0,0.18181818181818182,25,GradientBoosting_FallNoTiming_Full_132
LDX1_D1_Wide_DSConv_E5_WEDA_TO_BITS_seed42_lr0.001,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,fixed_GB_FallNoTiming_Full_132,0.5346801346801348,0.6944444444444444,0.5555555555555556,0.8484848484848485,0.2,0.5555555555555556,36,GradientBoosting_FallNoTiming_Full_132
LDX1_D1_Wide_DSConv_E1_BITS_TO_BITS_seed42_lr0.0005,E1_BITS_TO_BITS,E1_BITS_TO_BITS,fixed_GB_FallNoTiming_Full_132,0.6585858585858586,0.8055555555555556,0.6666666666666666,0.8484848484848485,0.4,0.7272727272727273,36,GradientBoosting_FallNoTiming_Full_132
LDX1_D1_Wide_DSConv_E2_WEDA_TO_WEDA_seed42_lr0.0005,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,fixed_GB_FallNoTiming_Full_132,0.5216374269005848,0.88,0.48,0.3333333333333333,0.631578947368421,0.6,25,GradientBoosting_FallNoTiming_Full_132
LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed42_lr0.0005,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,fixed_GB_FallNoTiming_Full_132,0.7418524332810047,0.8524590163934426,0.7049180327868853,0.8163265306122449,0.64,0.7692307692307693,61,GradientBoosting_FallNoTiming_Full_132
