run_id,experiment_id,train_protocol,model_name,seed,learning_rate,best_epoch,best_val_macro_f1,best_val_loss,direction_macro_f1,direction_accuracy,forward_f1,backward_f1,lateral_f1,direction_n_supervised,A5_direction_macro_f1,D1_tiny_direction_macro_f1,D2_micro_tcn_direction_macro_f1,delta_vs_A5,delta_vs_D1,delta_vs_D2,params,estimated_fp32_kb,estimated_int8_kb,distill_temperature,distill_alpha,teacher_note,cm_00,cm_01,cm_02,cm_10,cm_11,cm_12,cm_20,cm_21,cm_22,macs_estimate,tflite_convert,int8_tflite_convert,edge_suitability,complexity_note
LDX1_D1_Wide_DSConv_E1_BITS_TO_BITS_seed42_lr0.001,E1_BITS_TO_BITS,E1_BITS_TO_BITS,LDX1_D1_Wide_DSConv,42,0.001,13,0.8772175536881419,0.40127184987068176,0.7486057486057486,0.7777777777777778,0.8648648648648649,0.7142857142857143,0.6666666666666666,36,0.8777348777348778,0.8322981366459627,0.8659932659932661,-0.12912912912912922,-0.08369238804021417,-0.11738751738751751,5699,22.26171875,5.5654296875,,,,16,0,2,1,5,0,2,3,7,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv_E2_WEDA_TO_WEDA_seed42_lr0.001,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,LDX1_D1_Wide_DSConv,42,0.001,31,0.9191176470588235,0.23667098581790924,0.9568151147098515,0.96,0.9473684210526315,1.0,0.9230769230769231,25,0.6071428571428571,0.8773809523809524,0.6004357298474946,0.3496722575669944,0.0794341623288991,0.3563793848623569,5699,22.26171875,5.5654296875,,,,9,0,0,0,9,0,1,0,6,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed42_lr0.001,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,LDX1_D1_Wide_DSConv,42,0.001,11,0.8928812415654521,0.40853050351142883,0.8829185520361991,0.8852459016393442,0.9019607843137255,0.875,0.8717948717948718,61,0.8966626725247414,0.8196649029982362,0.802435064935065,-0.013744120488542344,0.06325364903796282,0.08048348710113407,5699,22.26171875,5.5654296875,,,,23,2,2,0,14,1,1,1,17,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed42_lr0.001,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,LDX1_D1_Wide_DSConv,42,0.001,11,0.8928812415654521,0.40853050351142883,0.8902319902319903,0.8888888888888888,0.9142857142857143,0.9230769230769231,0.8333333333333334,36,0.9350469350469351,0.7830568124685771,0.8320946364424625,-0.04481494481494486,0.10717517776341323,0.05813735378952778,5699,22.26171875,5.5654296875,,,,16,0,2,0,6,0,1,1,10,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed42_lr0.001,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,LDX1_D1_Wide_DSConv,42,0.001,11,0.8928812415654521,0.40853050351142883,0.8834795321637428,0.88,0.875,0.8421052631578947,0.9333333333333333,25,0.8390350877192981,0.8846903583745688,0.7930283224400871,0.04444444444444462,-0.0012108262108260215,0.09045120972365561,5699,22.26171875,5.5654296875,,,,7,2,0,0,8,1,0,0,7,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv_E4_BITS_TO_WEDA_seed42_lr0.001,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,LDX1_D1_Wide_DSConv,42,0.001,13,0.8772175536881419,0.40127184987068176,0.3354978354978355,0.44,0.6428571428571429,0.18181818181818182,0.18181818181818182,25,0.3876262626262626,0.1777777777777777,0.3668261562998405,-0.05212842712842708,0.15772005772005782,-0.03132832080200498,5699,22.26171875,5.5654296875,,,,9,0,0,5,1,3,5,1,1,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv_E5_WEDA_TO_BITS_seed42_lr0.001,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,LDX1_D1_Wide_DSConv,42,0.001,31,0.9191176470588235,0.23667098581790924,0.7321123321123321,0.7777777777777778,0.9142857142857143,0.6153846153846154,0.6666666666666666,36,0.6271469828241374,0.6770334928229665,0.6596491228070175,0.10496534928819468,0.05507883928936552,0.07246320930531458,5699,22.26171875,5.5654296875,,,,16,0,2,0,4,2,1,3,8,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv_E1_BITS_TO_BITS_seed42_lr0.0005,E1_BITS_TO_BITS,E1_BITS_TO_BITS,LDX1_D1_Wide_DSConv,42,0.0005,24,0.8772175536881419,0.40039607882499695,0.8513457556935817,0.8611111111111112,0.9142857142857143,0.8571428571428571,0.782608695652174,36,0.8777348777348778,0.8322981366459627,0.8659932659932661,-0.026389122041296065,0.01904761904761898,-0.014647510299684363,5699,22.26171875,5.5654296875,,,,16,0,2,0,6,0,1,2,9,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv_E2_WEDA_TO_WEDA_seed42_lr0.0005,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,LDX1_D1_Wide_DSConv,42,0.0005,7,0.9166666666666666,0.8628743886947632,0.6,0.6,0.5,0.7,0.6,25,0.6071428571428571,0.8773809523809524,0.6004357298474946,-0.0071428571428571175,-0.2773809523809524,-0.00043572984749462584,5699,22.26171875,5.5654296875,,,,5,4,0,2,7,0,4,0,3,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed42_lr0.0005,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,LDX1_D1_Wide_DSConv,42,0.0005,23,0.8928812415654521,0.42846181988716125,0.8444155280850142,0.8524590163934426,0.9056603773584906,0.8275862068965517,0.8,61,0.8966626725247414,0.8196649029982362,0.802435064935065,-0.05224714443972722,0.024750625086777944,0.04198046314994919,5699,22.26171875,5.5654296875,,,,24,1,2,0,12,3,2,1,16,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed42_lr0.0005,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,LDX1_D1_Wide_DSConv,42,0.0005,23,0.8928812415654521,0.42846181988716125,0.8492063492063492,0.8611111111111112,0.9142857142857143,0.8333333333333334,0.8,36,0.9350469350469351,0.7830568124685771,0.8320946364424625,-0.08584058584058596,0.06614953673777213,0.017111712763886677,5699,22.26171875,5.5654296875,,,,16,0,2,0,5,1,1,1,10,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
