model_name,seed,learning_rate,params,avg_direction_macro_f1,e3_direction_macro_f1,e6_direction_macro_f1,e7_direction_macro_f1,avg_delta_vs_a5,avg_delta_vs_d1,avg_delta_vs_d2,passes_main_replacement,passes_edge_ablation
LDX1_D1_Wide_DSConv,42,0.001,5699,0.8855433581439773,0.8829185520361991,0.8902319902319903,0.8834795321637428,-0.0047048736196808605,0.05640600019685001,0.07635735020477248,True,True
LDX1_D1_Wide_DSConv,43,0.001,5699,0.8723623713174796,0.8716991341991341,0.8681704260651628,0.8772175536881419,-0.017885860446178608,0.04322501337035226,0.06317636337827474,False,True
LDX1_D1_Wide_DSConv,43,0.0005,5699,0.8440870689083372,0.8439325419257585,0.8111111111111112,0.8772175536881419,-0.046161162855321014,0.014949710961209858,0.034901060969132335,False,False
LDX1_D1_Wide_DSConv,42,0.0005,5699,0.8436982147252983,0.8444155280850142,0.8492063492063492,0.8374727668845315,-0.046550017038359925,0.014560856778170947,0.03451220678609342,False,False
LDX1_D1_Wide_DSConv,44,0.0005,5699,0.8369249762238876,0.8344086021505376,0.7962247962247962,0.880141530296329,-0.05332325553977061,0.007787618276760259,0.027738968284682735,False,False
LDX3_A5_Direction_Small_075,43,0.0005,19648,0.7811035272335584,0.7829131652661064,0.8063063063063064,0.7540911101282619,-0.10914470453009999,-0.04803383071356911,-0.028082480705646635,False,False
LDX1_D1_Wide_DSConv,44,0.001,5699,0.7743586296520356,0.7786137234413096,0.7754385964912279,0.769023569023569,-0.11588960211162269,-0.05477872829509182,-0.03482737828716934,False,False
LDX2_D1_Wide_Attention,44,0.0005,5748,0.7627092093386855,0.7733417895460071,0.8063063063063064,0.7084795321637426,-0.12753902242497286,-0.066428148608442,-0.04647679860051953,False,False
LDX3_A5_Direction_Small_075,44,0.0005,19648,0.7440345187939981,0.7437019969278035,0.7754385964912279,0.7129629629629629,-0.14621371296966013,-0.08510283915312926,-0.06515148914520678,False,False
LDX2_D1_Wide_Attention,44,0.001,5748,0.7334794664943058,0.7421877577957433,0.7768780926675664,0.681372549019608,-0.15676876526935235,-0.09565789145282148,-0.07570654144489901,False,False
LDX3_A5_Direction_Small_075,42,0.001,19648,0.7302882101430196,0.7361894810170672,0.78683889210205,0.6678362573099416,-0.15996002162063863,-0.09884914780410776,-0.07889779779618529,False,False
LDX3_A5_Direction_Small_075,44,0.001,19648,0.7027414297063753,0.711441792336629,0.8063063063063064,0.5904761904761905,-0.18750680205728296,-0.12639592824075208,-0.1064445782328296,False,False
LDX3_A5_Direction_Small_075,43,0.001,19648,0.702607427574427,0.7146637149483449,0.7926683716965046,0.6004901960784315,-0.18764080418923124,-0.12652993037270036,-0.1065785803647779,False,False
LDX3_A5_Direction_Small_075,42,0.0005,19648,0.684502040853277,0.6981014628073451,0.7241647241647242,0.6312399355877617,-0.20574619091038124,-0.14463531709385036,-0.12468396708592788,False,False
LDX4_D1_Wide_Attention_Distill_T2_A050,44,0.0005,5748,0.6678616227635836,0.6861556743909686,0.7627450980392158,0.5546840958605664,-0.22238660900007465,-0.16127573518354377,-0.1413243851756213,False,False
LDX4_D1_Wide_Attention_Distill_T2_A070,44,0.001,5748,0.6537703500680797,0.6742756512493354,0.7542328042328043,0.5328025947220993,-0.23647788169557857,-0.1753670078790477,-0.1554156578711252,False,False
LDX2_D1_Wide_Attention,43,0.001,5748,0.650215910393929,0.6682947900053163,0.7627450980392158,0.5196078431372549,-0.2400323213697292,-0.17892144755319836,-0.15897009754527588,False,False
