run_id,eval,dataset,n,threshold,TN,FP,FN,TP,fall_precision,fall_recall,fall_f1,fall_accuracy,fall_auroc,fall_average_precision,direction_macro_f1,direction_accuracy,direction_n_supervised,forward_f1,backward_f1,lateral_f1,features,fusion,hard_negative_weight,summary_feature_count,timing_features_used,params,added_params_over_reference,direction_changed_from_reference,notes
REF_CURRENT_E3_ARTIFACT,E3,bits+weda,708,,614,21,6,67,0.7613636363636364,0.9178082191780822,0.8322981366459627,0.961864406779661,0.9658073562722468,0.901453702667915,0.8966626725247414,0.9016393442622951,61,0.9285714285714286,0.896551724137931,0.8648648648648649,temporal_tilt12,reference_softmax,,0,False,65959,0,False,"Reference DS-Fall-RD A5WCEFW, threshold 0.5."
REF_CURRENT_E3_ARTIFACT,E6,bits,528,,480,0,5,43,1.0,0.8958333333333334,0.945054945054945,0.990530303030303,0.961328125,0.933191170041879,0.9350469350469351,0.9444444444444444,36,0.972972972972973,0.9230769230769231,0.9090909090909091,temporal_tilt12,reference_softmax,,0,False,65959,0,False,"Reference DS-Fall-RD A5WCEFW, threshold 0.5."
REF_CURRENT_E3_ARTIFACT,E7,weda,180,,134,21,1,24,0.5333333333333333,0.96,0.6857142857142857,0.8777777777777778,0.9633548387096774,0.8061146676890154,0.8390350877192981,0.84,25,0.8421052631578947,0.875,0.8,temporal_tilt12,reference_softmax,,0,False,65959,0,False,"Reference DS-Fall-RD A5WCEFW, threshold 0.5."
FV1_LITE10_AND,E3,bits+weda,708,,620,15,6,67,0.8170731707317073,0.9178082191780822,0.864516129032258,0.9703389830508474,0.9630460575989644,0.8780054046752842,0.8966626725247414,0.9016393442622951,61,0.9285714285714286,0.896551724137931,0.8648648648648649,FV-Lite10,and,2.0,10,False,65970,11,False,AND fusion with Lite10 verifier.
FV1_LITE10_AND,E6,bits,528,,480,0,5,43,1.0,0.8958333333333334,0.945054945054945,0.990530303030303,0.960720486111111,0.9262626920787222,0.9350469350469351,0.9444444444444444,36,0.972972972972973,0.9230769230769231,0.9090909090909091,FV-Lite10,and,2.0,10,False,65970,11,False,AND fusion with Lite10 verifier.
FV1_LITE10_AND,E7,weda,180,,140,15,1,24,0.6153846153846154,0.96,0.75,0.9111111111111111,0.9649032258064516,0.802529012448633,0.8390350877192981,0.84,25,0.8421052631578947,0.875,0.8,FV-Lite10,and,2.0,10,False,65970,11,False,AND fusion with Lite10 verifier.
FV2_LITE10_LOGIT_FUSION,E3,bits+weda,708,,619,16,6,67,0.8072289156626506,0.9178082191780822,0.8589743589743589,0.9689265536723164,0.9714162442023514,0.9027442960201997,0.8966626725247414,0.9016393442622951,61,0.9285714285714286,0.896551724137931,0.8648648648648649,FV-Lite10,logit_fusion,2.0,10,False,65973,14,False,Preferred clean FV architecture.
FV2_LITE10_LOGIT_FUSION,E6,bits,528,,480,0,5,43,1.0,0.8958333333333334,0.945054945054945,0.990530303030303,0.9720920138888889,0.9365745254516751,0.9350469350469351,0.9444444444444444,36,0.972972972972973,0.9230769230769231,0.9090909090909091,FV-Lite10,logit_fusion,2.0,10,False,65973,14,False,Preferred clean FV architecture.
FV2_LITE10_LOGIT_FUSION,E7,weda,180,,139,16,1,24,0.6,0.96,0.7384615384615385,0.9055555555555556,0.9641290322580645,0.8088093264785019,0.8390350877192981,0.84,25,0.8421052631578947,0.875,0.8,FV-Lite10,logit_fusion,2.0,10,False,65973,14,False,Preferred clean FV architecture.
FV3_CENTER12_LOGIT_FUSION,E3,bits+weda,708,,614,21,6,67,0.7613636363636364,0.9178082191780822,0.8322981366459627,0.961864406779661,0.9642972710602955,0.8978182573046913,0.8966626725247414,0.9016393442622951,61,0.9285714285714286,0.896551724137931,0.8648648648648649,FV-Center12,logit_fusion,2.0,12,True,65975,16,False,Upper-bound with center timing features.
