run_id,eval,dataset,n,TN,FP,FN,TP,fall_precision,fall_recall,fall_f1,fall_accuracy,fall_auroc,fall_average_precision,direction_macro_f1,direction_accuracy,direction_n_supervised,forward_f1,backward_f1,lateral_f1,features,fusion,verifier,threshold_rule,verifier_params,tree_depth,tree_leaves,rf_n_trees,rf_max_depth,edge_suitability_note,weda_fp_reduction_vs_reference,weda_fp_reduction_vs_fv1_lite10_and
FV1A,E3,bits+weda,708,614,21,6,67,0.7613636363636364,0.9178082191780822,0.8322981366459627,0.961864406779661,0.9629597670154244,0.8768724193008152,0.8966626725247414,0.9016393442622951,61,0.9285714285714286,0.896551724137931,0.8648648648648649,Lite10,and,logistic_regression,max_f1_precision_065,11,,,,,Very edge-friendly LR: 11 scalar parameters plus scaler.,,
FV1A,E6,bits,528,480,0,5,43,1.0,0.8958333333333334,0.945054945054945,0.990530303030303,0.960720486111111,0.9262626920787222,0.9350469350469351,0.9444444444444444,36,0.972972972972973,0.9230769230769231,0.9090909090909091,Lite10,and,logistic_regression,max_f1_precision_065,11,,,,,Very edge-friendly LR: 11 scalar parameters plus scaler.,,
FV1A,E7,weda,180,134,21,1,24,0.5333333333333333,0.96,0.6857142857142857,0.8777777777777778,0.9643870967741935,0.7936003985788426,0.8390350877192981,0.84,25,0.8421052631578947,0.875,0.8,Lite10,and,logistic_regression,max_f1_precision_065,11,,,,,Very edge-friendly LR: 11 scalar parameters plus scaler.,0.0,-6.0
FV1B,E3,bits+weda,708,609,26,5,68,0.723404255319149,0.9315068493150684,0.8143712574850299,0.9562146892655368,0.9629597670154244,0.8768724193008152,0.8966626725247414,0.9016393442622951,61,0.9285714285714286,0.896551724137931,0.8648648648648649,Lite10,and,logistic_regression,min_fp_recall_088,11,,,,,Very edge-friendly LR: 11 scalar parameters plus scaler.,,
FV1B,E6,bits,528,477,3,5,43,0.9347826086956522,0.8958333333333334,0.9148936170212766,0.9848484848484849,0.960720486111111,0.9262626920787222,0.9350469350469351,0.9444444444444444,36,0.972972972972973,0.9230769230769231,0.9090909090909091,Lite10,and,logistic_regression,min_fp_recall_088,11,,,,,Very edge-friendly LR: 11 scalar parameters plus scaler.,,
FV1B,E7,weda,180,132,23,0,25,0.5208333333333334,1.0,0.684931506849315,0.8722222222222222,0.9643870967741935,0.7936003985788426,0.8390350877192981,0.84,25,0.8421052631578947,0.875,0.8,Lite10,and,logistic_regression,min_fp_recall_088,11,,,,,Very edge-friendly LR: 11 scalar parameters plus scaler.,-2.0,-8.0
FV7,E3,bits+weda,708,614,21,6,67,0.7613636363636364,0.9178082191780822,0.8322981366459627,0.961864406779661,0.9638658181425952,0.8875554650596441,0.8966626725247414,0.9016393442622951,61,0.9285714285714286,0.896551724137931,0.8648648648648649,AxisHard10,and,logistic_regression,max_f1_precision_065,11,,,,,Very edge-friendly LR: 11 scalar parameters plus scaler.,,
FV7,E6,bits,528,480,0,5,43,1.0,0.8958333333333334,0.945054945054945,0.990530303030303,0.960720486111111,0.9263182765093065,0.9350469350469351,0.9444444444444444,36,0.972972972972973,0.9230769230769231,0.9090909090909091,AxisHard10,and,logistic_regression,max_f1_precision_065,11,,,,,Very edge-friendly LR: 11 scalar parameters plus scaler.,,
FV7,E7,weda,180,134,21,1,24,0.5333333333333333,0.96,0.6857142857142857,0.8777777777777778,0.9695483870967742,0.826964914900524,0.8390350877192981,0.84,25,0.8421052631578947,0.875,0.8,AxisHard10,and,logistic_regression,max_f1_precision_065,11,,,,,Very edge-friendly LR: 11 scalar parameters plus scaler.,0.0,-6.0
FV8,E3,bits+weda,708,613,22,6,67,0.7528089887640449,0.9178082191780822,0.8271604938271605,0.96045197740113,0.9715025347858914,0.9026550774141321,0.8966626725247414,0.9016393442622951,61,0.9285714285714286,0.896551724137931,0.8648648648648649,AxisHard10,stacked_logit_fusion,logistic_regression,max_f1_precision_065,11,,,,,Very edge-friendly LR: 11 scalar parameters plus scaler.,,
FV8,E6,bits,528,480,0,5,43,1.0,0.8958333333333334,0.945054945054945,0.990530303030303,0.9720920138888889,0.9366265460528177,0.9350469350469351,0.9444444444444444,36,0.972972972972973,0.9230769230769231,0.9090909090909091,AxisHard10,stacked_logit_fusion,logistic_regression,max_f1_precision_065,11,,,,,Very edge-friendly LR: 11 scalar parameters plus scaler.,,
FV8,E7,weda,180,133,22,1,24,0.5217391304347826,0.96,0.676056338028169,0.8722222222222222,0.9641290322580645,0.8088093264785019,0.8390350877192981,0.84,25,0.8421052631578947,0.875,0.8,AxisHard10,stacked_logit_fusion,logistic_regression,max_f1_precision_065,11,,,,,Very edge-friendly LR: 11 scalar parameters plus scaler.,-1.0,-7.0
FV9,E3,bits+weda,708,614,21,6,67,0.7613636363636364,0.9178082191780822,0.8322981366459627,0.961864406779661,0.9609103656563477,0.8263150744314736,0.8966626725247414,0.9016393442622951,61,0.9285714285714286,0.896551724137931,0.8648648648648649,AxisHard10,and,decision_tree_depth3,max_f1_precision_065,15,3.0,8.0,,,"Edge-friendly shallow tree: depth=3, leaves=8.",,
FV9,E6,bits,528,480,0,5,43,1.0,0.8958333333333334,0.945054945054945,0.990530303030303,0.9607204861111113,0.9256928234810325,0.9350469350469351,0.9444444444444444,36,0.972972972972973,0.9230769230769231,0.9090909090909091,AxisHard10,and,decision_tree_depth3,max_f1_precision_065,15,3.0,8.0,,,"Edge-friendly shallow tree: depth=3, leaves=8.",,
FV9,E7,weda,180,134,21,1,24,0.5333333333333333,0.96,0.6857142857142857,0.8777777777777778,0.955483870967742,0.7095908109297253,0.8390350877192981,0.84,25,0.8421052631578947,0.875,0.8,AxisHard10,and,decision_tree_depth3,max_f1_precision_065,15,3.0,8.0,,,"Edge-friendly shallow tree: depth=3, leaves=8.",0.0,-6.0
FV10,E3,bits+weda,708,614,21,6,67,0.7613636363636364,0.9178082191780822,0.8322981366459627,0.961864406779661,0.9631431345054471,0.8813172562311331,0.8966626725247414,0.9016393442622951,61,0.9285714285714286,0.896551724137931,0.8648648648648649,AxisHard10,and,tiny_random_forest_10x_depth3,max_f1_precision_065,150,,80.0,10.0,3.0,"TinyRF: 10 trees, max observed depth=3, total leaves=80.",,
