run_id,eval,dataset,n,E3_Fall_Precision,TN,FP,FN,TP,fall_precision,fall_recall,fall_f1,fall_accuracy,fall_auroc,fall_average_precision,direction_macro_f1,direction_accuracy,direction_n_supervised,forward_f1,backward_f1,lateral_f1,end_to_end_direction_macro_f1,end_to_end_direction_coverage,end_to_end_direction_correct_rate,E7_WEDA_FP_reduction_vs_A5_reference,model_type,feature_set,fall_expert,number_features,threshold,threshold_note,upper_bound_timing,deep_fall_used_for_final,direction_source,estimated_params_or_nodes,number_trees,max_depth,edge_suitability,complexity_notes
DS_Fall_RD_A5_reference,E3,bits+weda,708.0,,614.0,21.0,6.0,67.0,0.7613636363636364,0.9178082191780822,0.8322981366459627,0.961864406779661,0.9658073562722468,0.901453702667915,0.8966626725247414,0.9016393442622951,61.0,0.9285714285714286,0.896551724137931,0.8648648648648649,0.8372183372183373,0.9180327868852459,0.819672131147541,,baseline_deep_temporal,temporal_tilt12,A5_deep_fall_head,12.0,0.5,reference_softmax_threshold,False,True,A5_reference,65959.0,0.0,,high,A5 DS-Fall-RD temporal multitask model.
DS_Fall_RD_A5_reference,E6,bits,528.0,,480.0,0.0,5.0,43.0,1.0,0.8958333333333334,0.945054945054945,0.990530303030303,0.961328125,0.933191170041879,0.9350469350469351,0.9444444444444444,36.0,0.972972972972973,0.9230769230769231,0.9090909090909091,0.842953342953343,0.8888888888888888,0.8333333333333334,,baseline_deep_temporal,temporal_tilt12,A5_deep_fall_head,12.0,0.5,reference_softmax_threshold,False,True,A5_reference,65959.0,0.0,,high,A5 DS-Fall-RD temporal multitask model.
DS_Fall_RD_A5_reference,E7,weda,180.0,,134.0,21.0,1.0,24.0,0.5333333333333333,0.96,0.6857142857142857,0.8777777777777778,0.9633548387096774,0.8061146676890154,0.8390350877192981,0.84,25.0,0.8421052631578947,0.875,0.8,0.8140350877192982,0.96,0.8,0.0,baseline_deep_temporal,temporal_tilt12,A5_deep_fall_head,12.0,0.5,reference_softmax_threshold,False,True,A5_reference,65959.0,0.0,,high,A5 DS-Fall-RD temporal multitask model.
Best_FV1_Lite10_AND,E3,bits+weda,708.0,,620.0,15.0,6.0,67.0,0.8170731707317073,0.9178082191780822,0.864516129032258,0.9703389830508474,0.9630460575989644,0.8780054046752842,0.8966626725247414,0.9016393442622952,61.0,0.9285714285714286,0.896551724137931,0.8648648648648649,,,,,baseline_fv_guard,Lite10,LR_AND_verifier,10.0,,from ds_fall_rd_fv report,False,True,A5_reference,65970.0,0.0,,high,"Prior FV1 baseline, not retrained in this script."
Best_FV1_Lite10_AND,E6,bits,528.0,,480.0,0.0,5.0,43.0,1.0,0.8958333333333334,0.945054945054945,0.990530303030303,0.960720486111111,0.9262626920787222,0.9350469350469351,0.9444444444444444,36.0,0.972972972972973,0.9230769230769232,0.9090909090909092,,,,,baseline_fv_guard,Lite10,LR_AND_verifier,10.0,,from ds_fall_rd_fv report,False,True,A5_reference,65970.0,0.0,,high,"Prior FV1 baseline, not retrained in this script."
Best_FV1_Lite10_AND,E7,weda,180.0,,140.0,15.0,1.0,24.0,0.6153846153846154,0.96,0.75,0.9111111111111112,0.9649032258064516,0.802529012448633,0.8390350877192981,0.84,25.0,0.8421052631578947,0.875,0.8,,,,6.0,baseline_fv_guard,Lite10,LR_AND_verifier,10.0,,from ds_fall_rd_fv report,False,True,A5_reference,65970.0,0.0,,high,"Prior FV1 baseline, not retrained in this script."
Classical_Fall_Only_Best,E3,bits+weda,,,,,,,0.9444444444444444,0.9315068493150684,0.9379310344827586,,,,,,,,,,,,,,baseline_classical_fall_only,summary_features,gradient_boosting,,,from ml_feature_analysis report,False,False,not_supported,,,,analysis_only,Fall-only baseline does not support direction.
Classical_Fall_Only_Best,E6,bits,,,,,,,,,0.9247311827956988,,,,,,,,,,,,,,baseline_classical_fall_only,summary_features,gradient_boosting,,,from ml_feature_analysis report,False,False,not_supported,,,,analysis_only,Fall-only baseline does not support direction.
Classical_Fall_Only_Best,E7,weda,,,,,,,0.925925925925926,1.0,0.9615384615384616,,,,,,,,,,,,,,baseline_classical_fall_only,summary_features,gradient_boosting,,,from ml_feature_analysis report,False,False,not_supported,,,,analysis_only,Fall-only baseline does not support direction.
HYB_LR_Lite10,E3,bits+weda,708.0,,607.0,28.0,15.0,58.0,0.6744186046511628,0.7945205479452054,0.7295597484276729,0.9392655367231638,0.9593787077985114,0.8055640249072635,0.8966626725247414,0.9016393442622951,61.0,0.9285714285714286,0.896551724137931,0.8648648648648649,0.7609427609427609,0.819672131147541,0.7213114754098361,,hybrid_ml_fall_a5_direction,Lite10,LR,10.0,0.7943891213389123,best_val_f1_then_recall088_hard_negative_fp_tiebreak,False,False,A5_reference,11.0,0.0,0.0,high,LR 11 weights plus scaler.
HYB_LR_Lite10,E6,bits,528.0,,475.0,5.0,14.0,34.0,0.8717948717948718,0.7083333333333334,0.7816091954022989,0.9640151515151515,0.9730902777777778,0.883298161291094,0.9350469350469351,0.9444444444444444,36.0,0.972972972972973,0.9230769230769231,0.9090909090909091,0.6337092731829573,0.7222222222222222,0.6666666666666666,,hybrid_ml_fall_a5_direction,Lite10,LR,10.0,0.7943891213389123,best_val_f1_then_recall088_hard_negative_fp_tiebreak,False,False,A5_reference,11.0,0.0,0.0,high,LR 11 weights plus scaler.
HYB_LR_Lite10,E7,weda,180.0,,132.0,23.0,1.0,24.0,0.5106382978723404,0.96,0.6666666666666666,0.8666666666666667,0.9321290322580645,0.6415322341515841,0.8390350877192981,0.84,25.0,0.8421052631578947,0.875,0.8,0.8104636591478697,0.96,0.8,-2.0,hybrid_ml_fall_a5_direction,Lite10,LR,10.0,0.7943891213389123,best_val_f1_then_recall088_hard_negative_fp_tiebreak,False,False,A5_reference,11.0,0.0,0.0,high,LR 11 weights plus scaler.
HYB_DT_Lite10,E3,bits+weda,708.0,,582.0,53.0,11.0,62.0,0.5391304347826087,0.8493150684931506,0.6595744680851063,0.9096045197740112,0.9270628842627548,0.505045247593412,0.8966626725247414,0.9016393442622951,61.0,0.9285714285714286,0.896551724137931,0.8648648648648649,0.7998290598290598,0.8524590163934426,0.7540983606557377,,hybrid_ml_fall_a5_direction,Lite10,DT,10.0,0.6524142259414226,best_val_f1_then_recall088_hard_negative_fp_tiebreak,False,False,A5_reference,15.0,1.0,3.0,high,"DecisionTree depth=3, leaves=8."
