run_id,feature_set,fall_expert,threshold,threshold_note,selected_on
HYB_LR_Lite10,Lite10,LR,0.7943891213389123,best_val_f1_then_recall088_hard_negative_fp_tiebreak,validation
HYB_DT_Lite10,Lite10,DT,0.6524142259414226,best_val_f1_then_recall088_hard_negative_fp_tiebreak,validation
HYB_RF_Lite10,Lite10,RF,0.6357112970711297,best_val_f1_then_recall088_hard_negative_fp_tiebreak,validation
HYB_GB_Lite10,Lite10,GB,0.19308368200836823,best_val_f1_then_recall088_hard_negative_fp_tiebreak,validation
HYB_HGB_Lite10,Lite10,HGB,0.7818619246861925,best_val_f1_then_recall088_hard_negative_fp_tiebreak,validation
HYB_LR_Axis,Axis,LR,0.8183068484866508,best_val_f1_then_recall088_hard_negative_fp_tiebreak,validation
HYB_DT_Axis,Axis,DT,0.5146150627615064,best_val_f1_then_recall088_hard_negative_fp_tiebreak,validation
HYB_RF_Axis,Axis,RF,0.6357112970711297,best_val_f1_then_recall088_hard_negative_fp_tiebreak,validation
HYB_GB_Axis,Axis,GB,0.6315355648535566,best_val_f1_then_recall088_hard_negative_fp_tiebreak,validation
HYB_HGB_Axis,Axis,HGB,0.4979121338912134,best_val_f1_then_recall088_hard_negative_fp_tiebreak,validation
HYB_LR_FullNoTiming,FullNoTiming,LR,0.9464921044912047,best_val_f1_then_recall088_hard_negative_fp_tiebreak,validation
HYB_RF_FullNoTiming,FullNoTiming,RF,0.6691171548117155,best_val_f1_then_recall088_hard_negative_fp_tiebreak,validation
HYB_GB_FullNoTiming,FullNoTiming,GB,0.4853849372384938,best_val_f1_then_recall088_hard_negative_fp_tiebreak,validation
HYB_HGB_FullNoTiming,FullNoTiming,HGB,0.2048912043068868,best_val_f1_then_recall088_hard_negative_fp_tiebreak,validation
HYB_RF_FullTiming,FullTiming,RF,0.5521966527196653,best_val_f1_then_recall088_hard_negative_fp_tiebreak,validation
HYB_GB_FullTiming,FullTiming,GB,0.7735104602510461,best_val_f1_then_recall088_hard_negative_fp_tiebreak,validation
HYB_HGB_FullTiming,FullTiming,HGB,0.3225313807531381,best_val_f1_then_recall088_hard_negative_fp_tiebreak,validation
