block,run_id,method,hard_negative_source,hard_negative_weight,alpha_fall,lambda_dir,beta_kd,train_mode,eval,dataset,threshold,params,train_seconds,train_hard_negative_count,val_hard_negative_count,TN,FP,FN,TP,fall_precision,fall_recall,fall_f1,fall_accuracy,direction_macro_f1,direction_accuracy,direction_n_supervised,fall_confusion_matrix,direction_confusion_matrix,direction_per_class_f1,weda_fp_reduction_vs_ref,weda_precision_gain_vs_ref,weda_recall_delta_vs_ref
hard_negative_training,HN1,hard_negative_weighted_ce,feature_rule,2.0,1.0,1.5,0.0,standard,E3,bits+weda,0.9606270790100098,65959,57.70320139999967,243,35,625,10,11,62,0.8611111111111112,0.8493150684931506,0.8551724137931035,0.9703389830508474,0.7310452961672474,0.7540983606557377,61,"[[625, 10], [11, 62]]","[[23, 1, 3], [3, 8, 4], [3, 1, 15]]","{'forward': 0.8214285714285714, 'backward': 0.64, 'lateral': 0.7317073170731707}",,,
hard_negative_training,HN1,hard_negative_weighted_ce,feature_rule,2.0,1.0,1.5,0.0,standard,E6,bits,0.9606270790100098,65959,57.70320139999967,243,35,480,0,7,41,1.0,0.8541666666666666,0.9213483146067416,0.9867424242424242,0.8703703703703703,0.8888888888888888,36,"[[480, 0], [7, 41]]","[[17, 0, 1], [0, 5, 1], [1, 1, 10]]","{'forward': 0.9444444444444444, 'backward': 0.8333333333333334, 'lateral': 0.8333333333333334}",,,
hard_negative_training,HN1,hard_negative_weighted_ce,feature_rule,2.0,1.0,1.5,0.0,standard,E7,weda,0.9606270790100098,65959,57.70320139999967,243,35,145,10,4,21,0.6774193548387096,0.84,0.75,0.9222222222222224,0.5499245852187028,0.56,25,"[[145, 10], [4, 21]]","[[6, 1, 2], [3, 3, 3], [2, 0, 5]]","{'forward': 0.6, 'backward': 0.46153846153846156, 'lateral': 0.5882352941176471}",11.0,0.1440860215053763,-0.12
hard_negative_training,HN2,hard_negative_weighted_ce,prediction_rule,2.0,1.0,1.5,0.0,standard,E3,bits+weda,0.8157442212104797,65959,47.00557860000117,0,11,621,14,10,63,0.8181818181818182,0.863013698630137,0.84,0.9661016949152542,0.669760812126269,0.6885245901639344,61,"[[621, 14], [10, 63]]","[[19, 1, 7], [3, 7, 5], [2, 1, 16]]","{'forward': 0.7450980392156863, 'backward': 0.5833333333333334, 'lateral': 0.6808510638297872}",,,
hard_negative_training,HN2,hard_negative_weighted_ce,prediction_rule,2.0,1.0,1.5,0.0,standard,E6,bits,0.8157442212104797,65959,47.00557860000117,0,11,480,0,7,41,1.0,0.8541666666666666,0.9213483146067416,0.9867424242424242,0.9111784511784512,0.9166666666666666,36,"[[480, 0], [7, 41]]","[[17, 0, 1], [0, 5, 1], [1, 0, 11]]","{'forward': 0.9444444444444444, 'backward': 0.9090909090909091, 'lateral': 0.88}",,,
hard_negative_training,HN2,hard_negative_weighted_ce,prediction_rule,2.0,1.0,1.5,0.0,standard,E7,weda,0.8157442212104797,65959,47.00557860000117,0,11,141,14,3,22,0.6111111111111112,0.88,0.7213114754098361,0.9055555555555556,0.342968142968143,0.36,25,"[[141, 14], [3, 22]]","[[2, 1, 6], [3, 2, 4], [1, 1, 5]]","{'forward': 0.26666666666666666, 'backward': 0.3076923076923077, 'lateral': 0.45454545454545453}",7.0,0.0777777777777778,-0.0799999999999999
hard_negative_training,HN3,two_stage_fall_branch_finetune,prediction_rule,2.0,1.0,1.5,0.0,fall_branch_finetune,E3,bits+weda,0.6702250242233276,65959,8.838343800001894,0,11,614,21,6,67,0.7613636363636364,0.9178082191780822,0.8322981366459627,0.961864406779661,0.8966626725247414,0.9016393442622952,61,"[[614, 21], [6, 67]]","[[26, 0, 1], [1, 13, 1], [2, 1, 16]]","{'forward': 0.9285714285714286, 'backward': 0.896551724137931, 'lateral': 0.8648648648648649}",,,
hard_negative_training,HN3,two_stage_fall_branch_finetune,prediction_rule,2.0,1.0,1.5,0.0,fall_branch_finetune,E6,bits,0.6702250242233276,65959,8.838343800001894,0,11,480,0,5,43,1.0,0.8958333333333334,0.945054945054945,0.990530303030303,0.9350469350469351,0.9444444444444444,36,"[[480, 0], [5, 43]]","[[18, 0, 0], [0, 6, 0], [1, 1, 10]]","{'forward': 0.972972972972973, 'backward': 0.9230769230769231, 'lateral': 0.9090909090909091}",,,
hard_negative_training,HN3,two_stage_fall_branch_finetune,prediction_rule,2.0,1.0,1.5,0.0,fall_branch_finetune,E7,weda,0.6702250242233276,65959,8.838343800001894,0,11,134,21,1,24,0.5333333333333333,0.96,0.6857142857142857,0.8777777777777778,0.8390350877192981,0.84,25,"[[134, 21], [1, 24]]","[[8, 0, 1], [1, 7, 1], [1, 0, 6]]","{'forward': 0.8421052631578947, 'backward': 0.875, 'lateral': 0.8}",0.0,0.0,0.0
hard_negative_training,HN4,two_stage_fall_branch_direction_kd,prediction_rule,2.0,1.0,1.5,1.0,fall_branch_kd,E3,bits+weda,0.7796382308006287,65959,12.76766580000185,0,11,616,19,6,67,0.7790697674418605,0.9178082191780822,0.8427672955974843,0.9646892655367232,0.8966626725247414,0.9016393442622951,61,"[[616, 19], [6, 67]]","[[26, 0, 1], [1, 13, 1], [2, 1, 16]]","{'forward': 0.9285714285714286, 'backward': 0.896551724137931, 'lateral': 0.8648648648648649}",,,
