pipeline,experiment_id,train_protocol,source,E2E_Direction_Macro_F1,coverage,correct_rate,forward_f1,backward_f1,lateral_f1,direction_n_supervised
LogisticRegression_FallTop8_ImpactEnergy_A5Direction,E1_BITS_TO_BITS,E1_BITS_TO_BITS,fall_reduction_with_a5_direction,0.8042328042328042,0.8333333333333334,0.7777777777777778,0.8888888888888888,0.6666666666666666,0.8571428571428571,36
LogisticRegression_FallTop8_ImpactEnergy_A5Direction,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,fall_reduction_with_a5_direction,0.2824074074074074,0.36,0.24,0.625,0.0,0.2222222222222222,25
LogisticRegression_FallTop8_ImpactEnergy_A5Direction,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,fall_reduction_with_a5_direction,0.6105747126436781,0.6229508196721312,0.5573770491803278,0.88,0.4,0.5517241379310345,61
LogisticRegression_FallTop8_ImpactEnergy_A5Direction,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,fall_reduction_with_a5_direction,0.3876262626262626,1.0,0.4,0.3333333333333333,0.375,0.45454545454545453,25
LogisticRegression_FallTop8_ImpactEnergy_A5Direction,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,fall_reduction_with_a5_direction,0.3365079365079365,0.6111111111111112,0.4166666666666667,0.7428571428571429,0.0,0.26666666666666666,36
LogisticRegression_FallTop8_ImpactEnergy_A5Direction,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,fall_reduction_with_a5_direction,0.5996732026143791,0.6666666666666666,0.6111111111111112,0.8823529411764706,0.25,0.6666666666666666,36
LogisticRegression_FallTop8_ImpactEnergy_A5Direction,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,fall_reduction_with_a5_direction,0.5795454545454546,0.56,0.48,0.875,0.5,0.36363636363636365,25
GradientBoosting_FallTop8_ImpactEnergy_A5Direction,E1_BITS_TO_BITS,E1_BITS_TO_BITS,fall_reduction_with_a5_direction,0.8042328042328042,0.8333333333333334,0.7777777777777778,0.8888888888888888,0.6666666666666666,0.8571428571428571,36
GradientBoosting_FallTop8_ImpactEnergy_A5Direction,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,fall_reduction_with_a5_direction,0.55990675990676,0.8,0.56,0.8181818181818182,0.46153846153846156,0.4,25
GradientBoosting_FallTop8_ImpactEnergy_A5Direction,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,fall_reduction_with_a5_direction,0.7062937062937064,0.7540983606557377,0.6557377049180327,0.8461538461538461,0.5454545454545454,0.7272727272727273,61
GradientBoosting_FallTop8_ImpactEnergy_A5Direction,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,fall_reduction_with_a5_direction,0.3630952380952381,0.96,0.36,0.3333333333333333,0.375,0.38095238095238093,25
GradientBoosting_FallTop8_ImpactEnergy_A5Direction,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,fall_reduction_with_a5_direction,0.3724867724867725,0.6388888888888888,0.3888888888888889,0.6285714285714286,0.2222222222222222,0.26666666666666666,36
GradientBoosting_FallTop8_ImpactEnergy_A5Direction,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,fall_reduction_with_a5_direction,0.6328282828282829,0.6944444444444444,0.6388888888888888,0.8484848484848485,0.25,0.8,36
GradientBoosting_FallTop8_ImpactEnergy_A5Direction,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,fall_reduction_with_a5_direction,0.7239251976094082,0.84,0.68,0.8421052631578947,0.7142857142857143,0.6153846153846154,25
HistGradientBoosting_FallTop8_ImpactEnergy_A5Direction,E1_BITS_TO_BITS,E1_BITS_TO_BITS,fall_reduction_with_a5_direction,0.8244348244348244,0.8888888888888888,0.8055555555555556,0.8888888888888888,0.7272727272727273,0.8571428571428571,36
HistGradientBoosting_FallTop8_ImpactEnergy_A5Direction,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,fall_reduction_with_a5_direction,0.4384465437097016,0.64,0.4,0.631578947368421,0.46153846153846156,0.2222222222222222,25
HistGradientBoosting_FallTop8_ImpactEnergy_A5Direction,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,fall_reduction_with_a5_direction,0.6830936920222634,0.6885245901639344,0.6065573770491803,0.8163265306122449,0.5454545454545454,0.6875,61
HistGradientBoosting_FallTop8_ImpactEnergy_A5Direction,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,fall_reduction_with_a5_direction,0.37142857142857144,0.92,0.36,0.3333333333333333,0.4,0.38095238095238093,25
HistGradientBoosting_FallTop8_ImpactEnergy_A5Direction,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,fall_reduction_with_a5_direction,0.2972222222222222,0.5277777777777778,0.3333333333333333,0.625,0.0,0.26666666666666666,36
HistGradientBoosting_FallTop8_ImpactEnergy_A5Direction,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,fall_reduction_with_a5_direction,0.6441176470588236,0.7222222222222222,0.6666666666666666,0.8823529411764706,0.25,0.8,36
