run_id,experiment_id,train_protocol,test_dataset,model_name,feature_set,feature_count,fall_precision,fall_recall,fall_f1,fall_accuracy,AUROC,average_precision,TN,FP,FN,TP,threshold,A5_FP,FP_reduction_vs_A5,selected_features
FALLRED_LogisticRegression_FallTop8_ImpactEnergy_E1_BITS_TO_BITS,E1_BITS_TO_BITS,E1_BITS_TO_BITS,bits,LogisticRegression,FallTop8_ImpactEnergy,8,0.7884615384615384,0.8541666666666666,0.82,0.9659090909090909,0.975390625,0.9000715431218475,469,11,7,41,0.6965488990666224,2,-9,acc_mag_range;acc_mag_max;acc_mag_p95;acc_mag_std;gyro_mag_p95;jerk_p95;jerk_std;post_acc_mag_std
FALLRED_LogisticRegression_FallTop8_ImpactEnergy_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,weda,LogisticRegression,FallTop8_ImpactEnergy,8,0.8181818181818182,0.36,0.5,0.9,0.9636129032258065,0.7985795976680188,153,2,16,9,0.9111198054194274,5,3,acc_mag_range;acc_mag_max;acc_mag_p95;acc_mag_std;gyro_mag_p95;jerk_p95;jerk_std;post_acc_mag_std
FALLRED_LogisticRegression_FallTop8_ImpactEnergy_E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,bits+weda,LogisticRegression,FallTop8_ImpactEnergy,8,0.8333333333333334,0.6164383561643836,0.7086614173228346,0.9477401129943502,0.9597238701326717,0.8283560562149045,626,9,28,45,0.8907776905589913,21,12,acc_mag_range;acc_mag_max;acc_mag_p95;acc_mag_std;gyro_mag_p95;jerk_p95;jerk_std;post_acc_mag_std
FALLRED_LogisticRegression_FallTop8_ImpactEnergy_E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,weda,LogisticRegression,FallTop8_ImpactEnergy,8,0.26881720430107525,1.0,0.423728813559322,0.6222222222222222,0.9174193548387097,0.5781177327964714,87,68,0,25,0.6965488990666224,44,-24,acc_mag_range;acc_mag_max;acc_mag_p95;acc_mag_std;gyro_mag_p95;jerk_p95;jerk_std;post_acc_mag_std
FALLRED_LogisticRegression_FallTop8_ImpactEnergy_E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,bits,LogisticRegression,FallTop8_ImpactEnergy,8,0.58,0.6041666666666666,0.5918367346938775,0.9242424242424242,0.9533854166666665,0.7578831267013525,459,21,19,29,0.9111198054194274,5,-16,acc_mag_range;acc_mag_max;acc_mag_p95;acc_mag_std;gyro_mag_p95;jerk_p95;jerk_std;post_acc_mag_std
FALLRED_LogisticRegression_FallTop8_ImpactEnergy_E3_BITS_WEDA_MIXED,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,bits,LogisticRegression,FallTop8_ImpactEnergy,8,0.8611111111111112,0.6458333333333334,0.7380952380952381,0.9583333333333334,0.96875,0.863802234506201,475,5,17,31,0.8907776905589913,0,-5,acc_mag_range;acc_mag_max;acc_mag_p95;acc_mag_std;gyro_mag_p95;jerk_p95;jerk_std;post_acc_mag_std
FALLRED_LogisticRegression_FallTop8_ImpactEnergy_E3_BITS_WEDA_MIXED,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,weda,LogisticRegression,FallTop8_ImpactEnergy,8,0.7777777777777778,0.56,0.6511627906976745,0.9166666666666666,0.9592258064516128,0.7689685201782538,151,4,11,14,0.8907776905589913,21,17,acc_mag_range;acc_mag_max;acc_mag_p95;acc_mag_std;gyro_mag_p95;jerk_p95;jerk_std;post_acc_mag_std
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E1_BITS_TO_BITS,E1_BITS_TO_BITS,E1_BITS_TO_BITS,bits,GradientBoosting,FallTop8_ImpactEnergy,8,0.8367346938775511,0.8541666666666666,0.845360824742268,0.9715909090909091,0.9774956597222223,0.9375841623225948,472,8,7,41,0.2830335797407687,2,-6,acc_mag_range;acc_mag_max;acc_mag_p95;acc_mag_std;gyro_mag_p95;jerk_p95;jerk_std;post_acc_mag_std
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,weda,GradientBoosting,FallTop8_ImpactEnergy,8,0.6666666666666666,0.8,0.7272727272727273,0.9166666666666666,0.959483870967742,0.7996709126017045,145,10,5,20,0.4181086040764299,5,-5,acc_mag_range;acc_mag_max;acc_mag_p95;acc_mag_std;gyro_mag_p95;jerk_p95;jerk_std;post_acc_mag_std
FALLRED_GradientBoosting_FallTop8_ImpactEnergy_E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,bits+weda,GradientBoosting,FallTop8_ImpactEnergy,8,0.7236842105263158,0.7534246575342466,0.738255033557047,0.9449152542372882,0.9609535109481178,0.8249098927058119,614,21,18,55,0.3794752128769463,21,0,acc_mag_range;acc_mag_max;acc_mag_p95;acc_mag_std;gyro_mag_p95;jerk_p95;jerk_std;post_acc_mag_std
