protocol_id,feature_set,rank,feature
E1_BITS_TO_BITS,FallTop10_SelectedByImportance,1,az_range
E1_BITS_TO_BITS,FallTop10_SelectedByImportance,2,az_std
E1_BITS_TO_BITS,FallTop10_SelectedByImportance,3,peak_signed_ay
E1_BITS_TO_BITS,FallTop10_SelectedByImportance,4,tilt_delta_std
E1_BITS_TO_BITS,FallTop10_SelectedByImportance,5,ay_max
E1_BITS_TO_BITS,FallTop10_SelectedByImportance,6,tilt_delta_p95
E1_BITS_TO_BITS,FallTop10_SelectedByImportance,7,gz_range
E1_BITS_TO_BITS,FallTop10_SelectedByImportance,8,tilt_delta_max
E1_BITS_TO_BITS,FallTop10_SelectedByImportance,9,az_iqr
E1_BITS_TO_BITS,FallTop10_SelectedByImportance,10,gx_std
E1_BITS_TO_BITS,FallTop12_SelectedByImportance,1,az_range
E1_BITS_TO_BITS,FallTop12_SelectedByImportance,2,az_std
E1_BITS_TO_BITS,FallTop12_SelectedByImportance,3,peak_signed_ay
E1_BITS_TO_BITS,FallTop12_SelectedByImportance,4,tilt_delta_std
E1_BITS_TO_BITS,FallTop12_SelectedByImportance,5,ay_max
E1_BITS_TO_BITS,FallTop12_SelectedByImportance,6,tilt_delta_p95
E1_BITS_TO_BITS,FallTop12_SelectedByImportance,7,gz_range
E1_BITS_TO_BITS,FallTop12_SelectedByImportance,8,tilt_delta_max
E1_BITS_TO_BITS,FallTop12_SelectedByImportance,9,az_iqr
E1_BITS_TO_BITS,FallTop12_SelectedByImportance,10,gx_std
E1_BITS_TO_BITS,FallTop12_SelectedByImportance,11,gyro_mag_min
E1_BITS_TO_BITS,FallTop12_SelectedByImportance,12,acc_mag_median
E2_WEDA_TO_WEDA,FallTop10_SelectedByImportance,1,acc_mag_range
E2_WEDA_TO_WEDA,FallTop10_SelectedByImportance,2,az_range
E2_WEDA_TO_WEDA,FallTop10_SelectedByImportance,3,acc_mag_std
E2_WEDA_TO_WEDA,FallTop10_SelectedByImportance,4,ay_mean
E2_WEDA_TO_WEDA,FallTop10_SelectedByImportance,5,post_impact_energy
E2_WEDA_TO_WEDA,FallTop10_SelectedByImportance,6,integrated_ay
E2_WEDA_TO_WEDA,FallTop10_SelectedByImportance,7,integrated_gy
E2_WEDA_TO_WEDA,FallTop10_SelectedByImportance,8,ax_range
E2_WEDA_TO_WEDA,FallTop10_SelectedByImportance,9,pitch_final_initial
E2_WEDA_TO_WEDA,FallTop10_SelectedByImportance,10,ay_max
E2_WEDA_TO_WEDA,FallTop12_SelectedByImportance,1,acc_mag_range
E2_WEDA_TO_WEDA,FallTop12_SelectedByImportance,2,az_range
E2_WEDA_TO_WEDA,FallTop12_SelectedByImportance,3,acc_mag_std
E2_WEDA_TO_WEDA,FallTop12_SelectedByImportance,4,ay_mean
E2_WEDA_TO_WEDA,FallTop12_SelectedByImportance,5,post_impact_energy
E2_WEDA_TO_WEDA,FallTop12_SelectedByImportance,6,integrated_ay
E2_WEDA_TO_WEDA,FallTop12_SelectedByImportance,7,integrated_gy
E2_WEDA_TO_WEDA,FallTop12_SelectedByImportance,8,ax_range
E2_WEDA_TO_WEDA,FallTop12_SelectedByImportance,9,pitch_final_initial
E2_WEDA_TO_WEDA,FallTop12_SelectedByImportance,10,ay_max
E2_WEDA_TO_WEDA,FallTop12_SelectedByImportance,11,post_ay_mean
E2_WEDA_TO_WEDA,FallTop12_SelectedByImportance,12,tilt_delta_iqr
E3_BITS_WEDA_MIXED,FallTop10_SelectedByImportance,1,az_range
E3_BITS_WEDA_MIXED,FallTop10_SelectedByImportance,2,ay_max
E3_BITS_WEDA_MIXED,FallTop10_SelectedByImportance,3,acc_mag_range
E3_BITS_WEDA_MIXED,FallTop10_SelectedByImportance,4,az_std
E3_BITS_WEDA_MIXED,FallTop10_SelectedByImportance,5,post_impact_energy
E3_BITS_WEDA_MIXED,FallTop10_SelectedByImportance,6,acc_mag_std
E3_BITS_WEDA_MIXED,FallTop10_SelectedByImportance,7,tilt_delta_iqr
E3_BITS_WEDA_MIXED,FallTop10_SelectedByImportance,8,gy_mean
E3_BITS_WEDA_MIXED,FallTop10_SelectedByImportance,9,post_ay_mean
E3_BITS_WEDA_MIXED,FallTop10_SelectedByImportance,10,integrated_gy
E3_BITS_WEDA_MIXED,FallTop12_SelectedByImportance,1,az_range
E3_BITS_WEDA_MIXED,FallTop12_SelectedByImportance,2,ay_max
E3_BITS_WEDA_MIXED,FallTop12_SelectedByImportance,3,acc_mag_range
E3_BITS_WEDA_MIXED,FallTop12_SelectedByImportance,4,az_std
E3_BITS_WEDA_MIXED,FallTop12_SelectedByImportance,5,post_impact_energy
E3_BITS_WEDA_MIXED,FallTop12_SelectedByImportance,6,acc_mag_std
E3_BITS_WEDA_MIXED,FallTop12_SelectedByImportance,7,tilt_delta_iqr
E3_BITS_WEDA_MIXED,FallTop12_SelectedByImportance,8,gy_mean
E3_BITS_WEDA_MIXED,FallTop12_SelectedByImportance,9,post_ay_mean
E3_BITS_WEDA_MIXED,FallTop12_SelectedByImportance,10,integrated_gy
E3_BITS_WEDA_MIXED,FallTop12_SelectedByImportance,11,ax_max
E3_BITS_WEDA_MIXED,FallTop12_SelectedByImportance,12,post_ax_mean
E4_BITS_TO_WEDA,FallTop10_SelectedByImportance,1,az_range
E4_BITS_TO_WEDA,FallTop10_SelectedByImportance,2,az_std
E4_BITS_TO_WEDA,FallTop10_SelectedByImportance,3,peak_signed_ay
E4_BITS_TO_WEDA,FallTop10_SelectedByImportance,4,tilt_delta_std
E4_BITS_TO_WEDA,FallTop10_SelectedByImportance,5,ay_max
E4_BITS_TO_WEDA,FallTop10_SelectedByImportance,6,tilt_delta_p95
E4_BITS_TO_WEDA,FallTop10_SelectedByImportance,7,gz_range
E4_BITS_TO_WEDA,FallTop10_SelectedByImportance,8,tilt_delta_max
E4_BITS_TO_WEDA,FallTop10_SelectedByImportance,9,az_iqr
E4_BITS_TO_WEDA,FallTop10_SelectedByImportance,10,gx_std
E4_BITS_TO_WEDA,FallTop12_SelectedByImportance,1,az_range
E4_BITS_TO_WEDA,FallTop12_SelectedByImportance,2,az_std
E4_BITS_TO_WEDA,FallTop12_SelectedByImportance,3,peak_signed_ay
E4_BITS_TO_WEDA,FallTop12_SelectedByImportance,4,tilt_delta_std
E4_BITS_TO_WEDA,FallTop12_SelectedByImportance,5,ay_max
E4_BITS_TO_WEDA,FallTop12_SelectedByImportance,6,tilt_delta_p95
E4_BITS_TO_WEDA,FallTop12_SelectedByImportance,7,gz_range
E4_BITS_TO_WEDA,FallTop12_SelectedByImportance,8,tilt_delta_max
E4_BITS_TO_WEDA,FallTop12_SelectedByImportance,9,az_iqr
E4_BITS_TO_WEDA,FallTop12_SelectedByImportance,10,gx_std
E4_BITS_TO_WEDA,FallTop12_SelectedByImportance,11,gyro_mag_min
E4_BITS_TO_WEDA,FallTop12_SelectedByImportance,12,acc_mag_median
E5_WEDA_TO_BITS,FallTop10_SelectedByImportance,1,acc_mag_range
E5_WEDA_TO_BITS,FallTop10_SelectedByImportance,2,az_range
E5_WEDA_TO_BITS,FallTop10_SelectedByImportance,3,acc_mag_std
E5_WEDA_TO_BITS,FallTop10_SelectedByImportance,4,ay_mean
E5_WEDA_TO_BITS,FallTop10_SelectedByImportance,5,post_impact_energy
E5_WEDA_TO_BITS,FallTop10_SelectedByImportance,6,integrated_ay
E5_WEDA_TO_BITS,FallTop10_SelectedByImportance,7,integrated_gy
E5_WEDA_TO_BITS,FallTop10_SelectedByImportance,8,ax_range
E5_WEDA_TO_BITS,FallTop10_SelectedByImportance,9,pitch_final_initial
E5_WEDA_TO_BITS,FallTop10_SelectedByImportance,10,ay_max
