variant,experiment_id,fall_f1,fall_precision,fall_recall,FP,direction_macro_f1,params_direction,fall_feature_count,avg_fall_f1,E7_fall_f1,E7_FP,avg_direction_macro_f1,E7_direction_macro_f1
A5_reference,E3_BITS_WEDA_MIXED,0.8322981366459627,0.7613636363636364,0.9178082191780822,21.0,0.8966626725247414,65959.0,12.0,,,,,
A5_reference,E6_E3_MIXED_TEST_BITS,0.945054945054945,1.0,0.8958333333333334,0.0,0.9350469350469351,65959.0,12.0,,,,,
A5_reference,E7_E3_MIXED_TEST_WEDA,0.6857142857142857,0.5333333333333333,0.96,21.0,0.8390350877192981,65959.0,12.0,,,,,
FallReduced_GradientBoosting_FallNoTiming_Core_16_A5Direction,E3/E6/E7_avg,,,,,,,16.0,0.749012508229098,0.7419354838709677,14.0,,
FallReduced_GradientBoosting_FallNoTiming_Full_132_A5Direction,E3/E6/E7_avg,,,,,,,132.0,0.8687182657070952,0.8363636363636363,7.0,,
FallReduced_GradientBoosting_FallTop10_ImpactGyroPosture_A5Direction,E3/E6/E7_avg,,,,,,,10.0,0.7007509446596835,0.7333333333333333,13.0,,
FallReduced_GradientBoosting_FallTop10_SelectedByImportance_A5Direction,E3/E6/E7_avg,,,,,,,10.0,0.8354377104377105,0.75,10.0,,
FallReduced_GradientBoosting_FallTop12_NoTimingCore_A5Direction,E3/E6/E7_avg,,,,,,,12.0,0.6717917451751726,0.647887323943662,23.0,,
FallReduced_GradientBoosting_FallTop12_SelectedByImportance_A5Direction,E3/E6/E7_avg,,,,,,,12.0,0.8099152922764511,0.7096774193548387,15.0,,
FallReduced_GradientBoosting_FallTop12_WithDirectionRelevant_A5Direction,E3/E6/E7_avg,,,,,,,12.0,0.7855790254107223,0.8064516129032258,12.0,,
FallReduced_GradientBoosting_FallTop8_ImpactEnergy_A5Direction,E3/E6/E7_avg,,,,,,,8.0,0.7380758578676044,0.7368421052631579,11.0,,
FallReduced_HistGradientBoosting_FallNoTiming_Core_16_A5Direction,E3/E6/E7_avg,,,,,,,16.0,0.8104107171650946,0.8275862068965517,9.0,,
FallReduced_HistGradientBoosting_FallNoTiming_Full_132_A5Direction,E3/E6/E7_avg,,,,,,,132.0,0.8839825334740589,0.8135593220338984,10.0,,
FallReduced_HistGradientBoosting_FallTop10_ImpactGyroPosture_A5Direction,E3/E6/E7_avg,,,,,,,10.0,0.7506753812636164,0.72,7.0,,
FallReduced_HistGradientBoosting_FallTop10_SelectedByImportance_A5Direction,E3/E6/E7_avg,,,,,,,10.0,0.8422491106235221,0.7384615384615385,16.0,,
FallReduced_HistGradientBoosting_FallTop12_NoTimingCore_A5Direction,E3/E6/E7_avg,,,,,,,12.0,0.7567562448505435,0.7169811320754716,9.0,,
FallReduced_HistGradientBoosting_FallTop12_SelectedByImportance_A5Direction,E3/E6/E7_avg,,,,,,,12.0,0.8291041082329649,0.7368421052631579,11.0,,
FallReduced_HistGradientBoosting_FallTop12_WithDirectionRelevant_A5Direction,E3/E6/E7_avg,,,,,,,12.0,0.7877761606209882,0.7586206896551724,11.0,,
FallReduced_HistGradientBoosting_FallTop8_ImpactEnergy_A5Direction,E3/E6/E7_avg,,,,,,,8.0,0.7003475877039095,0.5925925925925926,13.0,,
FallReduced_LogisticRegression_FallNoTiming_Core_16_A5Direction,E3/E6/E7_avg,,,,,,,16.0,0.7241487207454407,0.6575342465753424,24.0,,
FallReduced_LogisticRegression_FallNoTiming_Full_132_A5Direction,E3/E6/E7_avg,,,,,,,132.0,0.8050994709201303,0.782608695652174,3.0,,
FallReduced_LogisticRegression_FallTop10_ImpactGyroPosture_A5Direction,E3/E6/E7_avg,,,,,,,10.0,0.7276565798733287,0.6666666666666666,15.0,,
FallReduced_LogisticRegression_FallTop10_SelectedByImportance_A5Direction,E3/E6/E7_avg,,,,,,,10.0,0.779953760369917,0.6666666666666666,19.0,,
FallReduced_LogisticRegression_FallTop12_NoTimingCore_A5Direction,E3/E6/E7_avg,,,,,,,12.0,0.6727340439452044,0.5614035087719298,16.0,,
FallReduced_LogisticRegression_FallTop12_SelectedByImportance_A5Direction,E3/E6/E7_avg,,,,,,,12.0,0.7678734808927499,0.6567164179104478,20.0,,
FallReduced_LogisticRegression_FallTop12_WithDirectionRelevant_A5Direction,E3/E6/E7_avg,,,,,,,12.0,0.6955010801164647,0.6410256410256411,28.0,,
FallReduced_LogisticRegression_FallTop8_ImpactEnergy_A5Direction,E3/E6/E7_avg,,,,,,,8.0,0.6993064820385824,0.6511627906976745,4.0,,
FallReduced_RandomForest_FallNoTiming_Core_16_A5Direction,E3/E6/E7_avg,,,,,,,16.0,0.8194226750261233,0.8275862068965517,9.0,,
FallReduced_RandomForest_FallNoTiming_Full_132_A5Direction,E3/E6/E7_avg,,,,,,,132.0,0.8259570494864613,0.7301587301587301,15.0,,
FallReduced_RandomForest_FallTop10_ImpactGyroPosture_A5Direction,E3/E6/E7_avg,,,,,,,10.0,0.7285217004628431,0.7213114754098361,14.0,,
FallReduced_RandomForest_FallTop10_SelectedByImportance_A5Direction,E3/E6/E7_avg,,,,,,,10.0,0.7818451211709639,0.676923076923077,18.0,,
FallReduced_RandomForest_FallTop12_NoTimingCore_A5Direction,E3/E6/E7_avg,,,,,,,12.0,0.7394246415523011,0.7333333333333333,13.0,,
FallReduced_RandomForest_FallTop12_SelectedByImportance_A5Direction,E3/E6/E7_avg,,,,,,,12.0,0.8134338738910816,0.7164179104477612,18.0,,
FallReduced_RandomForest_FallTop12_WithDirectionRelevant_A5Direction,E3/E6/E7_avg,,,,,,,12.0,0.8040318642275658,0.7796610169491526,11.0,,
FallReduced_RandomForest_FallTop8_ImpactEnergy_A5Direction,E3/E6/E7_avg,,,,,,,8.0,0.7569776673224949,0.7586206896551724,11.0,,
FallReduced_TinyGB10_d2_FallNoTiming_Core_16_A5Direction,E3/E6/E7_avg,,,,,,,16.0,0.6753858511140064,0.6493506493506493,27.0,,
