pipeline,experiment_id,train_protocol,source,E2E_Direction_Macro_F1,coverage,correct_rate,forward_f1,backward_f1,lateral_f1,direction_n_supervised
D1_Tiny_DSConv_Direction_E1_BITS_TO_BITS_seed42_lr0.001,E1_BITS_TO_BITS,E1_BITS_TO_BITS,lightweight_direction_with_best_fall,0.6262626262626263,0.8055555555555556,0.6388888888888888,0.8484848484848485,0.36363636363636365,0.6666666666666666,36
D1_Tiny_DSConv_Direction_E2_WEDA_TO_WEDA_seed42_lr0.001,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,lightweight_direction_with_best_fall,0.7218045112781954,0.88,0.68,0.5714285714285714,0.7368421052631579,0.8571428571428571,25
D1_Tiny_DSConv_Direction_E3_BITS_WEDA_MIXED_seed42_lr0.001,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,lightweight_direction_with_best_fall,0.7115261813537676,0.8524590163934426,0.6721311475409836,0.7916666666666666,0.6206896551724138,0.7222222222222222,61
D1_Tiny_DSConv_Direction_E3_BITS_WEDA_MIXED_seed42_lr0.001,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,lightweight_direction_with_best_fall,0.5821751880657912,0.8055555555555556,0.5833333333333334,0.7741935483870968,0.36363636363636365,0.6086956521739131,36
D1_Tiny_DSConv_Direction_E3_BITS_WEDA_MIXED_seed42_lr0.001,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,lightweight_direction_with_best_fall,0.8414613708731356,0.92,0.8,0.8235294117647058,0.7777777777777778,0.9230769230769231,25
D1_Tiny_DSConv_Direction_E4_BITS_TO_WEDA_seed42_lr0.001,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,lightweight_direction_with_best_fall,0.1843137254901961,0.96,0.2,0.35294117647058826,0.0,0.2,25
D1_Tiny_DSConv_Direction_E5_WEDA_TO_BITS_seed42_lr0.001,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,lightweight_direction_with_best_fall,0.5002970885323826,0.6944444444444444,0.5277777777777778,0.8484848484848485,0.18181818181818182,0.47058823529411764,36
D1_Tiny_DSConv_Direction_E1_BITS_TO_BITS_seed42_lr0.0005,E1_BITS_TO_BITS,E1_BITS_TO_BITS,lightweight_direction_with_best_fall,0.6383838383838384,0.8055555555555556,0.6388888888888888,0.7878787878787878,0.4,0.7272727272727273,36
D1_Tiny_DSConv_Direction_E2_WEDA_TO_WEDA_seed42_lr0.0005,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,lightweight_direction_with_best_fall,0.8116402116402117,0.88,0.76,0.7777777777777778,0.8,0.8571428571428571,25
D1_Tiny_DSConv_Direction_E3_BITS_WEDA_MIXED_seed42_lr0.0005,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,lightweight_direction_with_best_fall,0.714871794871795,0.8524590163934426,0.6721311475409836,0.76,0.6666666666666666,0.717948717948718,61
D1_Tiny_DSConv_Direction_E3_BITS_WEDA_MIXED_seed42_lr0.0005,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,lightweight_direction_with_best_fall,0.5980406212664278,0.8055555555555556,0.5833333333333334,0.7096774193548387,0.4444444444444444,0.64,36
D1_Tiny_DSConv_Direction_E3_BITS_WEDA_MIXED_seed42_lr0.0005,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,lightweight_direction_with_best_fall,0.8330827067669172,0.92,0.8,0.8421052631578947,0.8,0.8571428571428571,25
D1_Tiny_DSConv_Direction_E4_BITS_TO_WEDA_seed42_lr0.0005,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,lightweight_direction_with_best_fall,0.15273477812177502,0.96,0.16,0.35294117647058826,0.0,0.10526315789473684,25
D1_Tiny_DSConv_Direction_E5_WEDA_TO_BITS_seed42_lr0.0005,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,lightweight_direction_with_best_fall,0.4980392156862745,0.6944444444444444,0.5277777777777778,0.8235294117647058,0.2,0.47058823529411764,36
D2_Micro_TCN_Direction_E1_BITS_TO_BITS_seed42_lr0.001,E1_BITS_TO_BITS,E1_BITS_TO_BITS,lightweight_direction_with_best_fall,0.6878306878306878,0.8055555555555556,0.6944444444444444,0.8571428571428571,0.4444444444444444,0.7619047619047619,36
D2_Micro_TCN_Direction_E2_WEDA_TO_WEDA_seed42_lr0.001,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,lightweight_direction_with_best_fall,0.37985347985347984,0.88,0.4,0.7,0.15384615384615385,0.2857142857142857,25
D2_Micro_TCN_Direction_E3_BITS_WEDA_MIXED_seed42_lr0.001,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,lightweight_direction_with_best_fall,0.739651215841692,0.8524590163934426,0.6885245901639344,0.7755102040816326,0.7407407407407407,0.7027027027027027,61
D2_Micro_TCN_Direction_E3_BITS_WEDA_MIXED_seed42_lr0.001,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,lightweight_direction_with_best_fall,0.6918459961938223,0.8055555555555556,0.6944444444444444,0.8484848484848485,0.4444444444444444,0.782608695652174,36
