feature,bits_median,weda_median,median_delta_bits_minus_weda,abs_median_delta
pre_impact_energy,238.141708984375,161.3044189453125,76.83729003906248,76.83729003906248
jerk_p95,137.61590156555164,179.6566270828245,-42.040725517272875,42.040725517272875
jerk_max,382.624485,356.83104000000003,25.793444999999963,25.793444999999963
jerk_iqr,44.50310242176056,62.35703420639038,-17.853931784629822,17.853931784629822
post_impact_energy,201.31038085937502,187.39186523437502,13.918515624999998,13.918515624999998
acc_mag_max,56.6545625,43.3562965,13.298265999999998,13.298265999999998
acc_mag_peak_value,56.6545625,43.3562965,13.298265999999998,13.298265999999998
acc_mag_range,52.576128,40.283055,12.293073,12.293073
peak_signed_ay,-10.955866499999999,-19.7822915,8.826425,8.826425
jerk_std,124.767815,116.4993475,8.2684675,8.2684675
ax_final_initial,0.13694787,7.0976207,-6.96067283,6.96067283
peak_signed_gy,2.0815844500000003,-4.39516135,6.476745800000001,6.476745800000001
peak_signed_az,15.806041,22.221269,-6.415227999999999,6.415227999999999
integrated_ax,-13.7319145,-7.78071115,-5.95120335,5.95120335
peak_signed_ax,-30.3213675,-24.431953999999998,-5.889413500000003,5.889413500000003
peak_signed_gx,0.8382293000000001,-4.911773,5.7500023,5.7500023
tilt_delta_max,12.107316,17.545039,-5.437722999999998,5.437722999999998
az_min,-11.5129975,-16.5881005,5.075102999999999,5.075102999999999
az_max,20.3880645,25.1571895,-4.7691250000000025,4.7691250000000025
ax_range,48.2149125,43.535495,4.6794175,4.6794175
ax_max,11.331996,16.0033365,-4.6713404999999995,4.6713404999999995
post_ax_mean,-5.204914808273315,-0.6165489852428436,-4.588365823030472,4.588365823030472
az_range,36.381332,40.737209,-4.3558769999999996,4.3558769999999996
ax_min,-30.844022,-26.7719695,-4.072052499999998,4.072052499999998
acc_mag_p95,31.964187955856318,28.466008138656605,3.4981798171997127,3.4981798171997127
tilt_delta_p95,7.001116359233855,10.449813938140865,-3.4486975789070105,3.4486975789070105
ax_mean,-6.8659573,-3.8903556999999998,-2.9756016,2.9756016
ay_min,-18.962556499999998,-21.8923085,2.9297520000000006,2.9297520000000006
gx_range,8.9356145,11.7274185,-2.791804000000001,2.791804000000001
gy_range,6.092036500000001,8.596880500000001,-2.5048440000000003,2.5048440000000003
gy_min,-2.6692367499999996,-5.02913715,2.359900400000001,2.359900400000001
gyro_mag_range,6.975743100000001,9.296663500000001,-2.3209204000000003,2.3209204000000003
gz_range,6.41750595,8.6083475,-2.190841550000001,2.190841550000001
acc_mag_min,5.15431375,3.01969455,2.1346192,2.1346192
tilt_delta_std,4.4780225,6.481301,-2.0032785000000004,2.0032785000000004
ax_iqr,5.781458497047424,7.76434999704361,-1.9828914999961853,1.9828914999961853
gyro_mag_max,7.617927999999999,9.589658,-1.9717300000000009,1.9717300000000009
gyro_mag_peak_value,7.617927999999999,9.589658,-1.9717300000000009,1.9717300000000009
az_final_initial,-0.696951985,1.262801,-1.9597529850000002,1.9597529850000002
ax_median,-5.67856735,-3.732249,-1.9463183499999999,1.9463183499999999
gx_min,-4.13164815,-6.0647535,1.93310535,1.93310535
gyro_mag_p95,5.421248149871825,6.914945399761199,-1.4936972498893741,1.4936972498893741
acc_mag_mean,13.661787499999999,12.257527499999998,1.4042600000000007,1.4042600000000007
acc_mag_std,9.4841055,8.08734475,1.3967607500000003,1.3967607500000003
gx_max,3.79176265,5.0962147,-1.30445205,1.30445205
gz_max,2.41059635,3.6982919,-1.28769555,1.28769555
tilt_delta_iqr,3.526806503534317,4.789835765957832,-1.2630292624235153,1.2630292624235153
ax_std,8.969651500000001,7.75047545,1.2191760500000015,1.2191760500000015
az_iqr,5.586031563580036,6.800112657248974,-1.2140810936689377,1.2140810936689377
pre_acc_mag_std,6.863864421844482,5.653994798660278,1.209869623184204,1.209869623184204
