run_id,experiment_id,train_protocol,test_dataset,model_name,model_type,feature_set,feature_count,direction_macro_f1,direction_accuracy,forward_f1,backward_f1,lateral_f1,direction_n_supervised,cm_00,cm_01,cm_02,cm_10,cm_11,cm_12,cm_20,cm_21,cm_22,complexity,complexity_note
DIR_LogisticRegression_DirectionCore_E1_BITS_TO_BITS,E1_BITS_TO_BITS,E1_BITS_TO_BITS,bits,LogisticRegression,direction_only_ml,DirectionCore,64,0.7777777777777778,0.7777777777777778,0.8333333333333334,0.8333333333333334,0.6666666666666666,36,15,0,3,0,5,1,3,1,8,65,LR params=65
DIR_LogisticRegression_DirectionCore_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,weda,LogisticRegression,direction_only_ml,DirectionCore,64,0.8822021116138764,0.88,0.8235294117647058,0.9,0.9230769230769231,25,7,2,0,0,9,0,1,0,6,65,LR params=65
DIR_LogisticRegression_DirectionCore_E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,bits+weda,LogisticRegression,direction_only_ml,DirectionCore,64,0.8095101963026492,0.819672131147541,0.8679245283018868,0.8333333333333334,0.7272727272727273,61,23,2,2,0,15,0,3,4,12,65,LR params=65
DIR_LogisticRegression_DirectionCore_E3_BITS_WEDA_MIXED,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,bits,LogisticRegression,direction_only_ml,DirectionCore,64,0.7462962962962963,0.7777777777777778,0.8888888888888888,0.75,0.6,36,16,0,2,0,6,0,2,4,6,65,LR params=65
DIR_LogisticRegression_DirectionCore_E3_BITS_WEDA_MIXED,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,weda,LogisticRegression,direction_only_ml,DirectionCore,64,0.8822021116138764,0.88,0.8235294117647058,0.9,0.9230769230769231,25,7,2,0,0,9,0,1,0,6,65,LR params=65
DIR_LogisticRegression_DirectionCore_E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,weda,LogisticRegression,direction_only_ml,DirectionCore,64,0.40196078431372556,0.48,0.7058823529411765,0.0,0.5,25,6,0,3,1,0,8,1,0,6,65,LR params=65
DIR_LogisticRegression_DirectionCore_E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,bits,LogisticRegression,direction_only_ml,DirectionCore,64,0.4384920634920635,0.5555555555555556,0.7619047619047619,0.42857142857142855,0.125,36,16,0,2,2,3,1,6,5,1,65,LR params=65
DIR_LogisticRegression_DirectionCore_E6_E3_MIXED_TEST_BITS,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED_REUSED,bits,LogisticRegression,direction_only_ml,DirectionCore,64,0.7462962962962963,0.7777777777777778,0.8888888888888888,0.75,0.6,36,16,0,2,0,6,0,2,4,6,65,LR params=65
DIR_LogisticRegression_DirectionCore_E7_E3_MIXED_TEST_WEDA,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED_REUSED,weda,LogisticRegression,direction_only_ml,DirectionCore,64,0.8822021116138764,0.88,0.8235294117647058,0.9,0.9230769230769231,25,7,2,0,0,9,0,1,0,6,65,LR params=65
DIR_LinearSVM_DirectionCore_E1_BITS_TO_BITS,E1_BITS_TO_BITS,E1_BITS_TO_BITS,bits,LinearSVM,direction_only_ml,DirectionCore,64,0.8244536871987851,0.8055555555555556,0.8235294117647058,0.9090909090909091,0.7407407407407407,36,14,0,4,0,5,1,2,0,10,65,LinearSVM params~65
