pipeline,experiment_id,fall_run_id,direction_run_id,direction_source,E2E_Direction_Macro_F1,coverage,correct_rate,forward_f1,backward_f1,lateral_f1,direction_n_supervised
A5_reference,E3_BITS_WEDA_MIXED,A5,A5,A5,0.8372183372183373,0.9180327868852459,0.819672131147541,0.9090909090909091,0.7692307692307693,0.8333333333333334,61
A5_reference,E6_E3_MIXED_TEST_BITS,A5,A5,A5,0.842953342953343,0.8888888888888888,0.8333333333333334,0.9444444444444444,0.7272727272727273,0.8571428571428571,36
A5_reference,E7_E3_MIXED_TEST_WEDA,A5,A5,A5,0.8140350877192982,0.96,0.8,0.8421052631578947,0.8,0.8,25
ML_only_separated,E3_BITS_WEDA_MIXED,FALL_GradientBoosting_FallNoTiming_Full_E3_BITS_WEDA_MIXED,DIR_GradientBoosting_DirectionFullNoTiming_E3_BITS_WEDA_MIXED,ML_direction,0.7567295597484277,0.8524590163934426,0.7213114754098361,0.8301886792452831,0.64,0.8,61
ML_only_separated,E6_E3_MIXED_TEST_BITS,FALL_GradientBoosting_FallNoTiming_Full_E3_BITS_WEDA_MIXED,DIR_GradientBoosting_DirectionFullNoTiming_E3_BITS_WEDA_MIXED,ML_direction,0.6585858585858586,0.8055555555555556,0.6666666666666666,0.8484848484848485,0.4,0.7272727272727273,36
ML_only_separated,E7_E3_MIXED_TEST_WEDA,FALL_GradientBoosting_FallNoTiming_Full_E3_BITS_WEDA_MIXED,DIR_GradientBoosting_DirectionFullNoTiming_E3_BITS_WEDA_MIXED,ML_direction,0.841025641025641,0.92,0.8,0.8,0.8,0.9230769230769231,25
Hybrid_ML_FallFull_A5_Direction,E3_BITS_WEDA_MIXED,FALL_GradientBoosting_FallNoTiming_Full_E3_BITS_WEDA_MIXED,A5,A5,0.7998290598290598,0.8524590163934426,0.7540983606557377,0.8461538461538461,0.72,0.8333333333333334,61
Hybrid_ML_FallFull_A5_Direction,E6_E3_MIXED_TEST_BITS,FALL_GradientBoosting_FallNoTiming_Full_E3_BITS_WEDA_MIXED,A5,A5,0.7798319327731092,0.8055555555555556,0.75,0.8823529411764706,0.6,0.8571428571428571,36
Hybrid_ML_FallFull_A5_Direction,E7_E3_MIXED_TEST_WEDA,FALL_GradientBoosting_FallNoTiming_Full_E3_BITS_WEDA_MIXED,A5,A5,0.7925925925925927,0.92,0.76,0.7777777777777778,0.8,0.8,25
EdgeLite_ML_FallCore_A5_Direction,E3_BITS_WEDA_MIXED,FALL_RandomForest_FallNoTiming_Core_E3_BITS_WEDA_MIXED,A5,A5,0.8070859538784068,0.8688524590163934,0.7704918032786885,0.8679245283018868,0.72,0.8333333333333334,61
EdgeLite_ML_FallCore_A5_Direction,E6_E3_MIXED_TEST_BITS,FALL_RandomForest_FallNoTiming_Core_E3_BITS_WEDA_MIXED,A5,A5,0.7798319327731092,0.8055555555555556,0.75,0.8823529411764706,0.6,0.8571428571428571,36
EdgeLite_ML_FallCore_A5_Direction,E7_E3_MIXED_TEST_WEDA,FALL_RandomForest_FallNoTiming_Core_E3_BITS_WEDA_MIXED,A5,A5,0.8140350877192982,0.96,0.8,0.8421052631578947,0.8,0.8,25
EdgeLite_ML_FallCore_ML_DirectionCore,E3_BITS_WEDA_MIXED,FALL_RandomForest_FallNoTiming_Core_E3_BITS_WEDA_MIXED,DIR_LogisticRegression_DirectionCore_E3_BITS_WEDA_MIXED,ML_direction,0.725,0.8688524590163934,0.6885245901639344,0.8,0.6875,0.6875,61
EdgeLite_ML_FallCore_ML_DirectionCore,E6_E3_MIXED_TEST_BITS,FALL_RandomForest_FallNoTiming_Core_E3_BITS_WEDA_MIXED,DIR_LogisticRegression_DirectionCore_E3_BITS_WEDA_MIXED,ML_direction,0.5919110129636445,0.8055555555555556,0.5833333333333334,0.7878787878787878,0.46153846153846156,0.5263157894736842,36
EdgeLite_ML_FallCore_ML_DirectionCore,E7_E3_MIXED_TEST_WEDA,FALL_RandomForest_FallNoTiming_Core_E3_BITS_WEDA_MIXED,DIR_LogisticRegression_DirectionCore_E3_BITS_WEDA_MIXED,ML_direction,0.8629038659998413,0.96,0.84,0.8235294117647058,0.8421052631578947,0.9230769230769231,25
