run_id,experiment_id,train_protocol,test_dataset,model_name,model_type,feature_set,feature_count,threshold,threshold_note,TN,FP,FN,TP,fall_precision,fall_recall,fall_f1,accuracy,AUROC,average_precision,FP_reduction_vs_A5,complexity,complexity_note
FALL_LogisticRegression_FallNoTiming_Core_E1_BITS_TO_BITS,E1_BITS_TO_BITS,E1_BITS_TO_BITS,bits,LogisticRegression,fall_only_ml,FallNoTiming_Core,16,0.8463820099613419,best_val_f1_then_precision_with_recall088_tiebreak,470,10,6,42,0.8076923076923077,0.875,0.84,0.9696969696969697,0.9842447916666666,0.9090815859599541,-8,17,LR params=17
FALL_LogisticRegression_FallNoTiming_Core_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,weda,LogisticRegression,fall_only_ml,FallNoTiming_Core,16,0.9410569438110598,best_val_f1_then_precision_with_recall088_tiebreak,153,2,12,13,0.8666666666666667,0.52,0.65,0.9222222222222223,0.9649032258064516,0.8225864777933533,3,17,LR params=17
FALL_LogisticRegression_FallNoTiming_Core_E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,bits+weda,LogisticRegression,fall_only_ml,FallNoTiming_Core,16,0.7555465888491875,best_val_f1_then_precision_with_recall088_tiebreak,605,30,14,59,0.6629213483146067,0.8082191780821918,0.7283950617283951,0.9378531073446328,0.9592708445690864,0.8087204700413938,-9,17,LR params=17
FALL_LogisticRegression_FallNoTiming_Core_E3_BITS_WEDA_MIXED,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,bits,LogisticRegression,fall_only_ml,FallNoTiming_Core,16,0.7555465888491875,best_val_f1_then_precision_with_recall088_tiebreak,474,6,13,35,0.8536585365853658,0.7291666666666666,0.7865168539325843,0.9640151515151515,0.9745659722222222,0.886099033776488,-6,17,LR params=17
FALL_LogisticRegression_FallNoTiming_Core_E3_BITS_WEDA_MIXED,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,weda,LogisticRegression,fall_only_ml,FallNoTiming_Core,16,0.7555465888491875,best_val_f1_then_precision_with_recall088_tiebreak,131,24,1,24,0.5,0.96,0.6575342465753424,0.8611111111111112,0.9329032258064516,0.7042099818590744,-3,17,LR params=17
FALL_LogisticRegression_FallNoTiming_Core_E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,weda,LogisticRegression,fall_only_ml,FallNoTiming_Core,16,0.8463820099613419,best_val_f1_then_precision_with_recall088_tiebreak,80,75,0,25,0.25,1.0,0.4,0.5833333333333334,0.7989677419354838,0.2862043869487273,-31,17,LR params=17
FALL_LogisticRegression_FallNoTiming_Core_E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,bits,LogisticRegression,fall_only_ml,FallNoTiming_Core,16,0.9410569438110598,best_val_f1_then_precision_with_recall088_tiebreak,464,16,19,29,0.6444444444444445,0.6041666666666666,0.6236559139784946,0.9337121212121212,0.9450954861111112,0.729978006375944,-11,17,LR params=17
FALL_LogisticRegression_FallNoTiming_Core_E6_E3_MIXED_TEST_BITS,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED_REUSED,bits,LogisticRegression,fall_only_ml,FallNoTiming_Core,16,0.7555465888491875,best_val_f1_then_precision_with_recall088_tiebreak,474,6,13,35,0.8536585365853658,0.7291666666666666,0.7865168539325843,0.9640151515151515,0.9745659722222222,0.886099033776488,-6,17,LR params=17
FALL_LogisticRegression_FallNoTiming_Core_E7_E3_MIXED_TEST_WEDA,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED_REUSED,weda,LogisticRegression,fall_only_ml,FallNoTiming_Core,16,0.7555465888491875,best_val_f1_then_precision_with_recall088_tiebreak,131,24,1,24,0.5,0.96,0.6575342465753424,0.8611111111111112,0.9329032258064516,0.7042099818590744,-3,17,LR params=17
FALL_LinearSVM_FallNoTiming_Core_E1_BITS_TO_BITS,E1_BITS_TO_BITS,E1_BITS_TO_BITS,bits,LinearSVM,fall_only_ml,FallNoTiming_Core,16,0.5975804540312075,best_val_f1_then_precision_with_recall088_tiebreak,473,7,8,40,0.851063829787234,0.8333333333333334,0.8421052631578947,0.9715909090909091,0.98671875,0.927217977725854,-5,17,LinearSVM params~17
