experiment_id,model_name,model_type,feature_set,fall_expert,fall_precision,fall_recall,fall_f1,accuracy,FP,FN,TP,TN,AUROC,average_precision,complexity,notes,task,direction_model,direction_macro_f1,direction_accuracy,forward_f1,backward_f1,lateral_f1,direction_n_supervised,run_id,eval,dataset,n,E3_Fall_Precision,fall_accuracy,fall_auroc,fall_average_precision,end_to_end_direction_macro_f1,end_to_end_direction_coverage,end_to_end_direction_correct_rate,E7_WEDA_FP_reduction_vs_A5_reference,number_features,threshold,threshold_note,upper_bound_timing,deep_fall_used_for_final,direction_source,estimated_params_or_nodes,number_trees,max_depth,edge_suitability,complexity_notes
E1_BITS_TO_BITS,DS-Fall-RD A5,a5_reference,temporal_tilt12,A5_deep_fall_head,0.9523809523809523,0.8333333333333334,0.8888888888888888,0.9810606060606061,2.0,8.0,40.0,478.0,0.9790798611111111,0.9369262499735564,65959.0,saved predictions: C:\Users\ADMIN\Desktop\ds-fall\artifacts\experiments_25hz_event\E1_BITS_TO_BITS\predictions.csv,fall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2_WEDA_TO_WEDA,DS-Fall-RD A5,a5_reference,temporal_tilt12,A5_deep_fall_head,0.7916666666666666,0.76,0.7755102040816326,0.9388888888888889,5.0,6.0,19.0,150.0,0.9716129032258064,0.8778480648384231,65959.0,saved predictions: C:\Users\ADMIN\Desktop\ds-fall\artifacts\experiments_25hz_event\E2_WEDA_TO_WEDA\predictions.csv,fall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3_BITS_WEDA_MIXED,DS-Fall-RD A5,a5_reference,temporal_tilt12,A5_deep_fall_head,0.7613636363636364,0.9178082191780822,0.8322981366459627,0.961864406779661,21.0,6.0,67.0,614.0,0.9658073562722468,0.901453702667915,65959.0,saved predictions: C:\Users\ADMIN\Desktop\ds-fall\artifacts\experiments_25hz_event\E3_BITS_WEDA_MIXED\predictions.csv,fall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E4_BITS_TO_WEDA,DS-Fall-RD A5,a5_reference,temporal_tilt12,A5_deep_fall_head,0.34328358208955223,0.92,0.5,0.7444444444444445,44.0,2.0,23.0,111.0,0.880774193548387,0.5142627674399248,65959.0,saved predictions: C:\Users\ADMIN\Desktop\ds-fall\artifacts\experiments_25hz_event\E4_BITS_TO_WEDA\predictions.csv,fall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E5_WEDA_TO_BITS,DS-Fall-RD A5,a5_reference,temporal_tilt12,A5_deep_fall_head,0.8529411764705882,0.6041666666666666,0.7073170731707317,0.9545454545454546,5.0,19.0,29.0,475.0,0.916796875,0.7867541610768137,65959.0,saved predictions: C:\Users\ADMIN\Desktop\ds-fall\artifacts\experiments_25hz_event\E5_WEDA_TO_BITS\predictions.csv,fall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E6_E3_MIXED_TEST_BITS,DS-Fall-RD A5,a5_reference,temporal_tilt12,A5_deep_fall_head,1.0,0.8958333333333334,0.945054945054945,0.990530303030303,0.0,5.0,43.0,480.0,0.961328125,0.933191170041879,65959.0,saved predictions: C:\Users\ADMIN\Desktop\ds-fall\artifacts\experiments_25hz_event\E6_E3_MIXED_TEST_BITS\predictions.csv,fall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7_E3_MIXED_TEST_WEDA,DS-Fall-RD A5,a5_reference,temporal_tilt12,A5_deep_fall_head,0.5333333333333333,0.96,0.6857142857142857,0.8777777777777778,21.0,1.0,24.0,134.0,0.9633548387096774,0.8061146676890154,65959.0,saved predictions: C:\Users\ADMIN\Desktop\ds-fall\artifacts\experiments_25hz_event\E7_E3_MIXED_TEST_WEDA\predictions.csv,fall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1_BITS_TO_BITS,DS-Fall-RD A5,a5_reference,temporal_tilt12,,,,,,,,,,,,65959.0,saved predictions: C:\Users\ADMIN\Desktop\ds-fall\artifacts\experiments_25hz_event\E1_BITS_TO_BITS\predictions.csv,direction,A5_direction_head,0.8777348777348778,0.8888888888888888,0.918918918918919,0.8571428571428571,0.8571428571428571,36.0,,,,,,,,,,,,,,,,,,,,,,,
E2_WEDA_TO_WEDA,DS-Fall-RD A5,a5_reference,temporal_tilt12,,,,,,,,,,,,65959.0,saved predictions: C:\Users\ADMIN\Desktop\ds-fall\artifacts\experiments_25hz_event\E2_WEDA_TO_WEDA\predictions.csv,direction,A5_direction_head,0.6071428571428571,0.64,0.75,0.5714285714285714,0.5,25.0,,,,,,,,,,,,,,,,,,,,,,,
E3_BITS_WEDA_MIXED,DS-Fall-RD A5,a5_reference,temporal_tilt12,,,,,,,,,,,,65959.0,saved predictions: C:\Users\ADMIN\Desktop\ds-fall\artifacts\experiments_25hz_event\E3_BITS_WEDA_MIXED\predictions.csv,direction,A5_direction_head,0.8966626725247414,0.9016393442622951,0.9285714285714286,0.896551724137931,0.8648648648648649,61.0,,,,,,,,,,,,,,,,,,,,,,,
