model_name,feature_group,n_features,eval,dataset,direction_macro_f1,direction_accuracy,direction_n_supervised
hist_gradient_boosting,raw_axis_only,60,E3,bits+weda,0.8495322657364831,0.8524590163934426,61
hist_gradient_boosting,raw_axis_only,60,E6,bits,0.8459888459888459,0.8611111111111112,36
hist_gradient_boosting,raw_axis_only,60,E7,weda,0.8434065934065934,0.84,25
hist_gradient_boosting,gyro_signed_only,36,E3,bits+weda,0.7614718614718615,0.7704918032786885,61
hist_gradient_boosting,gyro_signed_only,36,E6,bits,0.819681861348528,0.8333333333333334,36
hist_gradient_boosting,gyro_signed_only,36,E7,weda,0.6616892911010558,0.68,25
hist_gradient_boosting,acceleration_signed_only,36,E3,bits+weda,0.7399749373433583,0.7377049180327869,61
hist_gradient_boosting,acceleration_signed_only,36,E6,bits,0.7626262626262625,0.75,36
hist_gradient_boosting,acceleration_signed_only,36,E7,weda,0.7243083003952568,0.72,25
hist_gradient_boosting,magnitude_jerk_only,24,E3,bits+weda,0.6147086538250828,0.6557377049180327,61
hist_gradient_boosting,magnitude_jerk_only,24,E6,bits,0.8642140468227425,0.8888888888888888,36
hist_gradient_boosting,magnitude_jerk_only,24,E7,weda,0.3386243386243386,0.32,25
hist_gradient_boosting,orientation_only,29,E3,bits+weda,0.6410138248847926,0.6721311475409836,61
hist_gradient_boosting,orientation_only,29,E6,bits,0.6527777777777778,0.6944444444444444,36
hist_gradient_boosting,orientation_only,29,E7,weda,0.6011695906432748,0.64,25
hist_gradient_boosting,pre_impact_signed_only,19,E3,bits+weda,0.7844813138930786,0.7868852459016393,61
hist_gradient_boosting,pre_impact_signed_only,19,E6,bits,0.8033126293995858,0.8055555555555556,36
hist_gradient_boosting,pre_impact_signed_only,19,E7,weda,0.7583710407239819,0.76,25
hist_gradient_boosting,all_features,136,E3,bits+weda,0.8596491228070176,0.8688524590163934,61
hist_gradient_boosting,all_features,136,E6,bits,0.8732563732563733,0.8888888888888888,36
hist_gradient_boosting,all_features,136,E7,weda,0.8337912087912088,0.84,25
hist_gradient_boosting,all_features_no_magnitude,112,E3,bits+weda,0.8653609831029186,0.8688524590163934,61
hist_gradient_boosting,all_features_no_magnitude,112,E6,bits,0.8244348244348245,0.8333333333333334,36
hist_gradient_boosting,all_features_no_magnitude,112,E7,weda,0.9214177978883861,0.92,25
