model_name,task,eval,dataset,direction_macro_f1,direction_accuracy,forward_f1,backward_f1,lateral_f1,direction_n_supervised,train_seconds,confusion_matrix
logistic_regression,direction_classification,E3,bits+weda,0.8275515334338864,0.8360655737704918,0.8846153846153846,0.7647058823529411,0.8333333333333334,61,0.04021150000335183,"[[23, 4, 0], [0, 13, 2], [2, 2, 15]]"
logistic_regression,direction_classification,E6,bits,0.8074161117639379,0.8611111111111112,0.972972972972973,0.6666666666666666,0.782608695652174,36,0.04021150000335183,"[[18, 0, 0], [0, 4, 2], [1, 2, 9]]"
logistic_regression,direction_classification,E7,weda,0.8026418026418026,0.8,0.6666666666666666,0.8181818181818182,0.9230769230769231,25,0.04021150000335183,"[[5, 4, 0], [0, 9, 0], [1, 0, 6]]"
linear_svm,direction_classification,E3,bits+weda,0.7957219251336897,0.8032786885245902,0.8363636363636363,0.7272727272727273,0.8235294117647058,61,0.04006710000248859,"[[23, 4, 0], [2, 12, 1], [3, 2, 14]]"
linear_svm,direction_classification,E6,bits,0.7888888888888889,0.8333333333333334,0.9,0.6666666666666666,0.8,36,0.04006710000248859,"[[18, 0, 0], [2, 4, 0], [2, 2, 8]]"
linear_svm,direction_classification,E7,weda,0.7619047619047619,0.76,0.6666666666666666,0.7619047619047619,0.8571428571428571,25,0.04006710000248859,"[[5, 4, 0], [0, 8, 1], [1, 0, 6]]"
random_forest,direction_classification,E3,bits+weda,0.809601034138316,0.819672131147541,0.8524590163934426,0.8666666666666667,0.7096774193548387,61,0.4378309000021545,"[[26, 0, 1], [2, 13, 0], [6, 2, 11]]"
random_forest,direction_classification,E6,bits,0.8172932330827067,0.8333333333333334,0.8947368421052632,0.8571428571428571,0.7,36,0.4378309000021545,"[[17, 0, 1], [0, 6, 0], [3, 2, 7]]"
random_forest,direction_classification,E7,weda,0.7949604743083004,0.8,0.782608695652174,0.875,0.7272727272727273,25,0.4378309000021545,"[[9, 0, 0], [2, 7, 0], [3, 0, 4]]"
gradient_boosting,direction_classification,E3,bits+weda,0.8200145958766648,0.8360655737704918,0.896551724137931,0.7857142857142857,0.7777777777777778,61,7.798281499999575,"[[26, 0, 1], [2, 11, 2], [3, 2, 14]]"
gradient_boosting,direction_classification,E6,bits,0.8051408051408052,0.8333333333333334,0.918918918918919,0.7692307692307693,0.7272727272727273,36,7.798281499999575,"[[17, 0, 1], [0, 5, 1], [2, 2, 8]]"
gradient_boosting,direction_classification,E7,weda,0.8380952380952381,0.84,0.8571428571428571,0.8,0.8571428571428571,25,7.798281499999575,"[[9, 0, 0], [2, 6, 1], [1, 0, 6]]"
hist_gradient_boosting,direction_classification,E3,bits+weda,0.8596491228070176,0.8688524590163934,0.9122807017543859,0.8666666666666667,0.8,61,1.3053632000010111,"[[26, 0, 1], [1, 13, 1], [3, 2, 14]]"
hist_gradient_boosting,direction_classification,E6,bits,0.8732563732563733,0.8888888888888888,0.9444444444444444,0.8571428571428571,0.8181818181818182,36,1.3053632000010111,"[[17, 0, 1], [0, 6, 0], [1, 2, 9]]"
hist_gradient_boosting,direction_classification,E7,weda,0.8337912087912088,0.84,0.8571428571428571,0.875,0.7692307692307693,25,1.3053632000010111,"[[9, 0, 0], [1, 7, 1], [2, 0, 5]]"
