model_name,feature_group,n_features,eval,dataset,threshold,fall_f1,precision,recall,AUROC
random_forest,raw_axis_only,60,E3,bits+weda,0.2656641604010025,0.8,0.717391304347826,0.9041095890410958,0.9814475245388847
random_forest,raw_axis_only,60,E6,bits,0.2656641604010025,0.9130434782608695,0.9545454545454546,0.875,0.9886284722222223
random_forest,raw_axis_only,60,E7,weda,0.2656641604010025,0.6575342465753424,0.5,0.96,0.9789677419354839
random_forest,magnitude_jerk_only,24,E3,bits+weda,0.43069340016708435,0.8531468531468531,0.8714285714285714,0.8356164383561644,0.9730018336749002
random_forest,magnitude_jerk_only,24,E6,bits,0.43069340016708435,0.8636363636363636,0.95,0.7916666666666666,0.9740451388888888
random_forest,magnitude_jerk_only,24,E7,weda,0.43069340016708435,0.8363636363636363,0.7666666666666667,0.92,0.9802580645161291
random_forest,orientation_only,29,E3,bits+weda,0.4104928989139516,0.7393939393939394,0.6630434782608695,0.8356164383561644,0.9637687412361127
random_forest,orientation_only,29,E6,bits,0.4104928989139516,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.9688802083333332
random_forest,orientation_only,29,E7,weda,0.4104928989139516,0.6666666666666666,0.5227272727272727,0.92,0.9670967741935483
random_forest,impact_timing_only,6,E3,bits+weda,0.8646616541353382,0.9,0.9402985074626866,0.863013698630137,0.9853629597670154
random_forest,impact_timing_only,6,E6,bits,0.8646616541353382,0.9010989010989011,0.9534883720930233,0.8541666666666666,0.9807942708333334
random_forest,impact_timing_only,6,E7,weda,0.8646616541353382,0.8979591836734694,0.9166666666666666,0.88,0.996
random_forest,pre_post_only,25,E3,bits+weda,0.292280701754386,0.7784431137724551,0.6914893617021277,0.8904109589041096,0.9719879193183043
random_forest,pre_post_only,25,E6,bits,0.292280701754386,0.803921568627451,0.7592592592592593,0.8541666666666666,0.96796875
random_forest,pre_post_only,25,E7,weda,0.292280701754386,0.7384615384615385,0.6,0.96,0.988
random_forest,all_features,136,E3,bits+weda,0.2556390977443609,0.9459459459459459,0.9333333333333333,0.958904109589041,0.9888900873692158
random_forest,all_features,136,E6,bits,0.2556390977443609,0.9473684210526315,0.9574468085106383,0.9375,0.9888454861111111
random_forest,all_features,136,E7,weda,0.2556390977443609,0.9433962264150944,0.8928571428571429,1.0,0.9985806451612903
random_forest,all_features_no_impact_timing,130,E3,bits+weda,0.3383458646616541,0.8333333333333334,0.7831325301204819,0.8904109589041096,0.9795491317010032
random_forest,all_features_no_impact_timing,130,E6,bits,0.3383458646616541,0.9010989010989011,0.9534883720930233,0.8541666666666666,0.981011284722222
random_forest,all_features_no_impact_timing,130,E7,weda,0.3383458646616541,0.7384615384615385,0.6,0.96,0.9854193548387097
