model_name,task,eval,dataset,threshold,AUROC,average_precision,accuracy,precision,recall,fall_f1,TN,FP,FN,TP,train_seconds
logistic_regression,fall_detection,E3,bits+weda,0.9423558962420909,0.9853306007981879,0.9459523777762657,0.9703389830508474,0.9482758620689655,0.7534246575342466,0.8396946564885496,632,3,18,55,1.2837763999996241
logistic_regression,fall_detection,E6,bits,0.9423558962420909,0.9830729166666666,0.9398927040312551,0.9734848484848485,0.9722222222222222,0.7291666666666666,0.8333333333333334,479,1,13,35,1.2837763999996241
logistic_regression,fall_detection,E7,weda,0.9423558962420909,0.9945806451612903,0.9698097883597885,0.9611111111111111,0.9090909090909091,0.8,0.851063829787234,153,2,5,20,1.2837763999996241
linear_svm,fall_detection,E3,bits+weda,0.7143779149579315,0.9836479344191564,0.9428232490732382,0.9731638418079096,0.95,0.7808219178082192,0.8571428571428571,632,3,16,57,1.3966333999997005
linear_svm,fall_detection,E6,bits,0.7143779149579315,0.98125,0.9416137111893752,0.9753787878787878,0.972972972972973,0.75,0.8470588235294118,479,1,12,36,1.3966333999997005
linear_svm,fall_detection,E7,weda,0.7143779149579315,0.9930322580645161,0.960357216713281,0.9666666666666667,0.9130434782608695,0.84,0.875,153,2,4,21,1.3966333999997005
random_forest,fall_detection,E3,bits+weda,0.2556390977443609,0.9888900873692158,0.9689769870830603,0.9887005649717514,0.9333333333333333,0.958904109589041,0.9459459459459459,630,5,3,70,1.4172256000019843
random_forest,fall_detection,E6,bits,0.2556390977443609,0.9888454861111111,0.9645843258141175,0.990530303030303,0.9574468085106383,0.9375,0.9473684210526315,478,2,3,45,1.4172256000019843
random_forest,fall_detection,E7,weda,0.2556390977443609,0.9985806451612903,0.9897327976371455,0.9833333333333333,0.8928571428571429,1.0,0.9433962264150944,152,3,0,25,1.4172256000019843
gradient_boosting,fall_detection,E3,bits+weda,0.7230167059456084,0.9906914033006148,0.9729128998498456,0.9872881355932204,0.9444444444444444,0.9315068493150684,0.9379310344827586,631,4,5,68,27.324177099995723
gradient_boosting,fall_detection,E6,bits,0.7230167059456084,0.9903645833333333,0.9665522066708552,0.9867424242424242,0.9555555555555556,0.8958333333333334,0.9247311827956989,478,2,5,43,27.324177099995723
gradient_boosting,fall_detection,E7,weda,0.7230167059456084,0.9987096774193549,0.9920312399355877,0.9888888888888889,0.9259259259259259,1.0,0.9615384615384616,153,2,0,25,27.324177099995723
hist_gradient_boosting,fall_detection,E3,bits+weda,0.13533841900802712,0.9960737784489267,0.9818933590429086,0.9872881355932204,0.9210526315789473,0.958904109589041,0.9395973154362416,629,6,3,70,3.7079840999940643
hist_gradient_boosting,fall_detection,E6,bits,0.13533841900802712,0.9960503472222222,0.9768836575442884,0.9886363636363636,0.9375,0.9375,0.9375,477,3,3,45,3.7079840999940643
hist_gradient_boosting,fall_detection,E7,weda,0.13533841900802712,0.9997419354838709,0.9984615384615385,0.9833333333333333,0.8928571428571429,1.0,0.9433962264150944,152,3,0,25,3.7079840999940643
