model_name,model_type,input_type,task_supported,params_or_model_size,E3 Fall F1,E3 Fall Precision,E3 Fall Recall,E3 Direction Macro F1,E3 Direction Accuracy,E6 BITS Fall F1,E6 BITS Direction Macro F1,E7 WEDA Fall F1,E7 WEDA Precision,E7 WEDA Recall,E7 WEDA Direction Macro F1,notes
DS-Fall-RD A5WCEFW,deep_temporal,temporal_tilt12,multitask_fall_direction,65959,0.8322981366459627,0.7613636363636364,0.9178082191780822,0.8966626725247414,0.9016393442622951,0.945054945054945,0.9350469350469351,0.6857142857142857,0.5333333333333333,0.96,0.8390350877192981,reference saved predictions
gradient_boosting,classical_feature,summary_features,fall_only,,0.9379310344827586,0.9444444444444444,0.9315068493150684,,,0.9247311827956989,,0.9615384615384616,0.9259259259259259,1.0,,fall-only summary feature classifier
hist_gradient_boosting,classical_feature,summary_features,fall_only,,0.9395973154362416,0.9210526315789473,0.958904109589041,,,0.9375,,0.9433962264150944,0.8928571428571429,1.0,,fall-only summary feature classifier
linear_svm,classical_feature,summary_features,fall_only,,0.8571428571428571,0.95,0.7808219178082192,,,0.8470588235294118,,0.875,0.9130434782608695,0.84,,fall-only summary feature classifier
logistic_regression,classical_feature,summary_features,fall_only,,0.8396946564885496,0.9482758620689655,0.7534246575342466,,,0.8333333333333334,,0.851063829787234,0.9090909090909091,0.8,,fall-only summary feature classifier
random_forest,classical_feature,summary_features,fall_only,,0.9459459459459459,0.9333333333333333,0.958904109589041,,,0.9473684210526315,,0.9433962264150944,0.8928571428571429,1.0,,fall-only summary feature classifier
gradient_boosting,classical_feature,summary_features,direction_only,,,,,0.8200145958766648,0.8360655737704918,,0.8051408051408052,,,,0.8380952380952381,direction-only summary feature classifier
hist_gradient_boosting,classical_feature,summary_features,direction_only,,,,,0.8596491228070176,0.8688524590163934,,0.8732563732563733,,,,0.8337912087912088,direction-only summary feature classifier
linear_svm,classical_feature,summary_features,direction_only,,,,,0.7957219251336897,0.8032786885245902,,0.7888888888888889,,,,0.7619047619047619,direction-only summary feature classifier
logistic_regression,classical_feature,summary_features,direction_only,,,,,0.8275515334338864,0.8360655737704918,,0.8074161117639379,,,,0.8026418026418026,direction-only summary feature classifier
random_forest,classical_feature,summary_features,direction_only,,,,,0.809601034138316,0.819672131147541,,0.8172932330827067,,,,0.7949604743083004,direction-only summary feature classifier
