run_id,block,alpha_fall,lambda_dir,sampler,feature_set,fall_loss,direction_loss,adapter_mode,train_mode,beta_kd,width_multiplier,notes,seed,train_dataset,test_dataset,sampling_rate,window_seconds,input_shape,params,fall_threshold,val_best_fall_f1,fall_precision,fall_recall,fall_f1,direction_macro_f1,direction_accuracy,direction_n_supervised,bits_fall_f1,bits_direction_macro_f1,bits_direction_accuracy,bits_direction_n_supervised,weda_fall_f1,weda_fall_precision,weda_fall_recall,weda_direction_macro_f1,weda_direction_accuracy,weda_direction_n_supervised,train_seconds,best_epoch,train,val,test,train_direction_supervised,val_direction_supervised,test_direction_supervised,selection_score,passes_hard_filter
B1,loss_sampler_near_reference,1.25,1.5,current,tilt12,weighted_ce,weighted_ce,none,standard,0.0,1.0,,42,bits+weda,bits+weda,25.0,2.0,"(50, 12)",65959,0.8199999999999996,0.8513513513513513,0.7926829268292683,0.8904109589041096,0.8387096774193549,0.8504109768477585,0.8524590163934426,61,0.9213483146067416,0.9771428571428572,0.9722222222222222,36,0.7272727272727273,0.5853658536585366,0.96,0.6839156715317706,0.68,25,114.8896380999995,30,3999,748,708,472,61,61,0.7896409116330586,False
B2,loss_sampler_near_reference,1.5,1.5,current,tilt12,weighted_ce,weighted_ce,none,standard,0.0,1.0,,42,bits+weda,bits+weda,25.0,2.0,"(50, 12)",65959,0.16999999999999998,0.8936170212765957,0.8076923076923077,0.863013698630137,0.8344370860927153,0.7523066926575698,0.7704918032786885,61,0.9213483146067416,0.7870370370370371,0.8333333333333334,36,0.7096774193548387,0.5945945945945946,0.88,0.7037037037037037,0.68,25,91.5224206999992,20,3999,748,708,472,61,61,0.7633665955118676,False
B3,loss_sampler_near_reference,1.25,1.25,current,tilt12,weighted_ce,weighted_ce,none,standard,0.0,1.0,,42,bits+weda,bits+weda,25.0,2.0,"(50, 12)",65959,0.4099999999999998,0.8590604026845637,0.8375,0.9178082191780822,0.8758169934640523,0.7092731829573934,0.7377049180327869,61,0.9333333333333333,0.8354497354497354,0.8611111111111112,36,0.7936507936507936,0.6578947368421053,1.0,0.546031746031746,0.56,25,177.51204809999945,63,3999,748,708,472,61,61,0.7522015823873409,False
C1,loss_sampler_near_reference,1.0,1.5,dataset_balanced,tilt12,weighted_ce,weighted_ce,none,standard,0.0,1.0,,42,bits+weda,bits+weda,25.0,2.0,"(50, 12)",65959,0.6799999999999997,0.8311688311688312,0.7831325301204819,0.8904109589041096,0.8333333333333334,0.8221288515406163,0.8360655737704918,61,0.8913043478260869,0.8354497354497354,0.8611111111111112,36,0.75,0.6153846153846154,0.96,0.789792663476874,0.8,25,321.7846491,43,3999,748,708,472,61,61,0.8055197310877753,False
C2,loss_sampler_near_reference,1.25,1.5,dataset_balanced,tilt12,weighted_ce,weighted_ce,none,standard,0.0,1.0,,42,bits+weda,bits+weda,25.0,2.0,"(50, 12)",65959,0.7999999999999996,0.8170731707317073,0.8378378378378378,0.8493150684931506,0.8435374149659864,0.7522926634768741,0.7704918032786885,61,0.9333333333333333,0.7965811965811965,0.8333333333333334,36,0.7017543859649122,0.625,0.8,0.6825396825396824,0.68,25,204.0149194000005,21,3999,748,708,472,61,61,0.7594611596632274,False
C3,loss_sampler_near_reference,1.5,1.5,dataset_balanced,tilt12,weighted_ce,weighted_ce,none,standard,0.0,1.0,,42,bits+weda,bits+weda,25.0,2.0,"(50, 12)",65959,0.8899999999999996,0.8456375838926175,0.8181818181818182,0.863013698630137,0.84,0.8422908328568705,0.8524590163934426,61,0.9010989010989011,0.8354497354497354,0.8611111111111112,36,0.7457627118644068,0.6470588235294118,0.88,0.8380018674136321,0.84,25,181.92633999999998,18,3999,748,708,472,61,61,0.8210667304211011,False
D1,direction_preserving_finetune,1.0,1.5,current,tilt12,weighted_ce,weighted_ce,none,fall_head_finetune,0.0,1.0,Old Lambda checkpoint is not loadable; starts from an internally retrained serializable reference teacher.,42,bits+weda,bits+weda,25.0,2.0,"(50, 12)",65959,0.8399999999999996,0.8493150684931506,0.8873239436619719,0.863013698630137,0.875,0.7024827024827025,0.7377049180327869,61,0.9213483146067416,0.8449536493014754,0.8611111111111112,36,0.8,0.7333333333333333,0.88,0.5069597069597069,0.56,25,15.115469100001064,3,3999,748,708,472,61,61,0.7427148642036283,False
D2,direction_preserving_finetune,1.0,1.5,current,tilt12,weighted_ce,weighted_ce,fall16,fall_head_finetune,0.0,1.0,Fall adapter Conv1D 1x1 16 filters; encoder and direction branch frozen.,42,bits+weda,bits+weda,25.0,2.0,"(50, 12)",60391,0.6799999999999997,0.8611111111111112,0.8076923076923077,0.863013698630137,0.8344370860927153,0.7024827024827025,0.7377049180327869,61,0.9010989010989011,0.8449536493014754,0.8611111111111112,36,0.7333333333333333,0.6285714285714286,0.88,0.5069597069597069,0.56,25,13.285862099999576,1,3999,748,708,472,61,61,0.7156211607867237,False
D3,direction_preserving_finetune,2.0,1.0,current,tilt12,weighted_ce,ce,none,kd_finetune,1.0,1.0,L3-style fall-prioritized fine-tune with direction distillation beta=1.,42,bits+weda,bits+weda,25.0,2.0,"(50, 12)",65959,0.8999999999999996,0.8450704225352113,0.84,0.863013698630137,0.8513513513513513,0.7836981566820276,0.7868852459016393,61,0.9213483146067416,0.8867258867258868,0.8888888888888888,36,0.7457627118644068,0.6470588235294118,0.88,0.6133333333333333,0.64,25,54.8290448000007,10,3999,748,708,472,61,61,0.7656574017226421,False
D4,direction_preserving_finetune,2.0,1.0,current,tilt12,weighted_ce,ce,none,kd_finetune,2.0,1.0,L3-style fall-prioritized fine-tune with direction distillation beta=2.,42,bits+weda,bits+weda,25.0,2.0,"(50, 12)",65959,0.6699999999999997,0.8648648648648649,0.8311688311688312,0.8767123287671232,0.8533333333333334,0.8273772204806686,0.8360655737704918,61,0.9230769230769231,0.8867258867258868,0.8888888888888888,36,0.7457627118644068,0.6470588235294118,0.88,0.7532938076416338,0.76,25,54.14542619999884,11,3999,748,708,472,61,61,0.8050267520026878,False
