run_id,seed,eval,dataset,forward_f1,backward_f1,lateral_f1
B1,42,E3,bits+weda,0.8518518518518519,0.8275862068965517,0.8717948717948718
B1,42,E6,bits,0.9714285714285714,1.0,0.96
B1,42,E7,weda,0.631578947368421,0.7058823529411765,0.7142857142857143
B2,42,E3,bits+weda,0.8148148148148148,0.6,0.8421052631578947
B2,42,E6,bits,0.9444444444444444,0.6666666666666666,0.75
B2,42,E7,weda,0.5555555555555556,0.5555555555555556,1.0
B3,42,E3,bits+weda,0.8421052631578947,0.6,0.6857142857142857
B3,42,E6,bits,0.9444444444444444,0.8,0.7619047619047619
B3,42,E7,weda,0.6666666666666666,0.4,0.5714285714285714
C1,42,E3,bits+weda,0.8928571428571429,0.8235294117647058,0.75
C1,42,E6,bits,0.9444444444444444,0.8,0.7619047619047619
C1,42,E7,weda,0.8,0.8421052631578947,0.7272727272727273
C2,42,E3,bits+weda,0.8421052631578947,0.7272727272727273,0.6875
C2,42,E6,bits,0.9230769230769231,0.8,0.6666666666666666
C2,42,E7,weda,0.6666666666666666,0.6666666666666666,0.7142857142857143
C3,42,E3,bits+weda,0.9056603773584906,0.8333333333333334,0.7878787878787878
C3,42,E6,bits,0.9444444444444444,0.8,0.7619047619047619
C3,42,E7,weda,0.8235294117647058,0.8571428571428571,0.8333333333333334
D1,42,E3,bits+weda,0.8253968253968254,0.6153846153846154,0.6666666666666666
D1,42,E6,bits,0.918918918918919,0.8333333333333334,0.782608695652174
D1,42,E7,weda,0.6923076923076923,0.42857142857142855,0.4
D2,42,E3,bits+weda,0.8253968253968254,0.6153846153846154,0.6666666666666666
D2,42,E6,bits,0.918918918918919,0.8333333333333334,0.782608695652174
D2,42,E7,weda,0.6923076923076923,0.42857142857142855,0.4
D3,42,E3,bits+weda,0.8064516129032258,0.8571428571428571,0.6875
D3,42,E6,bits,0.918918918918919,0.9230769230769231,0.8181818181818182
D3,42,E7,weda,0.64,0.8,0.4
D4,42,E3,bits+weda,0.8666666666666667,0.8275862068965517,0.7878787878787878
D4,42,E6,bits,0.918918918918919,0.9230769230769231,0.8181818181818182
D4,42,E7,weda,0.782608695652174,0.75,0.7272727272727273
E1,42,E3,bits+weda,0.8070175438596491,0.46153846153846156,0.6153846153846154
E1,42,E6,bits,0.918918918918919,0.4444444444444444,0.6923076923076923
E1,42,E7,weda,0.6,0.47058823529411764,0.46153846153846156
F1,42,E3,bits+weda,0.8679245283018868,0.7096774193548387,0.7368421052631579
F1,42,E6,bits,0.9444444444444444,0.8,0.8461538461538461
F1,42,E7,weda,0.7058823529411765,0.6666666666666666,0.5
