run_id,seed,eval,dataset,fall_precision,fall_recall,fall_f1,direction_macro_f1,direction_accuracy,direction_n_supervised
B1,42,E6,bits,1.0,0.8541666666666666,0.9213483146067416,0.9771428571428572,0.9722222222222222,36
B1,42,E7,weda,0.5853658536585366,0.96,0.7272727272727273,0.6839156715317706,0.68,25
B2,42,E6,bits,1.0,0.8541666666666666,0.9213483146067416,0.7870370370370371,0.8333333333333334,36
B2,42,E7,weda,0.5945945945945946,0.88,0.7096774193548387,0.7037037037037037,0.68,25
B3,42,E6,bits,1.0,0.875,0.9333333333333333,0.8354497354497354,0.8611111111111112,36
B3,42,E7,weda,0.6578947368421053,1.0,0.7936507936507936,0.546031746031746,0.56,25
C1,42,E6,bits,0.9318181818181818,0.8541666666666666,0.8913043478260869,0.8354497354497354,0.8611111111111112,36
C1,42,E7,weda,0.6153846153846154,0.96,0.75,0.789792663476874,0.8,25
C2,42,E6,bits,1.0,0.875,0.9333333333333333,0.7965811965811965,0.8333333333333334,36
C2,42,E7,weda,0.625,0.8,0.7017543859649122,0.6825396825396824,0.68,25
C3,42,E6,bits,0.9534883720930233,0.8541666666666666,0.9010989010989011,0.8354497354497354,0.8611111111111112,36
C3,42,E7,weda,0.6470588235294118,0.88,0.7457627118644068,0.8380018674136321,0.84,25
D1,42,E6,bits,1.0,0.8541666666666666,0.9213483146067416,0.8449536493014754,0.8611111111111112,36
D1,42,E7,weda,0.7333333333333333,0.88,0.8,0.5069597069597069,0.56,25
D2,42,E6,bits,0.9534883720930233,0.8541666666666666,0.9010989010989011,0.8449536493014754,0.8611111111111112,36
D2,42,E7,weda,0.6285714285714286,0.88,0.7333333333333333,0.5069597069597069,0.56,25
D3,42,E6,bits,1.0,0.8541666666666666,0.9213483146067416,0.8867258867258868,0.8888888888888888,36
D3,42,E7,weda,0.6470588235294118,0.88,0.7457627118644068,0.6133333333333333,0.64,25
D4,42,E6,bits,0.9767441860465116,0.875,0.9230769230769231,0.8867258867258868,0.8888888888888888,36
D4,42,E7,weda,0.6470588235294118,0.88,0.7457627118644068,0.7532938076416338,0.76,25
E1,42,E6,bits,1.0,0.7916666666666666,0.8837209302325582,0.6852236852236852,0.7777777777777778,36
E1,42,E7,weda,0.8148148148148148,0.88,0.8461538461538461,0.510708898944193,0.52,25
F1,42,E6,bits,1.0,0.875,0.9333333333333333,0.8635327635327635,0.8888888888888888,36
F1,42,E7,weda,0.6176470588235294,0.84,0.711864406779661,0.6241830065359477,0.64,25
