dataset,subject_id,count
bits,user1,37
bits,user10,88
bits,user11,88
bits,user12,88
bits,user13,88
bits,user14,88
bits,user15,88
bits,user16,88
bits,user17,88
bits,user18,88
bits,user19,88
bits,user2,88
bits,user20,88
bits,user21,88
bits,user22,88
bits,user23,88
bits,user24,88
bits,user25,88
bits,user26,88
bits,user27,88
bits,user28,88
bits,user29,88
bits,user3,88
bits,user30,88
bits,user31,88
bits,user32,88
bits,user33,88
bits,user34,88
bits,user35,88
bits,user36,88
bits,user37,88
bits,user38,88
bits,user39,88
bits,user4,88
bits,user40,88
bits,user41,88
bits,user5,88
bits,user6,88
bits,user7,88
bits,user8,88
bits,user9,88
umafall,subject_01,30
umafall,subject_02,69
umafall,subject_03,30
umafall,subject_04,62
umafall,subject_05,68
umafall,subject_06,67
umafall,subject_07,51
umafall,subject_08,21
umafall,subject_09,55
umafall,subject_10,35
umafall,subject_11,48
umafall,subject_12,55
umafall,subject_13,35
umafall,subject_14,44
umafall,subject_15,62
umafall,subject_16,21
umafall,subject_17,41
umafall,subject_18,116
umafall,subject_19,68
weda,U01,105
weda,U02,105
weda,U03,105
weda,U04,101
weda,U05,105
weda,U06,105
weda,U07,105
weda,U08,105
weda,U09,102
weda,U10,105
weda,U11,105
weda,U12,105
weda,U13,103
weda,U14,105
weda,U21,35
weda,U22,34
weda,U23,40
weda,U24,40
weda,U25,31
weda,U26,39
weda,U27,40
weda,U28,40
weda,U29,39
weda,U30,40
weda,U31,40
