dataset,mode,window_length,target_sampling_rate_assumed,original_sampling_rate_hint,recordings_checked,fs_mean,fs_median,fs_std,dt_min,dt_max,duplicate_timestamps,irregular_timestamps,source_path,warning
bits,processed_window,100,50.0,BITS raw files are treated as 20 Hz and resampled to 50 Hz by row-order interpolation.,0,,,,,,not available,not available,,
bits,raw_timestamp_unreliable,not applicable,50.0,BITS raw files are treated as 20 Hz and resampled to 50 Hz by row-order interpolation.,975,,,,,,not audited,not audited,multiple,BITS raw timestamp column is rounded/duplicated in these CSVs; current preprocessing intentionally uses configured row-order 20 Hz before resampling to 50 Hz.
hifd,processed_window,100,50.0,HIFD processed windows are expected at 50 Hz.,0,,,,,,not available,not available,,
weda,processed_window,100,50.0,WEDA processed windows are expected at 50 Hz.,0,,,,,,not available,not available,,
weda,raw_timestamp,not applicable,50.0,WEDA processed windows are expected at 50 Hz.,1,49.49829316230475,499.99999999983305,345.87730853156273,0.0009999999999976694,0.117,0,258,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\50Hz\D01\U01_R01_accel.csv,
weda,raw_timestamp,not applicable,50.0,WEDA processed windows are expected at 50 Hz.,1,49.46236559139785,499.99999999983305,338.2398751437223,0.0009999999999976694,0.125,0,365,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\50Hz\D01\U02_R01_accel.csv,
weda,raw_timestamp,not applicable,50.0,WEDA processed windows are expected at 50 Hz.,1,49.5705986360192,499.99999999983305,344.3995590616837,0.0009999999999994458,0.12300000000000111,0,205,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\50Hz\D01\U03_R01_accel.csv,
weda,raw_timestamp,not applicable,50.0,WEDA processed windows are expected at 50 Hz.,1,49.512946045525666,499.99999999983305,343.64778194588314,0.0009999999999976694,0.1280000000000001,0,259,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\50Hz\D01\U04_R01_accel.csv,
weda,raw_timestamp,not applicable,50.0,WEDA processed windows are expected at 50 Hz.,1,49.57409660864504,499.99999999983305,342.4825118230601,0.0009999999999976694,0.12299999999999756,0,247,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\50Hz\D01\U05_R01_accel.csv,
weda,raw_timestamp,not applicable,50.0,WEDA processed windows are expected at 50 Hz.,1,49.71629289381248,499.99999999983305,338.7830460901822,0.0009999999999994458,0.13400000000000034,0,201,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\50Hz\D01\U06_R01_accel.csv,
weda,raw_timestamp,not applicable,50.0,WEDA processed windows are expected at 50 Hz.,1,49.51014695591322,499.99999999983305,337.9858043678692,0.0009999999999976694,0.17999999999999972,0,228,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\50Hz\D01\U07_R01_accel.csv,
weda,raw_timestamp,not applicable,50.0,WEDA processed windows are expected at 50 Hz.,1,49.486864392706494,499.99999999994407,340.92449160189415,0.0009999999999976694,0.14100000000000001,0,395,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\50Hz\D01\U08_R01_accel.csv,
weda,raw_timestamp,not applicable,50.0,WEDA processed windows are expected at 50 Hz.,1,49.52816012502254,499.99999999983305,335.5445878749649,0.0009999999999976694,0.11599999999999999,0,219,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\50Hz\D01\U09_R01_accel.csv,
weda,raw_timestamp,not applicable,50.0,WEDA processed windows are expected at 50 Hz.,1,49.525183315302314,499.99999999983305,339.8468872701501,0.0009999999999976694,0.14000000000000057,0,211,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\50Hz\D01\U10_R01_accel.csv,
weda,raw_timestamp,not applicable,50.0,WEDA processed windows are expected at 50 Hz.,1,49.48888528314133,499.99999999983305,340.0563036586833,0.0009999999999976694,0.12100000000000044,0,316,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\50Hz\D01\U11_R01_accel.csv,
weda,raw_timestamp,not applicable,50.0,WEDA processed windows are expected at 50 Hz.,1,49.55961614302616,499.99999999983305,342.57814163673544,0.0009999999999994458,0.123,0,195,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\50Hz\D01\U12_R01_accel.csv,
weda,raw_timestamp,not applicable,50.0,WEDA processed windows are expected at 50 Hz.,1,49.80635166537568,499.99999999994407,332.7569778919523,0.0009999999999994458,0.13000000000000078,0,173,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\50Hz\D01\U13_R01_accel.csv,
weda,raw_timestamp,not applicable,50.0,WEDA processed windows are expected at 50 Hz.,1,49.441246190314935,499.99999999983305,339.69427070606986,0.0009999999999976694,0.19099999999999895,0,229,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\50Hz\D01\U14_R01_accel.csv,
weda,raw_timestamp,not applicable,50.0,WEDA processed windows are expected at 50 Hz.,1,49.562812276945046,499.99999999983305,344.87310031995736,0.0009999999999976694,0.133,0,284,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\50Hz\D01\U21_R01_accel.csv,
weda,raw_timestamp,not applicable,50.0,WEDA processed windows are expected at 50 Hz.,1,49.5892163132779,499.99999999983305,342.5986237510538,0.0009999999999976694,0.125,0,265,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\50Hz\D01\U22_R01_accel.csv,
weda,raw_timestamp,not applicable,50.0,WEDA processed windows are expected at 50 Hz.,1,49.55578631591093,499.99999999983305,337.81244744891563,0.0009999999999976694,0.121,0,227,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\50Hz\D01\U23_R01_accel.csv,
weda,raw_timestamp,not applicable,50.0,WEDA processed windows are expected at 50 Hz.,1,49.55485995365665,499.99999999983305,340.6473183875154,0.0009999999999976694,0.15500000000000114,0,334,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\50Hz\D01\U24_R01_accel.csv,
weda,raw_timestamp,not applicable,50.0,WEDA processed windows are expected at 50 Hz.,1,49.56622936944562,499.99999999983305,337.0599377611696,0.0009999999999976694,0.14400000000000013,0,247,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\50Hz\D01\U25_R01_accel.csv,
weda,raw_timestamp,not applicable,50.0,WEDA processed windows are expected at 50 Hz.,1,49.50384658267365,499.99999999983305,334.47605389924433,0.0009999999999976694,0.17600000000000016,0,247,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\50Hz\D01\U26_R01_accel.csv,
weda,raw_timestamp,not applicable,50.0,WEDA processed windows are expected at 50 Hz.,1,49.591934709553534,499.99999999983305,338.65159258920124,0.0009999999999976694,0.1429999999999998,0,277,C:\Users\ADMIN\Desktop\ds-fall\data\raw\WEDA-FALL-main\dataset\50Hz\D01\U27_R01_accel.csv,
