max_acc_mag,max_gyro_mag,max_jerk,pre_roll,post_roll,pre_pitch,post_pitch,delta_roll_window,delta_pitch_window
12.944882,6.3945293,69.08226,0.019369114,-0.8892747,0.066937536,0.9703908,-0.90864384,0.90345323
12.414104,2.2113345,63.35845,-1.0256184,-0.9159505,1.0105886,1.1419361,0.10966796,0.13134742
14.831386,2.5495098,78.82014,-0.81698704,-0.84839743,0.8795193,0.8570383,-0.031410396,-0.022480965
14.831386,2.9832869,107.99799,-0.7251924,-1.1438968,1.0949067,1.0496123,-0.4187044,-0.045294404
14.790199,2.9832869,107.99799,-0.7511231,-0.9290924,0.94530666,0.98398846,-0.17796934,0.038681805
16.758879,5.189412,84.765724,0.1484507,-1.077306,-0.013478568,1.15172,-1.2257568,1.1651986
16.758879,5.189412,84.765724,-0.041637402,-1.1601222,0.5606239,1.2092927,-1.1184847,0.64866877
13.179151,2.5317976,92.388916,-0.76447093,-1.0251031,1.2978446,1.2059304,-0.26063216,-0.091914296
13.567609,1.8547237,92.388916,-1.1779323,-1.034189,1.2364771,1.2027581,0.14374328,-0.033719063
13.844132,4.104875,135.50381,-1.2895256,-1.1412897,1.1299974,1.0386883,0.14823592,-0.09130907
12.506798,4.705316,110.0627,-0.25443682,-1.6238775,0.33009243,1.1786368,-1.3694407,0.84854436
13.124405,4.9457054,110.0627,-1.4856436,-1.4876935,1.0746918,1.2065469,-0.002049923,0.13185513
13.256696,4.9457054,155.55916,-1.7919506,-1.5156521,1.1161724,1.214186,0.27629852,0.09801352
14.841496,4.4328322,155.55916,-1.8180593,-1.677689,1.1838282,0.919737,0.14037037,-0.26409125
22.934906,5.1439285,533.2309,-1.5581018,-1.7766373,1.1869371,1.1969868,-0.21853554,0.010049701
28.830019,9.172786,654.9738,0.0624518,-0.7979207,-0.14930198,1.3041301,-0.8603725,1.4534321
28.830019,9.172786,654.9738,-0.6084062,-1.3778476,0.92582214,1.3521137,-0.76944137,0.42629158
13.779332,3.6619666,103.88704,-1.3067122,-0.6786178,1.3977685,1.4121004,0.6280944,0.014331937
21.155142,11.521719,545.3608,-1.0057323,-0.8283394,1.335283,1.3245562,0.1773929,-0.0107268095
21.155142,11.521719,545.3608,-0.1699874,-1.2313083,1.4437706,1.3819311,-1.0613209,-0.06183958
19.718266,8.221922,163.27083,0.2564953,-1.2375487,0.14611675,1.134133,-1.4940441,0.98801625
11.333578,2.4351592,28.057003,-1.181036,-1.1986372,1.2168896,1.0285108,-0.017601252,-0.18837881
13.934131,2.6551836,115.61923,-1.269766,-1.2345159,1.1704398,1.1739984,0.035250068,0.0035585165
14.624638,4.33359,115.61923,-1.3057806,-1.4137526,1.1025207,1.1646842,-0.10797191,0.062163472
14.735671,4.33359,111.62505,-1.2318113,-1.3231156,1.1055042,1.1364721,-0.0913043,0.03096795
13.103053,4.0037484,68.29796,-0.07097103,-0.40554923,0.50117344,1.18697,-0.33457822,0.68579656
14.150971,4.029888,70.87665,-0.8300408,-0.7789044,1.1018326,1.2843529,0.051136434,0.18252027
14.171098,5.166237,87.482025,-0.7988794,-0.33414647,1.3197453,1.299938,0.46473292,-0.019807339
14.5924635,5.166237,132.6346,-0.6474287,-0.42146897,1.2295556,1.325636,0.22595972,0.09608042
17.457376,4.173727,164.58664,-1.0120842,-1.037984,1.1945494,1.3873348,-0.025899768,0.19278538
15.104304,4.9618545,76.485634,-0.07201616,-0.783984,0.38185117,1.2828501,-0.7119678,0.90099895
18.95943,3.1272993,170.7161,-0.8583304,-0.73440295,1.1110444,1.1893144,0.123927474,0.07826996
18.95943,3.1272993,170.7161,-0.8348225,-0.849919,1.1890104,1.1069932,-0.015096545,-0.08201718
14.80304,2.9983327,139.49352,-0.9995009,-0.7889675,1.2977679,1.1844027,0.21053338,-0.11336517
15.916657,3.1416557,139.49352,-0.8335336,-0.926132,1.2528386,1.2706946,-0.09259844,0.017856002
16.38841,10.868762,168.68243,0.6168202,-1.6102066,-0.082467124,1.2355875,-2.227027,1.3180546
16.1722,8.490582,132.78409,-1.6999134,-1.2874792,0.9496225,1.2503258,0.41243422,0.3007033
13.132023,2.4186773,106.13155,-1.3896348,-1.3510611,1.2085412,1.217551,0.038573742,0.009009838
15.871987,4.0718546,140.11522,-1.4041173,-1.5923622,1.2524488,1.2733285,-0.18824482,0.020879745
15.871987,4.0718546,140.11522,-1.2804543,-1.3856738,1.1739161,1.1957003,-0.10521948,0.021784186
14.51792,5.993329,173.03224,0.024028478,-1.3032222,-0.055784963,1.3444364,-1.3272506,1.4002213
14.455794,4.3737855,93.149666,-1.4707664,-1.3383507,1.2062184,1.2777815,0.13241577,0.071563125
15.288231,3.2124755,124.51559,-1.4630067,-1.3051655,1.3264637,1.2603396,0.1578412,-0.06612408
18.738731,5.2048054,203.05257,-1.5045489,-1.6391449,1.3210628,1.2943246,-0.13459599,-0.026738167
18.738731,5.2048054,203.05257,-1.3963792,-2.0798864,1.2850088,1.2547532,-0.6835072,-0.030255556
13.870111,6.92026,141.75566,0.06462981,-1.291982,0.08115149,1.1780655,-1.3566118,1.096914
13.870111,3.258834,63.174248,-1.6344826,-1.7426898,0.9939763,1.1952131,-0.108207226,0.20123678
12.894184,1.5652477,69.98181,-1.2757404,-1.5254058,1.1959919,1.2478359,-0.24966538,0.051844
12.894184,2.3021727,86.740166,-1.4509957,-1.3938661,1.2656434,1.1538942,0.05712962,-0.11174917
13.377967,2.3021727,102.21343,-1.7966572,-1.5541952,1.1894387,1.0862789,0.24246204,-0.103159785
19.213017,4.859012,255.06592,-0.2702651,-1.7884777,0.39830574,1.1881559,-1.5182126,0.7898501
19.213017,4.859012,255.06592,-1.5617032,-1.5737057,0.37669855,1.185349,-0.012002468,0.80865043
13.397388,4.268489,114.16702,-1.3187331,-1.3135474,1.2176336,1.2548656,0.0051857233,0.03723204
12.060266,1.8193405,64.01458,-1.7986857,-1.7212536,1.247902,1.2489018,0.07743204,0.0009998083
13.352154,4.0459857,91.73437,-1.4471483,-1.681716,1.2481982,1.2220023,-0.23456764,-0.026195884
14.209152,3.758989,116.84151,0.16146572,-0.40979496,0.024496984,-0.9456585,-0.5712607,-0.9701555
14.735671,6.567343,110.9529,-0.5182229,-0.91847104,-0.15342446,-1.1722684,-0.4002481,-1.0188439
14.735671,6.567343,213.05368,-0.080480315,-0.8558639,-1.0106157,-1.1651273,-0.7753836,-0.15451157
15.237126,4.851804,213.05368,-1.3002858,-0.8507222,-1.1647797,-1.2263414,0.44956362,-0.061561704
16.085087,2.641969,120.4207,-1.1129986,-0.8230046,-1.1983917,-1.271694,0.289994,-0.07330227
17.433876,9.055386,139.70842,0.5217649,-0.48698863,-0.13862398,1.0511138,-1.0087535,1.1897378
17.433876,7.603946,139.70842,-0.9856221,-0.84576213,0.90541744,1.0617738,0.13985997,0.15635633
16.490602,2.7622457,133.44987,-0.76140344,-0.6324451,0.98286235,1.1579578,0.12895834,0.17509544
15.225308,3.226453,105.66559,-0.63511616,-0.6032897,1.0429281,1.1562712,0.031826437,0.11334312
15.573696,4.5265884,140.22961,-0.62157285,-0.6426145,0.9596237,1.0693377,-0.021041632,0.10971403
15.458331,7.389858,173.56291,0.38654017,-0.8214811,0.19211991,1.2159503,-1.2080213,1.0238303
15.458331,3.5860841,116.82906,-1.0675919,-1.2995766,0.85467273,1.0041349,-0.23198473,0.14946216
13.614698,2.6645825,59.564545,-0.90843785,-0.99064094,1.2342055,1.2270124,-0.08220309,-0.0071930885
13.614698,2.7092435,82.690956,-0.9009181,-0.78915143,1.1611156,1.1788849,0.111766696,0.017769217
13.191664,2.7604346,88.370895,-1.3097699,-0.84766185,1.2586765,1.2752172,0.46210802,0.016540647
10.664427,0.70710677,74.66378,-1.2773616,-1.3390384,1.1628491,1.1754698,-0.06167674,0.0126206875
10.5057125,0.9433982,13.882065,-1.3337733,-1.4237351,1.1707509,1.1804068,-0.08996189,0.009655952
10.549408,0.9433982,28.139067,-1.3528166,-1.115931,1.180865,1.2151468,0.23688555,0.03428173
11.787281,1.17047,31.790829,-1.2702764,-1.5917513,1.1941161,1.2270664,-0.3214749,0.032950282
12.013742,1.17047,34.05142,-1.1848056,-1.2183701,1.1889738,1.2099131,-0.03356445,0.02093935
11.135978,2.109502,80.22256,-1.585214,-1.1262075,1.3909514,1.3394461,0.45900655,-0.051505327
12.747156,2.109502,80.02038,-1.4737637,-0.88239163,1.388152,1.379006,0.5913721,-0.009145975
14.453028,2.2759614,115.39593,-0.80665016,-0.73157585,1.430631,1.4011474,0.075074315,-0.029483676
14.453028,2.2759614,115.39593,-1.4658377,-0.9495975,1.2641169,1.3053278,0.51624024,0.04121089
13.1578865,2.634388,86.545235,-1.621426,-1.1421367,1.2055745,1.3155441,0.4792893,0.109969616
13.039172,2.5377154,181.99957,0.25861043,0.10405193,0.05713281,0.52738535,-0.1545585,0.47025254
16.690416,2.6191602,201.33911,0.1874234,0.095853575,0.3594753,0.3004145,-0.09156982,-0.059060812
17.569576,5.2744665,238.30672,-0.06856336,-0.18172133,0.75110453,0.8880003,-0.11315797,0.13689578
17.569576,5.2744665,238.30672,0.076570906,-0.46085554,0.2710745,1.2470963,-0.5374265,0.97602177
14.914758,2.8089144,101.43633,-0.20328012,-0.4426418,1.2838495,1.2247517,-0.23936167,-0.059097767
10.591034,0.46904162,78.77335,-0.8916103,-0.9207245,1.162917,1.1931833,-0.029114187,0.030266285
10.016486,0.14142138,6.1344147,-0.9282924,-0.91504514,1.1931645,1.1851264,0.0132472515,-0.008038044
11.872658,0.591608,40.01751,-0.92050016,-1.0804312,1.1897986,1.1938579,-0.15993106,0.0040593147
14.095744,1.3928387,100.03672,-0.9150437,-0.84035075,1.1613328,1.1934506,0.074692965,0.032117724
14.095744,1.7972201,100.03672,-0.80132085,-0.7008773,1.1927557,1.1314801,0.10044354,-0.0612756
11.385077,0.94868326,87.40225,-1.0020545,-0.8362707,1.1022222,1.1927159,0.16578376,0.09049368
11.385077,0.66332495,56.204796,-0.88369596,-0.93325365,1.1593983,1.187976,-0.049557686,0.028577685
11.503913,0.6480741,61.105396,-1.0797604,-1.0693153,1.1434753,1.1868362,0.010445118,0.04336095
11.503913,0.678233,79.113914,-0.7083256,-0.7313654,1.1995072,1.1694515,-0.023039758,-0.030055761
11.433722,0.90000004,79.113914,-0.9210453,-0.93695295,1.1695906,1.0565544,-0.015907645,-0.113036156
10.362915,0.40000004,40.521385,-0.35875842,-0.3810113,0.40859294,0.45673043,-0.022252887,0.048137486
11.339313,3.04959,37.697506,-0.39178,-0.5869503,0.45850626,0.6298275,-0.19517031,0.17132124
16.333096,3.04959,141.50925,-0.37748206,-0.8906847,0.43497258,1.1468368,-0.51320267,0.7118642
16.333096,3.324154,141.50925,-0.8209895,-0.9678977,1.0863757,1.1208961,-0.14690822,0.034520388
15.162454,3.324154,128.09363,-0.620181,-0.7929336,1.1420699,1.058026,-0.17275256,-0.08404398
10.096039,1.9723083,33.13141,0.14687188,0.15044893,0.14301075,0.2143354,0.0035770535,0.07132465
13.192043,5.289613,51.57428,0.11988856,-1.2728095,0.13869119,0.72331405,-1.392698,0.58462286
13.192043,5.289613,66.68167,-0.7085804,-1.5296804,0.37160954,1.1099403,-0.8211,0.7383307
13.086252,2.0273135,76.46513,-1.1081417,-1.3707576,1.1113328,1.0943129,-0.26261592,-0.017019868
13.086252,2.1118712,76.46513,-1.3856018,-1.4056607,1.1247143,1.1300358,-0.02005899,0.0053215027
10.989995,0.76811457,66.66117,-0.4020868,-0.52476317,0.52842486,0.6143812,-0.12267637,0.085956335
10.439348,2.539685,42.254925,-0.49366608,-1.3452609,0.52614534,0.9926015,-0.8515948,0.46645617
12.753822,2.624881,115.496826,-0.7021855,-1.271556,0.7908841,1.2301781,-0.5693705,0.43929404
13.777155,3.312099,132.42116,-2.037857,-1.3038837,1.158496,1.2332537,0.7339734,0.074757695
13.823893,3.312099,136.5314,-1.6589129,-1.2706612,1.1885507,1.2869366,0.38825166,0.09838593
10.5948105,0.8660254,53.515198,-0.807738,-0.84928834,0.671822,0.76699567,-0.04155034,0.09517366
13.525162,2.3895605,64.977646,-0.8167943,-1.4114234,0.73101413,1.0282022,-0.59462917,0.29718804
13.544003,2.3895605,75.06809,-1.135587,-1.5077701,0.95468235,1.0133216,-0.37218308,0.058639288
14.773287,2.4677925,127.09179,-1.8356844,-1.5955008,1.1031606,1.0647492,0.24018359,-0.03841138
16.40183,2.879236,149.7152,-1.3375871,-1.6844527,1.0441335,1.0510323,-0.34686553,0.006898761
13.048755,4.6658335,74.37577,0.2198436,-0.4595098,0.67785513,0.92448187,-0.67935336,0.24662673
14.266745,4.6658335,74.16358,0.22583108,-1.7109979,0.6663055,1.2722465,-1.936829,0.605941
14.628056,3.2140315,102.45848,-1.3776674,-1.5116466,1.2448758,1.243652,-0.1339792,-0.0012238026
