transform,classifier,n_supervised,n_train,n_test,accuracy,macro_f1,warning
identity,logistic_regression,208,145,63,0.5396825396825397,0.539136302294197,
identity,random_forest,208,145,63,0.7777777777777778,0.7744051744051744,
flip_x,logistic_regression,208,145,63,0.5396825396825397,0.539136302294197,
flip_x,random_forest,208,145,63,0.8095238095238095,0.8076923076923076,
flip_y,logistic_regression,208,145,63,0.5396825396825397,0.539136302294197,
flip_y,random_forest,208,145,63,0.7301587301587301,0.7289285484774206,
flip_z,logistic_regression,208,145,63,0.5555555555555556,0.5535441101478837,
flip_z,random_forest,208,145,63,0.7619047619047619,0.762156755773777,
swap_xy,logistic_regression,208,145,63,0.5555555555555556,0.5586417186417186,
swap_xy,random_forest,208,145,63,0.7619047619047619,0.7630591630591631,
swap_xz,logistic_regression,208,145,63,0.6349206349206349,0.6314093314093314,
swap_xz,random_forest,208,145,63,0.6984126984126984,0.6997053356906479,
swap_yz,logistic_regression,208,145,63,0.5714285714285714,0.5706860706860707,
swap_yz,random_forest,208,145,63,0.7619047619047619,0.7600778503034142,
swap_xy_flip_x,logistic_regression,208,145,63,0.5555555555555556,0.5586417186417186,
swap_xy_flip_x,random_forest,208,145,63,0.7301587301587301,0.7300236406619386,
swap_xy_flip_y,logistic_regression,208,145,63,0.5555555555555556,0.5586417186417186,
swap_xy_flip_y,random_forest,208,145,63,0.7301587301587301,0.7318840579710145,
swap_xz_flip_x,logistic_regression,208,145,63,0.6349206349206349,0.6314093314093314,
swap_xz_flip_x,random_forest,208,145,63,0.6666666666666666,0.6693545457847517,
swap_yz_flip_y,logistic_regression,208,145,63,0.5714285714285714,0.5706860706860707,
swap_yz_flip_y,random_forest,208,145,63,0.7936507936507936,0.7912271521294078,
