run_id,group_id,config_id,feature_set,width_multiplier,shared_dense,head_dense,sampler,fall_loss,alpha_fall,lambda_dir,fall_gamma,direction_loss,adapter_type,adapter_filters,impact_position,learning_rate,notes,seed,train_dataset,test_dataset,sampling_rate,window_seconds,input_shape,n_train,n_val,n_test,params,model_size_float32_kb,model_size_int8_kb,fall_threshold,val_best_fall_f1,fall_precision,fall_recall,fall_f1,fall_accuracy,direction_macro_f1,direction_accuracy,direction_n_supervised,bits_fall_f1,bits_fall_precision,bits_fall_recall,bits_direction_macro_f1,bits_direction_accuracy,bits_direction_n_supervised,weda_fall_f1,weda_fall_precision,weda_fall_recall,weda_direction_macro_f1,weda_direction_accuracy,weda_direction_n_supervised,best_epoch,best_val_loss,best_monitor,train_seconds,sampler_note,mixed_forward_f1,mixed_backward_f1,mixed_lateral_f1,bits_forward_f1,bits_backward_f1,bits_lateral_f1,weda_forward_f1,weda_backward_f1,weda_lateral_f1,selection_score,passes_hard_filter
L1_FALL_WCE,loss,L1,tilt12,1.0,0,32,current,weighted_ce,1.0,1.0,2.0,ce,none,0,0.5,0.001,,42,bits+weda,bits+weda,25.0,2.0,"(50, 12)",3999,748,708,65959,257.65234375,64.4130859375,0.5799999999999997,0.8951048951048951,0.782051282051282,0.8356164383561644,0.8079470198675497,0.9590395480225988,0.7508448540706606,0.7704918032786885,61,0.8539325842696629,0.926829268292683,0.7916666666666666,0.8280701754385965,0.8611111111111112,36,0.7419354838709677,0.6216216216216216,0.92,0.6388888888888888,0.64,25,22,0.4053372144699096,1.6584766584766584,99.6098880000004,current shuffle,0.8571428571428571,0.7096774193548387,0.6857142857142857,0.9473684210526316,0.8,0.7368421052631579,0.6666666666666666,0.625,0.625,0.7469542260839377,False
L2_FALL_WCE,loss,L2,tilt12,1.0,0,32,current,weighted_ce,1.5,1.0,2.0,ce,none,0,0.5,0.001,,42,bits+weda,bits+weda,25.0,2.0,"(50, 12)",3999,748,708,65959,257.65234375,64.4130859375,0.7999999999999996,0.87248322147651,0.8378378378378378,0.8493150684931506,0.8435374149659864,0.9675141242937854,0.7349310094408134,0.7540983606557377,61,0.896551724137931,1.0,0.8125,0.8019203413940256,0.8333333333333334,36,0.7666666666666667,0.6571428571428571,0.92,0.6352941176470588,0.64,25,29,0.4331942796707153,1.6098672607444535,97.23155529999984,current shuffle,0.8518518518518519,0.7058823529411765,0.6470588235294118,0.918918918918919,0.75,0.7368421052631579,0.7058823529411765,0.6666666666666666,0.5333333333333333,0.7596280760069034,False
L5_FALL_WCE,loss,L5,tilt12,1.0,0,32,current,weighted_ce,2.0,0.75,2.0,ce,none,0,0.5,0.001,,42,bits+weda,bits+weda,25.0,2.0,"(50, 12)",3999,748,708,65959,257.65234375,64.4130859375,0.6699999999999997,0.8289473684210527,0.810126582278481,0.8767123287671232,0.8421052631578947,0.9661016949152542,0.6302921690018465,0.6557377049180327,61,0.9130434782608696,0.9545454545454546,0.875,0.6262626262626263,0.6666666666666666,36,0.7333333333333333,0.6285714285714286,0.88,0.638095238095238,0.64,25,20,0.6593232750892639,1.512553303347158,95.66963169999964,current shuffle,0.7636363636363637,0.5161290322580645,0.6111111111111112,0.8,0.5333333333333333,0.5454545454545454,0.7,0.5,0.7142857142857143,0.7263591379244292,False
FL1_FALL_FOCAL,loss,FL1,tilt12,1.0,0,32,current,focal,1.0,1.0,1.0,ce,none,0,0.5,0.001,,42,bits+weda,bits+weda,25.0,2.0,"(50, 12)",3999,748,708,65959,257.65234375,64.4130859375,0.5499999999999998,0.8592592592592593,0.8405797101449275,0.7945205479452054,0.8169014084507042,0.963276836158192,0.6949348292360997,0.7049180327868853,61,0.8705882352941177,1.0,0.7708333333333334,0.8174258174258174,0.8333333333333334,36,0.7368421052631579,0.65625,0.84,0.5231481481481481,0.52,25,12,0.2650712728500366,1.662148376536866,68.04984490000061,current shuffle,0.7272727272727273,0.6206896551724138,0.7368421052631579,0.8648648648648649,0.7692307692307693,0.8181818181818182,0.4444444444444444,0.5,0.625,0.71169434465679,False
FL2_FALL_FOCAL,loss,FL2,tilt12,1.0,0,32,current,focal,1.0,1.0,2.0,ce,none,0,0.5,0.001,,42,bits+weda,bits+weda,25.0,2.0,"(50, 12)",3999,748,708,65959,257.65234375,64.4130859375,0.7699999999999997,0.8,0.8157894736842105,0.8493150684931506,0.8322147651006712,0.9646892655367232,0.6646489104116223,0.6885245901639344,61,0.8863636363636364,0.975,0.8125,0.7568197568197568,0.7777777777777778,36,0.7540983606557377,0.6388888888888888,0.92,0.5437451437451437,0.56,25,15,0.1430764496326446,1.607960362431907,76.5628742000008,current shuffle,0.7796610169491526,0.6428571428571429,0.5714285714285714,0.8648648648648649,0.7692307692307693,0.6363636363636364,0.6363636363636364,0.5333333333333333,0.4615384615384615,0.7173167865132681,False
FL3_FALL_FOCAL,loss,FL3,tilt12,1.0,0,32,current,focal,1.0,1.0,1.0,weighted_ce,none,0,0.5,0.001,,42,bits+weda,bits+weda,25.0,2.0,"(50, 12)",3999,748,708,65959,257.65234375,64.4130859375,0.5899999999999997,0.8611111111111112,0.8493150684931506,0.8493150684931506,0.8493150684931506,0.9689265536723164,0.7151157452947735,0.7540983606557377,61,0.9213483146067416,1.0,0.8541666666666666,0.8394383394383395,0.8611111111111112,36,0.7368421052631579,0.65625,0.84,0.5571095571095571,0.6,25,12,0.2118899971246719,1.5768198629582508,68.7299850999998,current shuffle,0.8307692307692308,0.6086956521739131,0.7058823529411765,0.9230769230769232,0.8333333333333334,0.7619047619047619,0.6923076923076923,0.3636363636363636,0.6153846153846154,0.7343872333648785,False
FL4_FALL_FOCAL,loss,FL4,tilt12,1.0,0,32,current,focal,1.0,1.0,2.0,weighted_ce,none,0,0.5,0.001,,42,bits+weda,bits+weda,25.0,2.0,"(50, 12)",3999,748,708,65959,257.65234375,64.4130859375,0.5299999999999998,0.8366013071895425,0.7875,0.863013698630137,0.8235294117647058,0.961864406779661,0.7090721456046533,0.7213114754098361,61,0.8888888888888888,0.9523809523809524,0.8333333333333334,0.8513457556935817,0.8611111111111112,36,0.7301587301587301,0.6052631578947368,0.92,0.5292397660818713,0.52,25,14,0.1357542276382446,1.5851039528446798,74.29940760000045,current shuffle,0.7843137254901961,0.6060606060606061,0.7368421052631579,0.9142857142857144,0.8571428571428571,0.782608695652174,0.5,0.4210526315789473,0.6666666666666666,0.7178498831749606,False
S1_DATASET_BALANCED,sampler,S1,tilt12,1.0,0,32,dataset_balanced,weighted_ce,1.0,1.0,2.0,weighted_ce,none,0,0.5,0.001,,42,bits+weda,bits+weda,25.0,2.0,"(50, 12)",3999,748,708,65959,257.65234375,64.4130859375,0.8999999999999996,0.8076923076923077,0.7831325301204819,0.8904109589041096,0.8333333333333334,0.963276836158192,0.8492490696438063,0.8688524590163934,61,0.9247311827956988,0.9555555555555556,0.8958333333333334,0.8576576576576578,0.8888888888888888,36,0.6984126984126984,0.5789473684210527,0.88,0.8309200603318251,0.84,25,16,0.4946982264518738,1.5528269757504196,150.81317820000004,dataset_balanced static oversample n=9100,0.9473684210526316,0.8125,0.7878787878787878,0.972972972972973,0.8,0.8,0.9,0.8235294117647058,0.7692307692307693,0.8100630997538143,False
S2_DATASET_BALANCED,sampler,S2,tilt12,1.0,0,32,dataset_balanced,weighted_ce,1.5,1.0,2.0,weighted_ce,none,0,0.5,0.001,,42,bits+weda,bits+weda,25.0,2.0,"(50, 12)",3999,748,708,65959,257.65234375,64.4130859375,0.8699999999999996,0.7950310559006211,0.8289473684210527,0.863013698630137,0.8456375838926175,0.9675141242937854,0.75650623885918,0.7704918032786885,61,0.9333333333333332,1.0,0.875,0.8354438354438355,0.8611111111111112,36,0.711864406779661,0.6176470588235294,0.84,0.6262626262626262,0.64,25,23,0.6395927667617798,1.5506644551391906,263.32667089999995,dataset_balanced static oversample n=9100,0.8363636363636363,0.7058823529411765,0.7272727272727273,0.918918918918919,0.7692307692307693,0.8181818181818182,0.6666666666666666,0.6666666666666666,0.5454545454545454,0.7525021653904803,False
S4_DATASET_BALANCED,sampler,S4,tilt12,1.0,0,32,dataset_balanced,focal,1.0,1.0,1.0,weighted_ce,none,0,0.5,0.001,,42,bits+weda,bits+weda,25.0,2.0,"(50, 12)",3999,748,708,65959,257.65234375,64.4130859375,0.7299999999999996,0.8,0.7682926829268293,0.863013698630137,0.8129032258064516,0.9590395480225988,0.8006493506493507,0.819672131147541,61,0.8571428571428571,0.9069767441860463,0.8125,0.7668326220957798,0.8055555555555556,36,0.75,0.6153846153846154,0.96,0.8379629629629629,0.84,25,15,0.3283182680606842,1.5028714821167652,143.93392959999983,dataset_balanced static oversample n=9100,0.9090909090909092,0.75,0.7428571428571429,0.918918918918919,0.75,0.631578947368421,0.8888888888888888,0.75,0.875,0.802616681407004,False
