run_id,seed,eval,dataset,forward_f1,backward_f1,lateral_f1,confusion_matrix
L1_FALL_WCE,42,E6,bits,0.9473684210526316,0.8,0.7368421052631579,
L1_FALL_WCE,42,E7,weda,0.6666666666666666,0.625,0.625,
L2_FALL_WCE,42,E6,bits,0.918918918918919,0.75,0.7368421052631579,
L2_FALL_WCE,42,E7,weda,0.7058823529411765,0.6666666666666666,0.5333333333333333,
L5_FALL_WCE,42,E6,bits,0.8,0.5333333333333333,0.5454545454545454,
L5_FALL_WCE,42,E7,weda,0.7,0.5,0.7142857142857143,
FL1_FALL_FOCAL,42,E6,bits,0.8648648648648649,0.7692307692307693,0.8181818181818182,
FL1_FALL_FOCAL,42,E7,weda,0.4444444444444444,0.5,0.625,
FL2_FALL_FOCAL,42,E6,bits,0.8648648648648649,0.7692307692307693,0.6363636363636364,
FL2_FALL_FOCAL,42,E7,weda,0.6363636363636364,0.5333333333333333,0.4615384615384615,
FL3_FALL_FOCAL,42,E6,bits,0.9230769230769232,0.8333333333333334,0.7619047619047619,
FL3_FALL_FOCAL,42,E7,weda,0.6923076923076923,0.3636363636363636,0.6153846153846154,
FL4_FALL_FOCAL,42,E6,bits,0.9142857142857144,0.8571428571428571,0.782608695652174,
FL4_FALL_FOCAL,42,E7,weda,0.5,0.4210526315789473,0.6666666666666666,
S1_DATASET_BALANCED,42,E6,bits,0.972972972972973,0.8,0.8,
S1_DATASET_BALANCED,42,E7,weda,0.9,0.8235294117647058,0.7692307692307693,
S2_DATASET_BALANCED,42,E6,bits,0.918918918918919,0.7692307692307693,0.8181818181818182,
S2_DATASET_BALANCED,42,E7,weda,0.6666666666666666,0.6666666666666666,0.5454545454545454,
S4_DATASET_BALANCED,42,E6,bits,0.918918918918919,0.75,0.631578947368421,
S4_DATASET_BALANCED,42,E7,weda,0.8888888888888888,0.75,0.875,
FA0_RAW6,42,E6,bits,0.8717948717948718,0.8,0.782608695652174,
FA0_RAW6,42,E7,weda,0.625,0.5555555555555556,0.625,
FA1_FA1_ACC_MAG7,42,E6,bits,0.8648648648648649,0.25,0.7407407407407407,
FA1_FA1_ACC_MAG7,42,E7,weda,0.6666666666666666,0.7058823529411765,0.4,
FA2_FA2_MAG8,42,E6,bits,0.8717948717948718,0.4,0.782608695652174,
FA2_FA2_MAG8,42,E7,weda,0.5714285714285714,0.75,0.4615384615384615,
FA3_MAG_JERK9,42,E6,bits,0.918918918918919,0.4705882352941176,0.5555555555555556,
FA3_MAG_JERK9,42,E7,weda,0.6666666666666666,0.6666666666666666,0.5454545454545454,
FA4_FA4_ROLL_PITCH8,42,E6,bits,0.8095238095238095,0.6153846153846154,0.4705882352941176,
FA4_FA4_ROLL_PITCH8,42,E7,weda,0.7272727272727273,0.5882352941176471,0.3636363636363636,
FA5_FA5_TILT9,42,E6,bits,0.8205128205128205,1.0,0.6666666666666666,
FA5_FA5_TILT9,42,E7,weda,0.8,0.5,0.5714285714285714,
FA6_FA6_NO_JERK11,42,E6,bits,0.918918918918919,0.75,0.631578947368421,
FA6_FA6_NO_JERK11,42,E7,weda,0.7,0.7777777777777778,0.6666666666666666,
FA7_FA7_NO_GYRO_MAG11,42,E6,bits,0.8571428571428571,0.6666666666666666,0.7272727272727273,
FA7_FA7_NO_GYRO_MAG11,42,E7,weda,0.6086956521739131,0.5714285714285714,0.6153846153846154,
FA8_TILT12,42,E6,bits,0.8421052631578947,0.7272727272727273,0.782608695652174,
FA8_TILT12,42,E7,weda,0.75,0.6956521739130435,0.7272727272727273,
W050_WIDTH,42,E6,bits,0.8333333333333334,0.5263157894736842,0.5882352941176471,
W050_WIDTH,42,E7,weda,0.7777777777777778,0.6666666666666666,0.5454545454545454,
W075_WIDTH,42,E6,bits,0.8205128205128205,0.5,0.6666666666666666,
W075_WIDTH,42,E7,weda,0.9,0.5882352941176471,0.6153846153846154,
W100_WIDTH,42,E6,bits,0.8421052631578947,0.7272727272727273,0.782608695652174,
W100_WIDTH,42,E7,weda,0.75,0.6956521739130435,0.7272727272727273,
W125_WIDTH,42,E6,bits,0.7894736842105263,0.8333333333333334,0.6363636363636364,
W125_WIDTH,42,E7,weda,0.4444444444444444,0.5217391304347826,0.4444444444444444,
D48_24_HEAD,42,E6,bits,0.918918918918919,0.6666666666666666,0.6956521739130435,
D48_24_HEAD,42,E7,weda,0.6666666666666666,0.5714285714285714,0.6666666666666666,
D32_16_HEAD,42,E6,bits,0.8888888888888888,0.7142857142857143,0.8181818181818182,
D32_16_HEAD,42,E7,weda,0.8421052631578947,0.5555555555555556,0.4615384615384615,
B0_BASE_A5WCEFW,42,E6,bits,0.918918918918919,0.8333333333333334,0.782608695652174,
B0_BASE_A5WCEFW,42,E7,weda,0.6923076923076923,0.4285714285714285,0.4,
L3_FALL_WCE,42,E6,bits,0.9142857142857144,0.7272727272727273,0.7692307692307693,
L3_FALL_WCE,42,E7,weda,0.8,0.8421052631578947,0.875,
L4_FALL_WCE,42,E6,bits,0.918918918918919,0.8,0.7,
L4_FALL_WCE,42,E7,weda,0.7777777777777778,0.7368421052631579,0.6153846153846154,
S3_DATASET_BALANCED,42,E6,bits,0.972972972972973,0.7692307692307693,0.8181818181818182,
S3_DATASET_BALANCED,42,E7,weda,0.8421052631578947,0.8235294117647058,0.8571428571428571,
S5_DATASET_BALANCED,42,E6,bits,0.918918918918919,0.8,0.7,
S5_DATASET_BALANCED,42,E7,weda,0.8888888888888888,0.75,0.75,
L3_FALL_WCE,7,E6,bits,0.9230769230769232,0.7692307692307693,0.7,
L3_FALL_WCE,7,E7,weda,0.7368421052631579,0.4444444444444444,0.6153846153846154,
L3_FALL_WCE,123,E6,bits,0.9444444444444444,0.8,0.7619047619047619,
L3_FALL_WCE,123,E7,weda,0.8421052631578947,0.8571428571428571,0.6,
