pipeline,experiment_id,train_protocol,test_dataset,direction_source,feature_set,feature_count,direction_macro_f1,direction_accuracy,forward_f1,backward_f1,lateral_f1,direction_n_supervised,cm_00,cm_01,cm_02,cm_10,cm_11,cm_12,cm_20,cm_21,cm_22
A5_reference,E1_BITS_TO_BITS,E1_BITS_TO_BITS,bits,A5_direction_head,temporal_tilt12,12,0.8777348777348778,0.8888888888888888,0.918918918918919,0.8571428571428571,0.8571428571428571,36,17,1,0,0,6,0,2,1,9
A5_reference,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,weda,A5_direction_head,temporal_tilt12,12,0.6071428571428571,0.64,0.75,0.5714285714285714,0.5,25,9,0,0,3,4,2,3,1,3
A5_reference,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,bits+weda,A5_direction_head,temporal_tilt12,12,0.8966626725247414,0.9016393442622951,0.9285714285714286,0.896551724137931,0.8648648648648649,61,26,0,1,1,13,1,2,1,16
A5_reference,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,weda,A5_direction_head,temporal_tilt12,12,0.3876262626262626,0.4,0.3333333333333333,0.375,0.45454545454545453,25,2,2,5,1,3,5,0,2,5
A5_reference,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,bits,A5_direction_head,temporal_tilt12,12,0.6271469828241374,0.6666666666666666,0.7441860465116279,0.6666666666666666,0.47058823529411764,36,16,1,1,2,4,0,7,1,4
A5_reference,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,bits,A5_direction_head,temporal_tilt12,12,0.9350469350469351,0.9444444444444444,0.972972972972973,0.9230769230769231,0.9090909090909091,36,18,0,0,0,6,0,1,1,10
A5_reference,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,weda,A5_direction_head,temporal_tilt12,12,0.8390350877192981,0.84,0.8421052631578947,0.875,0.8,25,8,0,1,1,7,1,1,0,6
Hybrid_NoTiming,E1_BITS_TO_BITS,E1_BITS_TO_BITS,bits,A5_direction_head,temporal_tilt12,12,0.8777348777348778,0.8888888888888888,0.918918918918919,0.8571428571428571,0.8571428571428571,36,17,1,0,0,6,0,2,1,9
Hybrid_NoTiming,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,weda,A5_direction_head,temporal_tilt12,12,0.6071428571428571,0.64,0.75,0.5714285714285714,0.5,25,9,0,0,3,4,2,3,1,3
Hybrid_NoTiming,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,bits+weda,A5_direction_head,temporal_tilt12,12,0.8966626725247414,0.9016393442622951,0.9285714285714286,0.896551724137931,0.8648648648648649,61,26,0,1,1,13,1,2,1,16
Hybrid_NoTiming,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,weda,A5_direction_head,temporal_tilt12,12,0.3876262626262626,0.4,0.3333333333333333,0.375,0.45454545454545453,25,2,2,5,1,3,5,0,2,5
Hybrid_NoTiming,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,bits,A5_direction_head,temporal_tilt12,12,0.6271469828241374,0.6666666666666666,0.7441860465116279,0.6666666666666666,0.47058823529411764,36,16,1,1,2,4,0,7,1,4
Hybrid_NoTiming,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,bits,A5_direction_head,temporal_tilt12,12,0.9350469350469351,0.9444444444444444,0.972972972972973,0.9230769230769231,0.9090909090909091,36,18,0,0,0,6,0,1,1,10
Hybrid_NoTiming,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,weda,A5_direction_head,temporal_tilt12,12,0.8390350877192981,0.84,0.8421052631578947,0.875,0.8,25,8,0,1,1,7,1,1,0,6
EdgeLite_Hybrid,E1_BITS_TO_BITS,E1_BITS_TO_BITS,bits,A5_direction_head,temporal_tilt12,12,0.8777348777348778,0.8888888888888888,0.918918918918919,0.8571428571428571,0.8571428571428571,36,17,1,0,0,6,0,2,1,9
