pipeline,experiment_id,train_protocol,E2E_Direction_Macro_F1,E2E_Direction_Accuracy,coverage,forward_f1,backward_f1,lateral_f1,direction_n_supervised
A5_reference,E1_BITS_TO_BITS,E1_BITS_TO_BITS,0.8042328042328042,0.7777777777777778,0.8333333333333334,0.8888888888888888,0.6666666666666666,0.8571428571428571,36
A5_reference,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,0.47765567765567757,0.44,0.76,0.5714285714285714,0.46153846153846156,0.4,25
A5_reference,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,0.8372183372183373,0.819672131147541,0.9180327868852459,0.9090909090909091,0.7692307692307693,0.8333333333333334,61
A5_reference,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,0.35873015873015873,0.36,0.92,0.3333333333333333,0.26666666666666666,0.47619047619047616,25
A5_reference,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,0.45502645502645506,0.4722222222222222,0.6388888888888888,0.7777777777777778,0.4444444444444444,0.14285714285714285,36
A5_reference,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,0.842953342953343,0.8333333333333334,0.8888888888888888,0.9444444444444444,0.7272727272727273,0.8571428571428571,36
A5_reference,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,0.8140350877192982,0.8,0.96,0.8421052631578947,0.8,0.8,25
Hybrid_NoTiming,E1_BITS_TO_BITS,E1_BITS_TO_BITS,0.7486772486772487,0.75,0.8055555555555556,0.8888888888888888,0.5,0.8571428571428571,36
Hybrid_NoTiming,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,0.5844155844155844,0.56,0.88,0.6363636363636364,0.5714285714285714,0.5454545454545454,25
Hybrid_NoTiming,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,0.7998290598290598,0.7540983606557377,0.8524590163934426,0.8461538461538461,0.72,0.8333333333333334,61
Hybrid_NoTiming,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,0.3515151515151515,0.36,0.96,0.3333333333333333,0.26666666666666666,0.45454545454545453,25
Hybrid_NoTiming,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,0.48690476190476195,0.4722222222222222,0.6944444444444444,0.6857142857142857,0.4,0.375,36
Hybrid_NoTiming,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,0.7798319327731092,0.75,0.8055555555555556,0.8823529411764706,0.6,0.8571428571428571,36
Hybrid_NoTiming,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,0.7925925925925927,0.76,0.92,0.7777777777777778,0.8,0.8,25
EdgeLite_Hybrid,E1_BITS_TO_BITS,E1_BITS_TO_BITS,0.8486772486772486,0.8055555555555556,0.8611111111111112,0.8888888888888888,0.8,0.8571428571428571,36
EdgeLite_Hybrid,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,0.48279352226720645,0.44,0.6,0.7368421052631579,0.46153846153846156,0.25,25
EdgeLite_Hybrid,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,0.8070859538784068,0.7704918032786885,0.8688524590163934,0.8679245283018868,0.72,0.8333333333333334,61
EdgeLite_Hybrid,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,0.3876262626262626,0.4,1.0,0.3333333333333333,0.375,0.45454545454545453,25
EdgeLite_Hybrid,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,0.2793650793650793,0.2777777777777778,0.4166666666666667,0.5714285714285714,0.0,0.26666666666666666,36
EdgeLite_Hybrid,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,0.7798319327731092,0.75,0.8055555555555556,0.8823529411764706,0.6,0.8571428571428571,36
EdgeLite_Hybrid,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,0.8140350877192982,0.8,0.96,0.8421052631578947,0.8,0.8,25
ML_only_separated,E1_BITS_TO_BITS,E1_BITS_TO_BITS,0.6671335200746965,0.7222222222222222,0.8055555555555556,0.8823529411764706,0.2857142857142857,0.8333333333333334,36
ML_only_separated,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,0.7777777777777778,0.72,0.88,0.7,0.8,0.8333333333333334,25
ML_only_separated,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,0.7567295597484277,0.7213114754098361,0.8524590163934426,0.8301886792452831,0.64,0.8,61
ML_only_separated,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,0.3839572192513369,0.4,0.96,0.5882352941176471,0.2,0.36363636363636365,25
ML_only_separated,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,0.5129385964912281,0.5277777777777778,0.6944444444444444,0.8125,0.2,0.5263157894736842,36
ML_only_separated,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,0.6585858585858586,0.6666666666666666,0.8055555555555556,0.8484848484848485,0.4,0.7272727272727273,36
ML_only_separated,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,0.841025641025641,0.8,0.92,0.8,0.8,0.9230769230769231,25
