pipeline,experiment_id,train_protocol,test_dataset,fall_source,feature_set,feature_count,fall_precision,fall_recall,fall_f1,fall_accuracy,AUROC,average_precision,TN,FP,FN,TP,threshold,threshold_note,A5_FP,FP_reduction_vs_A5
A5_reference,E1_BITS_TO_BITS,E1_BITS_TO_BITS,bits,A5_deep_fall_head,temporal_tilt12,12,0.9523809523809523,0.8333333333333334,0.8888888888888888,0.9810606060606061,0.9790798611111111,0.9369262499735564,478,2,8,40,0.5,saved_a5_prediction_threshold,2,0
A5_reference,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,weda,A5_deep_fall_head,temporal_tilt12,12,0.7916666666666666,0.76,0.7755102040816326,0.9388888888888889,0.9716129032258064,0.8778480648384231,150,5,6,19,0.5,saved_a5_prediction_threshold,5,0
A5_reference,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,bits+weda,A5_deep_fall_head,temporal_tilt12,12,0.7613636363636364,0.9178082191780822,0.8322981366459627,0.961864406779661,0.9658073562722468,0.901453702667915,614,21,6,67,0.5,saved_a5_prediction_threshold,21,0
A5_reference,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,weda,A5_deep_fall_head,temporal_tilt12,12,0.34328358208955223,0.92,0.5,0.7444444444444445,0.880774193548387,0.5142627674399248,111,44,2,23,0.5,saved_a5_prediction_threshold,44,0
A5_reference,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,bits,A5_deep_fall_head,temporal_tilt12,12,0.8529411764705882,0.6041666666666666,0.7073170731707317,0.9545454545454546,0.916796875,0.7867541610768137,475,5,19,29,0.5,saved_a5_prediction_threshold,5,0
A5_reference,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,bits,A5_deep_fall_head,temporal_tilt12,12,1.0,0.8958333333333334,0.945054945054945,0.990530303030303,0.961328125,0.933191170041879,480,0,5,43,0.5,saved_a5_prediction_threshold,0,0
A5_reference,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,weda,A5_deep_fall_head,temporal_tilt12,12,0.5333333333333333,0.96,0.6857142857142857,0.8777777777777778,0.9633548387096774,0.8061146676890154,134,21,1,24,0.5,saved_a5_prediction_threshold,21,0
Hybrid_NoTiming,E1_BITS_TO_BITS,E1_BITS_TO_BITS,bits,GradientBoosting_FallNoTiming_Full,FallNoTiming_Full,132,0.9523809523809523,0.8333333333333334,0.8888888888888888,0.9810606060606061,0.9817708333333333,0.9517911254398667,478,2,8,40,0.6235903918421675,best_val_f1_then_precision_with_recall088_tiebreak,2,0
Hybrid_NoTiming,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,weda,GradientBoosting_FallNoTiming_Full,FallNoTiming_Full,132,0.88,0.88,0.88,0.9666666666666667,0.9912258064516128,0.9626091204934958,152,3,3,22,0.7187731120959577,best_val_f1_then_precision_with_recall088_tiebreak,5,2
Hybrid_NoTiming,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,bits+weda,GradientBoosting_FallNoTiming_Full,FallNoTiming_Full,132,0.8985507246376812,0.8493150684931506,0.8732394366197183,0.9745762711864406,0.9833567036997086,0.9355970977588354,628,7,11,62,0.48460387851025294,best_val_f1_then_precision_with_recall088_tiebreak,21,14
