pipeline,experiment_id,train_protocol,test_dataset,fall_source,feature_set,feature_count,fall_precision,fall_recall,fall_f1,fall_accuracy,AUROC,average_precision,TN,FP,FN,TP,threshold,threshold_note,A5_FP,FP_reduction_vs_A5,direction_macro_f1,direction_accuracy,forward_f1,backward_f1,lateral_f1,direction_n_supervised,E2E_Direction_Macro_F1,E2E_Direction_Accuracy,coverage,deep_params,a5_fp32_kb,a5_int8_kb,fall_feature_count,direction_feature_count,fall_tree_count,fall_tree_nodes,fall_tree_leaves,direction_tree_count,direction_tree_nodes,direction_tree_leaves,total_tree_count,total_tree_nodes,estimated_complexity_units,edge_suitability,complexity_notes
A5_reference,E1_BITS_TO_BITS,E1_BITS_TO_BITS,bits,A5_deep_fall_head,temporal_tilt12,12,0.9523809523809523,0.8333333333333334,0.8888888888888888,0.9810606060606061,0.9790798611111111,0.9369262499735564,478,2,8,40,0.5,saved_a5_prediction_threshold,2,0,0.8777348777348778,0.8888888888888888,0.918918918918919,0.8571428571428571,0.8571428571428571,36,0.8042328042328042,0.7777777777777778,0.8333333333333334,65959,257.65234375,64.4130859375,12,12,0,0,0,0,0,0,0,0,65959,medium,Single compact temporal CNN; requires TensorFlow/TFLite for deployment.
A5_reference,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,weda,A5_deep_fall_head,temporal_tilt12,12,0.7916666666666666,0.76,0.7755102040816326,0.9388888888888889,0.9716129032258064,0.8778480648384231,150,5,6,19,0.5,saved_a5_prediction_threshold,5,0,0.6071428571428571,0.64,0.75,0.5714285714285714,0.5,25,0.47765567765567757,0.44,0.76,65959,257.65234375,64.4130859375,12,12,0,0,0,0,0,0,0,0,65959,medium,Single compact temporal CNN; requires TensorFlow/TFLite for deployment.
A5_reference,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,bits+weda,A5_deep_fall_head,temporal_tilt12,12,0.7613636363636364,0.9178082191780822,0.8322981366459627,0.961864406779661,0.9658073562722468,0.901453702667915,614,21,6,67,0.5,saved_a5_prediction_threshold,21,0,0.8966626725247414,0.9016393442622951,0.9285714285714286,0.896551724137931,0.8648648648648649,61,0.8372183372183373,0.819672131147541,0.9180327868852459,65959,257.65234375,64.4130859375,12,12,0,0,0,0,0,0,0,0,65959,medium,Single compact temporal CNN; requires TensorFlow/TFLite for deployment.
A5_reference,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,weda,A5_deep_fall_head,temporal_tilt12,12,0.34328358208955223,0.92,0.5,0.7444444444444445,0.880774193548387,0.5142627674399248,111,44,2,23,0.5,saved_a5_prediction_threshold,44,0,0.3876262626262626,0.4,0.3333333333333333,0.375,0.45454545454545453,25,0.35873015873015873,0.36,0.92,65959,257.65234375,64.4130859375,12,12,0,0,0,0,0,0,0,0,65959,medium,Single compact temporal CNN; requires TensorFlow/TFLite for deployment.
A5_reference,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,bits,A5_deep_fall_head,temporal_tilt12,12,0.8529411764705882,0.6041666666666666,0.7073170731707317,0.9545454545454546,0.916796875,0.7867541610768137,475,5,19,29,0.5,saved_a5_prediction_threshold,5,0,0.6271469828241374,0.6666666666666666,0.7441860465116279,0.6666666666666666,0.47058823529411764,36,0.45502645502645506,0.4722222222222222,0.6388888888888888,65959,257.65234375,64.4130859375,12,12,0,0,0,0,0,0,0,0,65959,medium,Single compact temporal CNN; requires TensorFlow/TFLite for deployment.
A5_reference,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,bits,A5_deep_fall_head,temporal_tilt12,12,1.0,0.8958333333333334,0.945054945054945,0.990530303030303,0.961328125,0.933191170041879,480,0,5,43,0.5,saved_a5_prediction_threshold,0,0,0.9350469350469351,0.9444444444444444,0.972972972972973,0.9230769230769231,0.9090909090909091,36,0.842953342953343,0.8333333333333334,0.8888888888888888,65959,257.65234375,64.4130859375,12,12,0,0,0,0,0,0,0,0,65959,medium,Single compact temporal CNN; requires TensorFlow/TFLite for deployment.
A5_reference,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,weda,A5_deep_fall_head,temporal_tilt12,12,0.5333333333333333,0.96,0.6857142857142857,0.8777777777777778,0.9633548387096774,0.8061146676890154,134,21,1,24,0.5,saved_a5_prediction_threshold,21,0,0.8390350877192981,0.84,0.8421052631578947,0.875,0.8,25,0.8140350877192982,0.8,0.96,65959,257.65234375,64.4130859375,12,12,0,0,0,0,0,0,0,0,65959,medium,Single compact temporal CNN; requires TensorFlow/TFLite for deployment.
Hybrid_NoTiming,E1_BITS_TO_BITS,E1_BITS_TO_BITS,bits,GradientBoosting_FallNoTiming_Full,FallNoTiming_Full,132,0.9523809523809523,0.8333333333333334,0.8888888888888888,0.9810606060606061,0.9817708333333333,0.9517911254398667,478,2,8,40,0.6235903918421675,best_val_f1_then_precision_with_recall088_tiebreak,2,0,0.8777348777348778,0.8888888888888888,0.918918918918919,0.8571428571428571,0.8571428571428571,36,0.7486772486772487,0.75,0.8055555555555556,65959,257.65234375,64.4130859375,132,12,100,1408,754,0,0,0,100,1408,67367,medium,"GB fall expert plus A5 direction expert; best practical accuracy, moderate edge cost."
Hybrid_NoTiming,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,weda,GradientBoosting_FallNoTiming_Full,FallNoTiming_Full,132,0.88,0.88,0.88,0.9666666666666667,0.9912258064516128,0.9626091204934958,152,3,3,22,0.7187731120959577,best_val_f1_then_precision_with_recall088_tiebreak,5,2,0.6071428571428571,0.64,0.75,0.5714285714285714,0.5,25,0.5844155844155844,0.56,0.88,65959,257.65234375,64.4130859375,132,12,100,1408,754,0,0,0,100,1408,67367,medium,"GB fall expert plus A5 direction expert; best practical accuracy, moderate edge cost."
Hybrid_NoTiming,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,bits+weda,GradientBoosting_FallNoTiming_Full,FallNoTiming_Full,132,0.8985507246376812,0.8493150684931506,0.8732394366197183,0.9745762711864406,0.9833567036997086,0.9355970977588354,628,7,11,62,0.48460387851025294,best_val_f1_then_precision_with_recall088_tiebreak,21,14,0.8966626725247414,0.9016393442622951,0.9285714285714286,0.896551724137931,0.8648648648648649,61,0.7998290598290598,0.7540983606557377,0.8524590163934426,65959,257.65234375,64.4130859375,132,12,100,1408,754,0,0,0,100,1408,67367,medium,"GB fall expert plus A5 direction expert; best practical accuracy, moderate edge cost."
