pipeline,experiment_id,train_protocol,fall_source,threshold,threshold_note
A5_reference,E1_BITS_TO_BITS,E1_BITS_TO_BITS,A5_deep_fall_head,0.5,saved_a5_prediction_threshold
A5_reference,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,A5_deep_fall_head,0.5,saved_a5_prediction_threshold
A5_reference,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,A5_deep_fall_head,0.5,saved_a5_prediction_threshold
A5_reference,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,A5_deep_fall_head,0.5,saved_a5_prediction_threshold
A5_reference,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,A5_deep_fall_head,0.5,saved_a5_prediction_threshold
A5_reference,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,A5_deep_fall_head,0.5,saved_a5_prediction_threshold
A5_reference,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,A5_deep_fall_head,0.5,saved_a5_prediction_threshold
Hybrid_NoTiming,E1_BITS_TO_BITS,E1_BITS_TO_BITS,GradientBoosting_FallNoTiming_Full,0.6235903918421675,best_val_f1_then_precision_with_recall088_tiebreak
Hybrid_NoTiming,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,GradientBoosting_FallNoTiming_Full,0.7187731120959577,best_val_f1_then_precision_with_recall088_tiebreak
Hybrid_NoTiming,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,GradientBoosting_FallNoTiming_Full,0.48460387851025294,best_val_f1_then_precision_with_recall088_tiebreak
Hybrid_NoTiming,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,GradientBoosting_FallNoTiming_Full,0.6235903918421675,best_val_f1_then_precision_with_recall088_tiebreak
Hybrid_NoTiming,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,GradientBoosting_FallNoTiming_Full,0.7187731120959577,best_val_f1_then_precision_with_recall088_tiebreak
Hybrid_NoTiming,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,GradientBoosting_FallNoTiming_Full,0.48460387851025294,best_val_f1_then_precision_with_recall088_tiebreak
Hybrid_NoTiming,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,GradientBoosting_FallNoTiming_Full,0.48460387851025294,best_val_f1_then_precision_with_recall088_tiebreak
EdgeLite_Hybrid,E1_BITS_TO_BITS,E1_BITS_TO_BITS,RandomForest_FallNoTiming_Core,0.3430962343096234,best_val_f1_then_precision_with_recall088_tiebreak
EdgeLite_Hybrid,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,RandomForest_FallNoTiming_Core,0.7405857740585774,best_val_f1_then_precision_with_recall088_tiebreak
EdgeLite_Hybrid,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,RandomForest_FallNoTiming_Core,0.405857740585774,best_val_f1_then_precision_with_recall088_tiebreak
EdgeLite_Hybrid,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,RandomForest_FallNoTiming_Core,0.3430962343096234,best_val_f1_then_precision_with_recall088_tiebreak
EdgeLite_Hybrid,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,RandomForest_FallNoTiming_Core,0.7405857740585774,best_val_f1_then_precision_with_recall088_tiebreak
EdgeLite_Hybrid,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,RandomForest_FallNoTiming_Core,0.405857740585774,best_val_f1_then_precision_with_recall088_tiebreak
EdgeLite_Hybrid,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,RandomForest_FallNoTiming_Core,0.405857740585774,best_val_f1_then_precision_with_recall088_tiebreak
ML_only_separated,E1_BITS_TO_BITS,E1_BITS_TO_BITS,GradientBoosting_FallNoTiming_Full,0.6235903918421675,best_val_f1_then_precision_with_recall088_tiebreak
ML_only_separated,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,GradientBoosting_FallNoTiming_Full,0.7187731120959577,best_val_f1_then_precision_with_recall088_tiebreak
ML_only_separated,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,GradientBoosting_FallNoTiming_Full,0.48460387851025294,best_val_f1_then_precision_with_recall088_tiebreak
ML_only_separated,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,GradientBoosting_FallNoTiming_Full,0.6235903918421675,best_val_f1_then_precision_with_recall088_tiebreak
ML_only_separated,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,GradientBoosting_FallNoTiming_Full,0.7187731120959577,best_val_f1_then_precision_with_recall088_tiebreak
ML_only_separated,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,GradientBoosting_FallNoTiming_Full,0.48460387851025294,best_val_f1_then_precision_with_recall088_tiebreak
ML_only_separated,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,GradientBoosting_FallNoTiming_Full,0.48460387851025294,best_val_f1_then_precision_with_recall088_tiebreak
