dataset,subject_id,direction_label,count
bits,user1,backward,1
bits,user1,forward,1
bits,user1,lateral,2
bits,user1,none,32
bits,user1,other,1
bits,user10,backward,1
bits,user10,forward,3
bits,user10,lateral,2
bits,user10,none,80
bits,user10,other,2
bits,user11,backward,1
bits,user11,forward,3
bits,user11,lateral,2
bits,user11,none,80
bits,user11,other,2
bits,user12,backward,1
bits,user12,forward,3
bits,user12,lateral,2
bits,user12,none,80
bits,user12,other,2
bits,user13,backward,1
bits,user13,forward,3
bits,user13,lateral,2
bits,user13,none,80
bits,user13,other,2
bits,user14,backward,1
bits,user14,forward,3
bits,user14,lateral,2
bits,user14,none,80
bits,user14,other,2
bits,user15,backward,1
bits,user15,forward,3
bits,user15,lateral,2
bits,user15,none,80
bits,user15,other,2
bits,user16,backward,1
bits,user16,forward,3
bits,user16,lateral,2
bits,user16,none,80
bits,user16,other,2
bits,user17,backward,1
bits,user17,forward,3
bits,user17,lateral,2
bits,user17,none,80
bits,user17,other,2
bits,user18,backward,1
bits,user18,forward,3
bits,user18,lateral,2
bits,user18,none,80
bits,user18,other,2
bits,user19,backward,1
bits,user19,forward,3
bits,user19,lateral,2
bits,user19,none,80
bits,user19,other,2
bits,user2,backward,1
bits,user2,forward,3
bits,user2,lateral,2
bits,user2,none,80
bits,user2,other,2
bits,user20,backward,1
bits,user20,forward,3
bits,user20,lateral,2
bits,user20,none,80
bits,user20,other,2
bits,user21,backward,1
bits,user21,forward,3
bits,user21,lateral,2
bits,user21,none,80
bits,user21,other,2
bits,user22,backward,1
bits,user22,forward,3
bits,user22,lateral,2
bits,user22,none,80
bits,user22,other,2
bits,user23,backward,1
bits,user23,forward,3
bits,user23,lateral,2
bits,user23,none,80
bits,user23,other,2
bits,user24,backward,1
bits,user24,forward,3
bits,user24,lateral,2
bits,user24,none,80
bits,user24,other,2
bits,user25,backward,1
bits,user25,forward,3
bits,user25,lateral,2
bits,user25,none,80
bits,user25,other,2
bits,user26,backward,1
bits,user26,forward,3
bits,user26,lateral,2
bits,user26,none,80
bits,user26,other,2
bits,user27,backward,1
bits,user27,forward,3
bits,user27,lateral,2
bits,user27,none,80
bits,user27,other,2
bits,user28,backward,1
bits,user28,forward,3
bits,user28,lateral,2
bits,user28,none,80
bits,user28,other,2
bits,user29,backward,1
bits,user29,forward,3
bits,user29,lateral,2
bits,user29,none,80
bits,user29,other,2
bits,user3,backward,1
bits,user3,forward,3
bits,user3,lateral,2
bits,user3,none,80
bits,user3,other,2
bits,user30,backward,1
bits,user30,forward,3
bits,user30,lateral,2
bits,user30,none,80
bits,user30,other,2
bits,user31,backward,1
bits,user31,forward,3
bits,user31,lateral,2
bits,user31,none,80
bits,user31,other,2
bits,user32,backward,1
bits,user32,forward,3
bits,user32,lateral,2
bits,user32,none,80
bits,user32,other,2
bits,user33,backward,1
bits,user33,forward,3
bits,user33,lateral,2
bits,user33,none,80
bits,user33,other,2
bits,user34,backward,1
bits,user34,forward,3
bits,user34,lateral,2
bits,user34,none,80
bits,user34,other,2
bits,user35,backward,1
bits,user35,forward,3
bits,user35,lateral,2
bits,user35,none,80
bits,user35,other,2
bits,user36,backward,1
bits,user36,forward,3
bits,user36,lateral,2
bits,user36,none,80
bits,user36,other,2
bits,user37,backward,1
bits,user37,forward,3
bits,user37,lateral,2
bits,user37,none,80
bits,user37,other,2
bits,user38,backward,1
bits,user38,forward,3
bits,user38,lateral,2
bits,user38,none,80
bits,user38,other,2
bits,user39,backward,1
bits,user39,forward,3
bits,user39,lateral,2
bits,user39,none,80
bits,user39,other,2
bits,user4,backward,1
bits,user4,forward,3
bits,user4,lateral,2
bits,user4,none,80
bits,user4,other,2
bits,user40,backward,1
bits,user40,forward,3
bits,user40,lateral,2
bits,user40,none,80
bits,user40,other,2
bits,user41,backward,1
bits,user41,forward,3
bits,user41,lateral,2
bits,user41,none,80
bits,user41,other,2
bits,user5,backward,1
bits,user5,forward,3
bits,user5,lateral,2
bits,user5,none,80
bits,user5,other,2
bits,user6,backward,1
bits,user6,forward,3
bits,user6,lateral,2
bits,user6,none,80
bits,user6,other,2
bits,user7,backward,1
bits,user7,forward,3
bits,user7,lateral,2
bits,user7,none,80
bits,user7,other,2
bits,user8,backward,1
bits,user8,forward,3
bits,user8,lateral,2
bits,user8,none,80
bits,user8,other,2
bits,user9,backward,1
bits,user9,forward,3
bits,user9,lateral,2
bits,user9,none,80
bits,user9,other,2
umafall,subject_01,none,30
umafall,subject_02,backward,6
umafall,subject_02,forward,7
umafall,subject_02,lateral,6
umafall,subject_02,none,50
umafall,subject_03,none,30
umafall,subject_04,backward,3
umafall,subject_04,forward,6
umafall,subject_04,lateral,3
umafall,subject_04,none,50
umafall,subject_05,backward,6
umafall,subject_05,forward,6
umafall,subject_05,lateral,6
umafall,subject_05,none,50
umafall,subject_06,backward,6
umafall,subject_06,forward,5
umafall,subject_06,lateral,6
umafall,subject_06,none,50
umafall,subject_07,backward,6
umafall,subject_07,none,45
umafall,subject_08,backward,2
umafall,subject_08,forward,2
umafall,subject_08,lateral,2
umafall,subject_08,none,15
umafall,subject_09,none,55
umafall,subject_10,none,35
umafall,subject_11,backward,6
umafall,subject_11,forward,6
umafall,subject_11,lateral,6
umafall,subject_11,none,30
umafall,subject_12,none,55
umafall,subject_13,none,35
umafall,subject_14,backward,3
umafall,subject_14,forward,3
umafall,subject_14,lateral,3
umafall,subject_14,none,35
umafall,subject_15,backward,4
umafall,subject_15,forward,4
umafall,subject_15,lateral,4
umafall,subject_15,none,50
umafall,subject_16,backward,2
umafall,subject_16,forward,3
umafall,subject_16,lateral,1
umafall,subject_16,none,15
umafall,subject_17,backward,4
umafall,subject_17,forward,3
umafall,subject_17,lateral,4
