acc_mag_peak,gyro_mag_peak
12.944882,6.3945293
12.414104,2.2113345
14.831386,2.5495098
14.831386,2.9832869
14.790199,2.9832869
16.758879,5.189412
16.758879,5.189412
13.179151,2.5317976
13.567609,1.8547237
13.844132,4.104875
12.506798,4.705316
13.124405,4.9457054
13.256696,4.9457054
14.841496,4.4328322
22.934906,5.1439285
28.830019,9.172786
28.830019,9.172786
13.779332,3.6619666
21.155142,11.521719
21.155142,11.521719
19.718266,8.221922
11.333578,2.4351592
13.934131,2.6551836
14.624638,4.33359
14.735671,4.33359
13.103053,4.0037484
14.150971,4.029888
14.171098,5.166237
14.5924635,5.166237
17.457376,4.173727
15.104304,4.9618545
18.95943,3.1272993
18.95943,3.1272993
14.80304,2.9983327
15.916657,3.1416557
16.38841,10.868762
16.1722,8.490582
13.132023,2.4186773
15.871987,4.0718546
15.871987,4.0718546
14.51792,5.993329
14.455794,4.3737855
15.288231,3.2124755
18.738731,5.2048054
18.738731,5.2048054
13.870111,6.92026
13.870111,3.258834
12.894184,1.5652477
12.894184,2.3021727
13.377967,2.3021727
19.213017,4.859012
19.213017,4.859012
13.397388,4.268489
12.060266,1.8193405
13.352154,4.0459857
14.209152,3.758989
14.735671,6.567343
14.735671,6.567343
15.237126,4.851804
16.085087,2.641969
17.433876,9.055386
17.433876,7.603946
16.490602,2.7622457
15.225308,3.226453
15.573696,4.5265884
15.458331,7.389858
15.458331,3.5860841
13.614698,2.6645825
13.614698,2.7092435
13.191664,2.7604346
10.664427,0.70710677
10.5057125,0.9433982
10.549408,0.9433982
11.787281,1.17047
12.013742,1.17047
11.135978,2.109502
12.747156,2.109502
14.453028,2.2759614
14.453028,2.2759614
13.1578865,2.634388
13.039172,2.5377154
16.690416,2.6191602
17.569576,5.2744665
17.569576,5.2744665
14.914758,2.8089144
10.591034,0.4690416
10.016486,0.14142135
11.872658,0.591608
14.095744,1.3928387
14.095744,1.7972201
11.385077,0.94868326
11.385077,0.66332495
11.503913,0.6480741
11.503913,0.678233
11.433722,0.90000004
10.362915,0.4
11.339313,3.04959
16.333096,3.04959
16.333096,3.324154
15.162454,3.324154
10.096039,1.9723083
13.192043,5.289613
13.192043,5.289613
13.086252,2.0273135
13.086252,2.1118712
10.989995,0.76811457
10.439348,2.539685
12.753822,2.624881
13.777155,3.312099
13.823893,3.312099
10.5948105,0.8660254
13.525162,2.3895605
13.544003,2.3895605
14.773287,2.4677925
16.40183,2.879236
13.048755,4.6658335
14.266745,4.6658335
14.628056,3.2140315
16.717358,2.4596746
16.717358,1.9209372
10.479504,1.8330303
11.333578,2.4779024
11.333578,2.4779024
11.693159,0.8602326
13.853881,1.8138356
24.1456,10.589617
49.299088,10.589617
49.299088,9.394679
45.813644,13.23858
45.813644,13.23858
17.410917,5.8489313
38.92814,8.35823
45.98489,12.615069
47.244896,12.615069
53.222645,12.532358
43.388824,7.5053315
53.69935,6.4969225
56.412144,8.187796
56.412144,10.331021
55.09383,10.331021
45.253616,6.3663177
45.253616,6.9742384
43.987495,16.459951
42.380184,16.459951
41.694603,13.215521
14.996666,6.797794
14.996666,5.558777
13.6926985,2.9410882
37.54797,3.7868192
37.54797,3.910243
41.611298,12.174152
46.92185,13.983205
46.92185,13.983205
45.070835,10.708875
52.35542,9.864078
39.134766,6.7867517
44.834026,10.297572
44.834026,12.170045
43.690273,12.170045
43.939163,8.038034
21.849943,11.126994
23.006521,5.8898215
40.265743,7.585512
40.265743,8.382124
39.8812,8.382124
29.129023,6.73721
43.158546,10.265964
