dataset,direction,n,mean_ax_pre_mean,mean_ax_pre_std,mean_ay_pre_mean,mean_ay_pre_std,mean_az_pre_mean,mean_az_pre_std,mean_ax_post_mean,mean_ax_post_std,mean_ay_post_mean,mean_ay_post_std,mean_az_post_mean,mean_az_post_std,mean_gx_pre_mean,mean_gx_pre_std,mean_gy_pre_mean,mean_gy_pre_std,mean_gz_pre_mean,mean_gz_pre_std,mean_gx_post_mean,mean_gx_post_std,mean_gy_post_mean,mean_gy_post_std,mean_gz_post_mean,mean_gz_post_std,peak_signed_ax_mean,peak_signed_ax_std,peak_signed_ay_mean,peak_signed_ay_std,peak_signed_az_mean,peak_signed_az_std,peak_signed_gx_mean,peak_signed_gx_std,peak_signed_gy_mean,peak_signed_gy_std,peak_signed_gz_mean,peak_signed_gz_std,acc_mag_peak_mean,acc_mag_peak_std,gyro_mag_peak_mean,gyro_mag_peak_std,roll_pre_mean_mean,roll_pre_mean_std,roll_post_mean_mean,roll_post_mean_std,pitch_pre_mean_mean,pitch_pre_mean_std,pitch_post_mean_mean,pitch_post_mean_std,delta_roll_window_mean,delta_roll_window_std,delta_pitch_window_mean,delta_pitch_window_std,integrated_gx_mean,integrated_gx_std,integrated_gy_mean,integrated_gy_std,integrated_gz_mean,integrated_gz_std,dominant_acc_axis,dominant_gyro_axis,dominant_tilt_axis
bits,backward,41,1.1853080987930298,4.594082832336426,-2.4746391773223877,4.198889255523682,5.195152759552002,3.368131637573242,3.206153392791748,3.8346850872039795,-0.34097570180892944,6.132612705230713,3.1189844608306885,6.293399810791016,0.2766346037387848,1.0180974006652832,-1.0824942588806152,1.3263789415359497,-0.6460272669792175,1.317574381828308,0.10036904364824295,1.475812554359436,0.07813587784767151,1.101247787475586,0.2751733362674713,1.061082124710083,14.854104995727539,17.482059478759766,0.9995266795158386,17.121198654174805,5.9678568840026855,21.102632522583008,0.6584412455558777,6.436543941497803,-1.7266987562179565,3.22003173828125,-0.9578843712806702,3.731682777404785,28.845455169677734,15.542586326599121,6.571840763092041,3.595562219619751,-0.36741799116134644,0.9969112277030945,-0.026291944086551666,2.9131453037261963,-0.128251850605011,0.5116108059883118,-0.34903520345687866,0.4509273171424866,0.341126024723053,2.5220818519592285,-0.22078335285186768,0.6042435169219971,0.1829434484243393,1.7789212465286255,-1.136455774307251,1.8798449039459229,-0.5613187551498413,1.872881531715393,+ax,-gy,+roll_window
bits,forward,121,-4.593190670013428,5.1980061531066895,-3.050628662109375,4.0320868492126465,3.993023157119751,3.366628885269165,-6.097370147705078,4.318441390991211,-2.785115957260132,3.1665847301483154,3.073701858520508,4.31303071975708,0.8338320851325989,1.4300014972686768,-0.17502661049365997,1.1456258296966553,-0.09513120353221893,1.320112943649292,-0.09646249562501907,0.6302297115325928,0.3856641948223114,1.1467379331588745,0.13575658202171326,0.8538063764572144,-42.96783447265625,40.64547348022461,-2.6497995853424072,39.29887390136719,16.61463737487793,41.42753601074219,0.3710344731807709,5.987504005432129,1.8696616888046265,5.45294189453125,-1.2632026672363281,6.1122307777404785,72.34579467773438,29.53773307800293,8.275386810302734,4.157681941986084,-0.49835801124572754,1.1937787532806396,0.1538805514574051,5.3167619705200195,0.5395566821098328,0.5451434850692749,0.7360314726829529,0.550293505191803,0.6522384881973267,5.188512325286865,0.19647468626499176,0.5908343195915222,0.2658979594707489,0.9637308120727539,0.6259295344352722,1.208861231803894,-0.011090259067714214,1.182181477546692,-ax,+gy,+roll_window
bits,lateral,82,-4.9380412101745605,5.903555393218994,-1.8445730209350586,5.223328590393066,3.012145519256592,3.942532539367676,-2.331834077835083,5.807915687561035,-1.2172824144363403,6.555848598480225,2.061894416809082,5.932105541229248,0.24818055331707,1.5571106672286987,-0.29185664653778076,1.412778615951538,-0.5931279063224792,1.5467462539672852,-0.6929810047149658,2.034762382507324,0.09095662832260132,1.375978708267212,-0.3756106495857239,2.0852534770965576,-23.5715274810791,39.03853225708008,-18.579757690429688,35.81398391723633,20.003520965576172,30.543018341064453,-1.7081341743469238,9.190250396728516,0.3033139705657959,5.65578031539917,-2.4928994178771973,6.346879959106445,57.56646728515625,31.734737396240234,10.249876022338867,4.753921985626221,-0.44146519899368286,1.1000235080718994,0.6356174945831299,4.493168830871582,0.5354360342025757,0.6937695741653442,0.2140834927558899,0.543741762638092,1.0770825147628784,4.351912498474121,-0.3213525712490082,0.9300718903541565,-0.5182191133499146,2.907133102416992,0.06830974668264389,2.145020008087158,-1.5520381927490234,2.5127525329589844,-ax,-gz,+roll_window
hifd,backward,34,-0.11475221812725067,0.7651561498641968,0.22604329884052277,0.6036164164543152,0.2741679847240448,0.43570631742477417,0.027876853942871094,0.5702890157699585,0.4189602732658386,0.9440639615058899,-0.03014105185866356,0.8005166053771973,0.07248763740062714,0.36440804600715637,-0.07642489671707153,0.398825079202652,0.12595117092132568,0.6180186867713928,-0.16911984980106354,0.5996723175048828,0.052893735468387604,0.29306721687316895,-0.10471461713314056,0.33690130710601807,-70.40222930908203,55.30098342895508,-38.18767547607422,89.91556549072266,36.77119064331055,68.3951416015625,0.32488805055618286,12.407365798950195,-5.22885274887085,6.31801700592041,-1.1078734397888184,7.3671088218688965,138.86642456054688,51.434547424316406,13.863852500915527,3.7396326065063477,0.7852426767349243,1.8021818399429321,-0.19629646837711334,9.23651123046875,-0.055331796407699585,0.48470398783683777,-0.18161308765411377,0.24201606214046478,-0.9815391302108765,9.677306175231934,-0.126281276345253,0.5189153552055359,0.8267861604690552,1.4373565912246704,-0.7755874395370483,1.181725025177002,0.3726986348628998,1.5220751762390137,-ax,+gx,-roll_window
hifd,forward,33,-0.19146741926670074,0.7930793762207031,-0.16571752727031708,0.5413479804992676,0.12510907649993896,0.8110597133636475,0.029509084299206734,0.517982542514801,0.04585350304841995,0.5522225499153137,-0.08585274964570999,0.3779734969139099,0.18937350809574127,0.7898226380348206,-0.3210374712944031,0.6469775438308716,-0.1280013769865036,0.509244978427887,-0.22503376007080078,0.33819475769996643,-0.044180624186992645,0.4261217713356018,0.1369951218366623,0.31480810046195984,-38.995697021484375,65.69047546386719,-46.245784759521484,82.41482543945312,17.542612075805664,86.21513366699219,-1.608876347541809,12.233075141906738,-3.4234371185302734,7.331180095672607,-3.671009063720703,8.147503852844238,129.24513244628906,64.37480163574219,14.056756973266602,5.476154804229736,1.2734668254852295,2.7126989364624023,2.890578031539917,10.641592979431152,0.17827816307544708,0.5027012228965759,0.04791571944952011,0.2536546587944031,1.617111086845398,10.216962814331055,-0.13036243617534637,0.5438265204429626,0.6888952255249023,0.884417712688446,-0.8654019236564636,1.306636095046997,0.09712806344032288,1.8646819591522217,-ay,-gy,+roll_window
hifd,lateral,37,-1.679044246673584,3.3176770210266113,-0.713857889175415,1.4852986335754395,-0.30826014280319214,0.8388341069221497,-0.27021294832229614,0.5221517086029053,-0.03323658928275108,0.5262258648872375,0.059529006481170654,0.5293384790420532,0.32379162311553955,1.0003275871276855,0.03984067216515541,0.8824091553688049,-0.03342306241393089,1.4175069332122803,-0.12861661612987518,0.37617266178131104,0.0002948259934782982,0.26651740074157715,0.0635535717010498,0.3947519361972809,1.0342038869857788,75.89055633544922,-27.82199478149414,87.71630859375,17.476512908935547,86.90172576904297,-4.133552551269531,12.760257720947266,-1.5325877666473389,9.956584930419922,0.11665407568216324,12.116015434265137,124.5202407836914,66.51776123046875,16.649696350097656,8.064428329467773,0.17384958267211914,3.5560522079467773,2.1432619094848633,8.106858253479004,0.28738945722579956,0.30489382147789,0.025218438357114792,0.30059337615966797,1.9694125652313232,7.516755104064941,-0.26217108964920044,0.4237259328365326,-0.39601898193359375,1.2404710054397583,-0.046123869717121124,1.4910494089126587,0.8319851756095886,2.8900558948516846,-ay,+gz,+roll_window
umafall,backward,73,-1.1925486326217651,9.087491989135742,0.060463499277830124,3.712054967880249,3.0580320358276367,2.803304433822632,1.333061933517456,3.9310266971588135,-1.6952377557754517,6.444873332977295,2.669718027114868,5.9626383781433105,-0.18177726864814758,0.8826219439506531,0.2917669117450714,1.1157079935073853,0.11144541203975677,1.0702487230300903,0.07344450801610947,0.8150184750556946,-0.021963736042380333,0.686774730682373,-0.09682220965623856,1.0183311700820923,1.4735420942306519,35.545589447021484,2.5309035778045654,37.09278869628906,23.35879135131836,35.67729187011719,0.1326657086610794,4.245485782623291,-1.0562015771865845,4.278529167175293,0.35877153277397156,4.2422661781311035,57.47323226928711,20.99392318725586,6.824332237243652,0.5787865519523621,0.06707435846328735,1.0210360288619995,-0.5645579695701599,6.025965690612793,0.2447611391544342,1.0502605438232422,-0.14047184586524963,0.46357467770576477,-0.6316322684288025,5.961363792419434,-0.38523298501968384,1.3756697177886963,-0.12132474780082703,0.8435318470001221,-0.14435940980911255,1.5159212350845337,0.3590114414691925,1.3016809225082397,+az,+gz,-roll_window
umafall,forward,71,-2.469780683517456,8.843284606933594,0.6470874547958374,3.6722445487976074,3.001077651977539,2.2965481281280518,0.41035112738609314,3.456451654434204,-0.4481906592845917,5.1892781257629395,7.2544941902160645,4.342218399047852,-0.5225203037261963,0.8639220595359802,-0.0967598408460617,1.3143235445022583,-0.18920886516571045,1.0915452241897583,-0.06706435233354568,0.4133679270744324,-0.03789518401026726,0.5353875756263733,0.04158959537744522,0.32828807830810547,-16.61780548095703,50.2860107421875,0.058072976768016815,42.05644607543945,29.538862228393555,34.493629455566406,-0.044807691127061844,4.247855186462402,-1.004123568534851,3.9720470905303955,0.48035311698913574,4.019965648651123,72.78692626953125,29.58682632446289,6.334165096282959,0.8882362842559814,-0.03473112732172012,1.0345187187194824,0.6284244656562805,5.97736120223999,0.34974339604377747,0.9995883703231812,-0.059216372668743134,0.38501137495040894,0.6631555557250977,5.701584815979004,-0.4089597165584564,0.8471697568893433,-0.251385897397995,0.7748190760612488,-0.2341812551021576,0.897659420967102,0.3029186725616455,0.7908580899238586,+az,+gz,+roll_window
umafall,lateral,64,-3.1159298419952393,8.064271926879883,0.5257188081741333,3.8551688194274902,2.946850299835205,2.4824583530426025,0.6810874342918396,2.665679693222046,-2.4428904056549072,6.255514621734619,-1.6534889936447144,6.247698783874512,-0.418393611907959,0.8297582268714905,-0.2627544105052948,0.94720059633255,0.15057285130023956,0.7739773988723755,-0.055833928287029266,0.6307956576347351,-0.03994586691260338,0.5380357503890991,0.15919537842273712,0.8998647928237915,3.3202500343322754,40.05527877807617,-6.271970272064209,41.103515625,16.252553939819336,40.47758102416992,0.103802889585495,4.40796422958374,-1.858323097229004,3.8782081604003906,0.9246530532836914,4.170051097869873,61.48561096191406,26.72230339050293,6.785046577453613,0.605292022228241,-0.028475522994995117,1.274019718170166,0.07680612802505493,4.91713285446167,0.4056769013404846,0.9944519400596619,-0.06472335010766983,0.30184194445610046,0.10528171062469482,4.5556464195251465,-0.47040024399757385,1.146734356880188,0.27561768889427185,0.8743340969085693,-0.5809048414230347,1.3224961757659912,0.6649994850158691,1.2667256593704224,+az,+gz,-pitch_window
weda,backward,126,-6.467579364776611,5.0182785987854,-2.4345638751983643,2.6047310829162598,3.4591665267944336,3.4149324893951416,1.2646428346633911,1.9020270109176636,-4.218055725097656,4.912031173706055,2.219404458999634,6.6417365074157715,0.20019842684268951,0.617936372756958,-0.29746028780937195,0.8397688865661621,0.028809530660510063,0.728287398815155,0.10817460715770721,0.5284424424171448,0.041111115366220474,0.3185594379901886,0.01976189762353897,0.4016527533531189,-0.7619051337242126,35.66030502319336,-23.547616958618164,26.45331382751465,23.869047164916992,26.23851776123047,-3.1880950927734375,12.121721267700195,-5.184126853942871,8.436479568481445,-2.675396680831909,8.220470428466797,53.32524871826172,9.271151542663574,14.636812210083008,5.504396915435791,-0.48069077730178833,1.4709900617599487,1.7008229494094849,7.213565826416016,0.7532623410224915,0.5906378626823425,-0.14288514852523804,0.1892518848180771,2.181513786315918,7.0254340171813965,-0.8961474895477295,0.6363649368286133,-0.01741269789636135,0.784741222858429,-1.1074285507202148,0.8317238688468933,-0.1854761838912964,0.7244899272918701,+az,-gy,+roll_window
