method,experiment_id,input,params,estimated_fp32_kb,estimated_int8_kb,direction_macro_f1,direction_accuracy,forward_f1,backward_f1,lateral_f1,direction_n_supervised,cm_00,cm_01,cm_02,cm_10,cm_11,cm_12,cm_20,cm_21,cm_22
Classical ML Direction - LogisticRegression,E3_BITS_WEDA_MIXED,event-window statistical features,0,0.0,0.0,0.7962125020948551,0.8032786885245902,0.8461538461538461,0.7777777777777778,0.7647058823529411,61,22,4,1,0,14,1,3,3,13
Classical ML Direction - LogisticRegression,E6_E3_MIXED_TEST_BITS,event-window statistical features,0,0.0,0.0,0.7666237666237666,0.8055555555555556,0.918918918918919,0.7142857142857143,0.6666666666666666,36,17,0,1,0,5,1,2,3,7
Classical ML Direction - LogisticRegression,E7_E3_MIXED_TEST_WEDA,event-window statistical features,0,0.0,0.0,0.8026418026418026,0.8,0.6666666666666666,0.8181818181818182,0.9230769230769231,25,5,4,0,0,9,0,1,0,6
Classical ML Direction - RandomForest,E3_BITS_WEDA_MIXED,event-window statistical features,0,0.0,0.0,0.809601034138316,0.819672131147541,0.8524590163934426,0.8666666666666667,0.7096774193548387,61,26,0,1,2,13,0,6,2,11
Classical ML Direction - RandomForest,E6_E3_MIXED_TEST_BITS,event-window statistical features,0,0.0,0.0,0.8459888459888459,0.8611111111111112,0.918918918918919,0.8571428571428571,0.7619047619047619,36,17,0,1,0,6,0,2,2,8
Classical ML Direction - RandomForest,E7_E3_MIXED_TEST_WEDA,event-window statistical features,0,0.0,0.0,0.7416666666666667,0.76,0.75,0.875,0.6,25,9,0,0,2,7,0,4,0,3
Classical ML Direction - GradientBoosting,E3_BITS_WEDA_MIXED,event-window statistical features,0,0.0,0.0,0.8577334139947571,0.8688524590163934,0.9122807017543859,0.8275862068965517,0.8333333333333334,61,26,0,1,2,12,1,2,2,15
Classical ML Direction - GradientBoosting,E6_E3_MIXED_TEST_BITS,event-window statistical features,0,0.0,0.0,0.8320946364424625,0.8611111111111112,0.9444444444444444,0.7692307692307693,0.782608695652174,36,17,0,1,0,5,1,1,2,9
Classical ML Direction - GradientBoosting,E7_E3_MIXED_TEST_WEDA,event-window statistical features,0,0.0,0.0,0.88507326007326,0.88,0.8571428571428571,0.875,0.9230769230769231,25,9,0,0,2,7,0,1,0,6
Classical ML Direction - HistGradientBoosting,E3_BITS_WEDA_MIXED,event-window statistical features,0,0.0,0.0,0.8796786399902349,0.8852459016393442,0.9122807017543859,0.9032258064516129,0.8235294117647058,61,26,0,1,1,14,0,3,2,14
Classical ML Direction - HistGradientBoosting,E6_E3_MIXED_TEST_BITS,event-window statistical features,0,0.0,0.0,0.8732563732563733,0.8888888888888888,0.9444444444444444,0.8571428571428571,0.8181818181818182,36,17,0,1,0,6,0,1,2,9
Classical ML Direction - HistGradientBoosting,E7_E3_MIXED_TEST_WEDA,event-window statistical features,0,0.0,0.0,0.8772175536881419,0.88,0.8571428571428571,0.9411764705882353,0.8333333333333334,25,9,0,0,1,8,0,2,0,5
