method,experiment_id,feature_input,feature_count,fall_precision,fall_recall,fall_f1,fall_accuracy,AUROC,AUPRC,TN,FP,FN,TP,complexity
Classical ML Fall - LogisticRegression,E3_BITS_WEDA_MIXED,event-window statistical features,132,0.9137931034482759,0.726027397260274,0.8091603053435115,0.9646892655367232,0.9725595944342573,0.9076986766816664,630,5,20,53,LogisticRegression
Classical ML Fall - LogisticRegression,E6_E3_MIXED_TEST_BITS,event-window statistical features,132,0.9459459459459459,0.7291666666666666,0.8235294117647058,0.9715909090909091,0.97265625,0.9087933310960485,478,2,13,35,LogisticRegression
Classical ML Fall - LogisticRegression,E7_E3_MIXED_TEST_WEDA,event-window statistical features,132,0.8571428571428571,0.72,0.782608695652174,0.9444444444444444,0.9829677419354839,0.9150504654039731,152,3,7,18,LogisticRegression
Classical ML Fall - RandomForest,E3_BITS_WEDA_MIXED,event-window statistical features,132,0.8,0.8767123287671232,0.8366013071895425,0.9646892655367232,0.9759896451299751,0.9212124738007041,619,16,9,64,"trees=300, nodes=63290"
Classical ML Fall - RandomForest,E6_E3_MIXED_TEST_BITS,event-window statistical features,132,0.9761904761904762,0.8541666666666666,0.9111111111111111,0.9848484848484849,0.9763237847222221,0.949644631784752,479,1,7,41,"trees=300, nodes=63290"
Classical ML Fall - RandomForest,E7_E3_MIXED_TEST_WEDA,event-window statistical features,132,0.6052631578947368,0.92,0.7301587301587301,0.9055555555555556,0.9820645161290323,0.9182415402025176,140,15,2,23,"trees=300, nodes=63290"
Classical ML Fall - GradientBoosting,E3_BITS_WEDA_MIXED,event-window statistical features,132,0.8985507246376812,0.8493150684931506,0.8732394366197183,0.9745762711864406,0.9833567036997086,0.9355970977588354,628,7,11,62,"trees=100, nodes=1408"
Classical ML Fall - GradientBoosting,E6_E3_MIXED_TEST_BITS,event-window statistical features,132,1.0,0.8125,0.896551724137931,0.9829545454545454,0.9877387152777778,0.9554014080837365,480,0,9,39,"trees=100, nodes=1408"
Classical ML Fall - GradientBoosting,E7_E3_MIXED_TEST_WEDA,event-window statistical features,132,0.7666666666666667,0.92,0.8363636363636363,0.95,0.9816774193548388,0.9410734472049691,148,7,2,23,"trees=100, nodes=1408"
Classical ML Fall - HistGradientBoosting,E3_BITS_WEDA_MIXED,event-window statistical features,132,0.8701298701298701,0.9178082191780822,0.8933333333333333,0.9774011299435028,0.9825477294790206,0.9549181840974719,625,10,6,67,hist_gb_predictors=140
Classical ML Fall - HistGradientBoosting,E6_E3_MIXED_TEST_BITS,event-window statistical features,132,1.0,0.8958333333333334,0.945054945054945,0.990530303030303,0.9807291666666668,0.9622662634193049,480,0,5,43,hist_gb_predictors=140
Classical ML Fall - HistGradientBoosting,E7_E3_MIXED_TEST_WEDA,event-window statistical features,132,0.7058823529411765,0.96,0.8135593220338984,0.9388888888888889,0.9891612903225806,0.9545921032989999,145,10,1,24,hist_gb_predictors=140
