activity_name,activity_id,n_windows,fall_0_count,fall_1_count,direction_forward_count,direction_backward_count,direction_lateral_count,direction_unsupervised_count,split_train_count,split_val_count,split_test_count
applausing,Aplausing,60,60,0,0,0,0,60,30,15.0,15
backward_fall,backwardFall,73,0,73,0,73,0,0,49,12.0,12
bending,Bending,85,85,0,0,0,0,85,60,10.0,15
forward_fall,forwardFall,71,0,71,71,0,0,0,53,5.0,13
go_downstairs,GoDownstairs,30,30,0,0,0,0,30,25,,5
go_upstairs,GoUpstairs,30,30,0,0,0,0,30,25,,5
hands_up,HandsUp,60,60,0,0,0,0,60,30,15.0,15
hopping,Hopping,75,75,0,0,0,0,75,50,10.0,15
jogging,Jogging,45,45,0,0,0,0,45,30,5.0,10
lateral_fall,lateralFall,64,0,64,0,0,64,0,46,6.0,12
lying_down_on_a_bed,LyingDown_OnABed,75,75,0,0,0,0,75,50,10.0,15
making_a_call,MakingACall,60,60,0,0,0,0,60,30,15.0,15
opening_door,OpeningDoor,60,60,0,0,0,0,60,30,15.0,15
sitting_getting_up_on_a_chair,Sitting_GettingUpOnAChair,95,95,0,0,0,0,95,65,15.0,15
walking,Walking,95,95,0,0,0,0,95,65,15.0,15
