section,split,label,count
total_windows,test,all,192
fall_label,test,non_fall,155
fall_label,test,fall,37
direction_label,test,backward,12
direction_label,test,forward,13
direction_label,test,lateral,12
direction_label,test,unsupervised,155
unique_count,test,subject_id,3
unique_count,test,trial_id,6
unique_count,test,activity_name,15
unique_count,test,activity_id,15
activity_count,test,applausing,15
activity_count,test,backward_fall,12
activity_count,test,bending,15
activity_count,test,forward_fall,13
activity_count,test,go_downstairs,5
activity_count,test,go_upstairs,5
activity_count,test,hands_up,15
activity_count,test,hopping,15
activity_count,test,jogging,10
activity_count,test,lateral_fall,12
activity_count,test,lying_down_on_a_bed,15
activity_count,test,making_a_call,15
activity_count,test,opening_door,15
activity_count,test,sitting_getting_up_on_a_chair,15
activity_count,test,walking,15
total_windows,train,all,638
fall_label,train,non_fall,490
fall_label,train,fall,148
direction_label,train,backward,49
direction_label,train,forward,53
direction_label,train,lateral,46
direction_label,train,unsupervised,490
unique_count,train,subject_id,13
unique_count,train,trial_id,18
unique_count,train,activity_name,15
unique_count,train,activity_id,15
activity_count,train,applausing,30
activity_count,train,backward_fall,49
activity_count,train,bending,60
activity_count,train,forward_fall,53
activity_count,train,go_downstairs,25
activity_count,train,go_upstairs,25
activity_count,train,hands_up,30
activity_count,train,hopping,50
activity_count,train,jogging,30
activity_count,train,lateral_fall,46
activity_count,train,lying_down_on_a_bed,50
activity_count,train,making_a_call,30
activity_count,train,opening_door,30
activity_count,train,sitting_getting_up_on_a_chair,65
activity_count,train,walking,65
total_windows,val,all,148
fall_label,val,non_fall,125
fall_label,val,fall,23
direction_label,val,backward,12
direction_label,val,forward,5
direction_label,val,lateral,6
direction_label,val,unsupervised,125
unique_count,val,subject_id,3
unique_count,val,trial_id,6
unique_count,val,activity_name,13
unique_count,val,activity_id,13
activity_count,val,applausing,15
activity_count,val,backward_fall,12
activity_count,val,bending,10
activity_count,val,forward_fall,5
activity_count,val,hands_up,15
activity_count,val,hopping,10
activity_count,val,jogging,5
activity_count,val,lateral_fall,6
activity_count,val,lying_down_on_a_bed,10
activity_count,val,making_a_call,15
activity_count,val,opening_door,15
activity_count,val,sitting_getting_up_on_a_chair,15
activity_count,val,walking,15
