subject,num_windows,fall_f1,fall_accuracy,direction_num_supervised,direction_accuracy,direction_macro_f1
bits/user17,88,0.8571428571428571,0.9772727272727273,6,0.6666666666666666,0.5833333333333334
bits/user27,88,0.9333333333333333,0.9886363636363636,6,0.6666666666666666,0.7222222222222222
bits/user29,88,0.9333333333333333,0.9886363636363636,6,0.5,0.4444444444444444
bits/user31,88,0.8571428571428571,0.9772727272727273,6,0.6666666666666666,0.5079365079365079
bits/user36,88,0.8571428571428571,0.9772727272727273,6,0.8333333333333334,0.8412698412698413
bits/user39,88,0.8571428571428571,0.9772727272727273,6,1.0,1.0
umafall/subject_02,69,0.8205128205128205,0.8985507246376812,19,0.47368421052631576,0.47852147852147847
umafall/subject_05,68,0.9142857142857143,0.9558823529411765,18,0.4444444444444444,0.37543859649122807
umafall/subject_09,55,0.0,1.0,0,,
weda/U04,101,0.8627450980392157,0.9306930693069307,25,0.8,0.8042328042328042
weda/U24,40,0.0,1.0,0,,
weda/U25,31,0.0,1.0,0,,
