subject,num_windows,fall_f1,fall_accuracy,direction_num_supervised,direction_accuracy,direction_macro_f1
bits/user17,88,0.9333333333333333,0.9886363636363636,6,0.8333333333333334,0.8412698412698413
bits/user27,88,0.8571428571428571,0.9772727272727273,6,0.8333333333333334,0.7777777777777777
bits/user29,88,0.9333333333333333,0.9886363636363636,6,0.8333333333333334,0.8666666666666667
bits/user31,88,0.8571428571428571,0.9772727272727273,6,0.8333333333333334,0.8412698412698413
bits/user36,88,0.8571428571428571,0.9772727272727273,6,0.8333333333333334,0.8412698412698413
bits/user39,88,0.8571428571428571,0.9772727272727273,6,0.8333333333333334,0.7777777777777777
hifd/subject_12,65,1.0,1.0,5,1.0,1.0
hifd/subject_13,60,1.0,1.0,5,0.8,0.7777777777777777
hifd/subject_17,50,0.8888888888888888,0.98,5,0.4,0.2222222222222222
umafall/subject_02,69,1.0,1.0,19,0.631578947368421,0.6196172248803827
umafall/subject_05,68,0.8235294117647058,0.9117647058823529,18,0.5,0.4603174603174603
umafall/subject_09,55,0.0,0.9818181818181818,0,,
weda/U04,101,0.7755102040816326,0.8910891089108911,25,0.48,0.48201754385964907
weda/U24,40,0.0,1.0,0,,
weda/U25,31,0.0,1.0,0,,
