subject,num_windows,fall_f1,fall_accuracy,direction_num_supervised,direction_accuracy,direction_macro_f1
bits/user17,88,0.9333333333333333,0.9886363636363636,6,0.6666666666666666,0.4523809523809524
bits/user27,88,0.9333333333333333,0.9886363636363636,6,1.0,1.0
bits/user29,88,0.8571428571428571,0.9772727272727273,6,0.8333333333333334,0.8412698412698413
bits/user31,88,0.8571428571428571,0.9772727272727273,6,1.0,1.0
bits/user36,88,0.8571428571428571,0.9772727272727273,6,0.8333333333333334,0.6
bits/user39,88,0.9333333333333333,0.9886363636363636,6,0.6666666666666666,0.5
umafall/subject_02,69,0.8648648648648649,0.927536231884058,19,0.47368421052631576,0.44586894586894593
umafall/subject_05,68,0.918918918918919,0.9558823529411765,18,0.6666666666666666,0.6204906204906204
umafall/subject_09,55,0.0,0.9636363636363636,0,,
weda/U04,101,0.7924528301886793,0.8910891089108911,25,0.76,0.7593582887700535
weda/U24,40,0.0,1.0,0,,
weda/U25,31,0.0,1.0,0,,
